"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Average m/z","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEtOH","[M+NH4]+","[M-C2H7O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-126+H]+","[M-SN2-126+H]+","SN2-H2O","SN1-H2O","[C5H11O5P+H]+","RT_min","RT_max","Comment"
"","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PEtOH(12:0_14:0)+NH4","610.44427","467.4095","393.2401","365.2089","285.2425","257.2112","211.2055","183.1742","183.0417","4.9153","5.2153","2875"
"","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PEtOH(12:0_14:0)+NH4","610.44427","467.4095","393.2401","365.2089","285.2425","257.2112","211.2055","183.1742","183.0417","4.53159242424242","4.83159242424242","6564"
"","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PEtOH(12:0_14:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PEtOH(12:0_14:0)+NH4","610.44427","467.4095","393.2401","365.2089","285.2425","257.2112","211.2055","183.1742","183.0417","4.53747777777778","4.83747777777778","13327"
"","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PEtOH(12:0_16:1)+NH4","636.45997","493.4252","419.2559","365.2089","311.2582","257.2113","237.2211","183.1742","183.0417","4.97676527777778","5.27676527777778","3409"
"","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PEtOH(12:0_16:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PEtOH(12:0_16:1)+NH4","636.45997","493.4252","419.2559","365.2089","311.2582","257.2113","237.2211","183.1742","183.0417","1.39863194444444","1.69863194444444","14975"
"","PEtOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PEtOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PEtOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PEtOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PEtOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PEtOH(12:0_17:1)+NH4","650.47557","507.4408","433.2715","365.2089","325.2738","257.2113","251.2368","183.1742","183.0417","3.33079861111111","3.63079861111111","5401"
"","PEtOH(12:0_18:1)+NH4",1,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PEtOH(12:0_18:1)+NH4",6.479667,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PEtOH(12:0_18:1)+NH4",2,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PEtOH(12:0_18:1)+NH4",69924.22,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PEtOH(12:0_18:1)+NH4",664.49195,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PEtOH(12:0_18:1)+NH4","664.49117","521.4564","447.287","365.2089","339.2894","257.2112","265.2524","183.1742","183.0417","6.30153194444444","6.60153194444444","97"
"","PEtOH(12:0_18:1)+NH4",1,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PEtOH(12:0_18:1)+NH4",6.597385,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PEtOH(12:0_18:1)+NH4",1,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PEtOH(12:0_18:1)+NH4",6324.5,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PEtOH(12:0_18:1)+NH4",664.4921,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PEtOH(12:0_18:1)+NH4","664.49117","521.4564","447.287","365.2089","339.2894","257.2112","265.2524","183.1742","183.0417","6.48472083333333","6.78472083333333","15124"
"","PEtOH(12:0_19:1)+NH4",1,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PEtOH(12:0_19:1)+NH4",4.868633,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PEtOH(12:0_19:1)+NH4",1,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PEtOH(12:0_19:1)+NH4",122538.7,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PEtOH(12:0_19:1)+NH4",678.509,0,0,0,0,0,0,0,0,"4.68950454545455","4.98950454545455","1155","","PEtOH(12:0_19:1)+NH4","678.50687","535.4721","461.3028","365.2089","353.3051","257.2113","279.2681","183.1742","183.0417","4.68950454545455","4.98950454545455","1155"
"","PEtOH(12:0_19:1)+NH4",1,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PEtOH(12:0_19:1)+NH4",4.868633,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PEtOH(12:0_19:1)+NH4",1,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PEtOH(12:0_19:1)+NH4",122538.7,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PEtOH(12:0_19:1)+NH4",678.509,0,0,0,0,0,0,0,0,"4.69344722222222","4.99344722222222","12687","","PEtOH(12:0_19:1)+NH4","678.50687","535.4721","461.3028","365.2089","353.3051","257.2113","279.2681","183.1742","183.0417","4.69344722222222","4.99344722222222","12687"
