"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PEtOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C5H11O5P-H]-","RT_min","RT_max","Comment","RT at Max Intensity","PEtOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C5H11O5P-H]-","RT_min","RT_max","Comment","Number of Scans","PEtOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C5H11O5P-H]-","RT_min","RT_max","Comment","Max Intensity","PEtOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C5H11O5P-H]-","RT_min","RT_max","Comment","Average m/z","PEtOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C5H11O5P-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PEtOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C5H11O5P-H]-","RT_min","RT_max","Comment"
"","PEtOH(12:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(12:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(12:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(12:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(12:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(12:0_24:0)-H","731.5596","549.3926","381.205","367.3574","199.1697","181.0271","11.1076555555556","11.4076555555556","7671"
"","PEtOH(12:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(12:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(12:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(12:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(12:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(12:0_26:0)-H","759.5909","577.424","381.205","395.3887","199.1697","181.0271","11.8773597222222","12.1773597222222","4216"
"","PEtOH(12:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(12:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(12:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(12:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(12:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(12:0_26:1)-H","757.5753","575.4084","381.205","393.373","199.1697","181.0271","11.2052194444444","11.5052194444444","5081"
"","PEtOH(13:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:0_22:3)-H","711.497","515.3144","395.2206","333.2792","213.1853","181.0271","4.49487916666667","4.79487916666667","8972"
"","PEtOH(13:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(13:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(13:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(13:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(13:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(13:0_23:0)-H","731.5596","535.377","395.2206","353.3417","213.1853","181.0271","11.1076555555556","11.4076555555556","7671"
"","PEtOH(13:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(13:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(13:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(13:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(13:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(13:0_25:0)-H","759.5909","563.4083","395.2206","381.373","213.1853","181.0271","11.8773597222222","12.1773597222222","4216"
"","PEtOH(13:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(13:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(13:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(13:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(13:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(13:0_27:0)-H","787.6222","591.4396","395.2207","409.4043","213.1853","181.0271","12.5862263888889","12.8862263888889","2975"
"","PEtOH(13:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:1_22:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(13:1_22:2)-H","711.497","517.3301","393.2049","335.2948","211.1697","181.0271","4.49487916666667","4.79487916666667","8972"
"","PEtOH(25:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(25:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(25:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(25:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(25:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(25:0_13:1)-H","757.5753","393.205","563.4084","211.1697","381.373","181.0271","11.2052194444444","11.5052194444444","5081"
"","PEtOH(27:0_13:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(27:0_13:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(27:0_13:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(27:0_13:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(27:0_13:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(27:0_13:1)-H","785.6065","393.205","591.4396","211.1697","409.4043","181.0271","11.9665222222222","12.2665222222222","3510"
"","PEtOH(14:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(14:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(14:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(14:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(14:0_22:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(14:0_22:0)-H","731.5596","521.3614","409.2363","339.3261","227.201","181.0271","11.1076555555556","11.4076555555556","7671"
"","PEtOH(14:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(14:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(14:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(14:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(14:0_24:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(14:0_24:0)-H","759.5909","549.3927","409.2363","367.3574","227.201","181.0271","11.8773597222222","12.1773597222222","4216"
"","PEtOH(14:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(14:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(14:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(14:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(14:0_24:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(14:0_24:1)-H","757.5753","547.3771","409.2363","365.3417","227.201","181.0271","11.2052194444444","11.5052194444444","5081"
"","PEtOH(14:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(14:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(14:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(14:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(14:0_26:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(14:0_26:0)-H","787.6222","577.424","409.2363","395.3887","227.201","181.0271","12.5862263888889","12.8862263888889","2975"
"","PEtOH(14:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(14:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(14:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(14:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(14:0_26:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(14:0_26:1)-H","785.6065","575.4083","409.2362","393.373","227.201","181.0271","11.9665222222222","12.2665222222222","3510"
"","PEtOH(14:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(14:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(14:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(14:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(14:1_21:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(14:1_21:2)-H","711.497","503.3144","407.2206","321.2792","225.1853","181.0271","4.49487916666667","4.79487916666667","8972"
"","PEtOH(24:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(24:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(24:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(24:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(24:0_14:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(24:0_14:1)-H","757.5753","407.2207","549.3927","225.1853","367.3574","181.0271","11.2052194444444","11.5052194444444","5081"
"","PEtOH(26:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(26:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(26:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(26:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(26:0_14:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(26:0_14:1)-H","785.6065","407.2206","577.424","225.1853","395.3887","181.0271","11.9665222222222","12.2665222222222","3510"
"","PEtOH(14:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PEtOH(14:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PEtOH(14:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PEtOH(14:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PEtOH(14:1_26:4)-H",0,0,0,0,0,0,"6.414625","6.714625","3530","","PEtOH(14:1_26:4)-H","777.544","569.3615","407.2207","387.3261","225.1853","181.0271","6.414625","6.714625","3530"
"","PEtOH(15:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:0_20:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:0_20:3)-H","711.497","487.2831","423.2519","305.2479","241.2166","181.0271","4.49487916666667","4.79487916666667","8972"
"","PEtOH(15:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(15:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(15:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(15:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(15:0_21:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PEtOH(15:0_21:0)-H","731.5596","507.3457","423.2519","325.3105","241.2166","181.0271","11.1076555555556","11.4076555555556","7671"
"","PEtOH(15:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(15:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(15:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(15:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(15:0_23:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PEtOH(15:0_23:0)-H","759.5909","535.377","423.2519","353.3417","241.2166","181.0271","11.8773597222222","12.1773597222222","4216"
"","PEtOH(15:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(15:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(15:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(15:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(15:0_25:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PEtOH(15:0_25:0)-H","787.6222","563.4083","423.252","381.373","241.2166","181.0271","12.5862263888889","12.8862263888889","2975"
"","PEtOH(15:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PEtOH(15:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PEtOH(15:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PEtOH(15:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PEtOH(15:0_27:0)-H",0,0,0,0,0,0,"13.2440986111111","13.5440986111111","2408","","PEtOH(15:0_27:0)-H","815.6535","591.4396","423.252","409.4043","241.2166","181.0271","13.2440986111111","13.5440986111111","2408"
"","PEtOH(15:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:1_20:2)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PEtOH(15:1_20:2)-H","711.497","489.2988","421.2362","307.2635","239.201","181.0271","4.49487916666667","4.79487916666667","8972"
"","PEtOH(23:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(23:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(23:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(23:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(23:0_15:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PEtOH(23:0_15:1)-H","757.5753","421.2363","535.3771","239.201","353.3417","181.0271","11.2052194444444","11.5052194444444","5081"
"","PEtOH(25:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(25:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(25:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(25:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(25:0_15:1)-H",0,0,0,0,0,0,"11.9665222222222","12.2665222222222","3510","","PEtOH(25:0_15:1)-H","785.6065","421.2362","563.4083","239.201","381.373","181.0271","11.9665222222222","12.2665222222222","3510"
"","PEtOH(27:0_15:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PEtOH(27:0_15:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PEtOH(27:0_15:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PEtOH(27:0_15:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PEtOH(27:0_15:1)-H",0,0,0,0,0,0,"12.6584708333333","12.9584708333333","2622","","PEtOH(27:0_15:1)-H","813.6378","421.2363","591.4396","239.201","409.4043","181.0271","12.6584708333333","12.9584708333333","2622"
