"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Average m/z","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","NL of SN1+H2O","NL of SN2+H2O","[M-SN1-112+H]+","[M-SN2-112+H]+","SN2-H2O","SN1-H2O","[C4H9O5P+H]+","RT_min","RT_max","Comment"
"","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.9153","5.2153","2875","","PMeOH(12:0_15:0)+NH4","610.44422","481.4251","393.2401","351.1932","299.2582","257.2112","225.2211","183.1742","169.026","4.9153","5.2153","2875"
"","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(12:0_15:0)+NH4","610.44422","481.4251","393.2401","351.1932","299.2582","257.2112","225.2211","183.1742","169.026","4.53159242424242","4.83159242424242","6564"
"","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(12:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(12:0_15:0)+NH4","610.44422","481.4251","393.2401","351.1932","299.2582","257.2112","225.2211","183.1742","169.026","4.53747777777778","4.83747777777778","13327"
"","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(12:0_17:1)+NH4","636.45992","507.4408","419.2559","351.1933","325.2739","257.2113","251.2368","183.1742","169.026","4.97676527777778","5.27676527777778","3409"
"","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(12:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(12:0_17:1)+NH4","636.45992","507.4408","419.2559","351.1933","325.2739","257.2113","251.2368","183.1742","169.026","1.39863194444444","1.69863194444444","14975"
"","PMeOH(12:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(12:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(12:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(12:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(12:0_18:1)+NH4",0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(12:0_18:1)+NH4","650.47552","521.4564","433.2715","351.1932","339.2895","257.2113","265.2524","183.1742","169.026","3.33079861111111","3.63079861111111","5401"
"","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(12:0_18:5)+NH4","642.41302","513.3939","425.2089","351.1932","331.2269","257.2112","257.1899","183.1742","169.026","8.54689027777778","8.84689027777778","6569"
"","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(12:0_18:5)+NH4",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(12:0_18:5)+NH4","642.41302","513.3939","425.2089","351.1932","331.2269","257.2112","257.1899","183.1742","169.026","9.46787424242424","9.76787424242424","15431"
"","PMeOH(12:0_19:1)+NH4",1,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(12:0_19:1)+NH4",6.479667,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(12:0_19:1)+NH4",2,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(12:0_19:1)+NH4",69924.22,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(12:0_19:1)+NH4",664.49195,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(12:0_19:1)+NH4","664.49112","535.472","447.287","351.1932","353.3051","257.2112","279.2681","183.1742","169.026","6.30153194444444","6.60153194444444","97"
"","PMeOH(12:0_19:1)+NH4",1,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(12:0_19:1)+NH4",6.597385,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(12:0_19:1)+NH4",1,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(12:0_19:1)+NH4",6324.5,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(12:0_19:1)+NH4",664.4921,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(12:0_19:1)+NH4","664.49112","535.472","447.287","351.1932","353.3051","257.2112","279.2681","183.1742","169.026","6.48472083333333","6.78472083333333","15124"
