"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","RT at Max Intensity","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Number of Scans","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Max Intensity","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Average m/z","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PMeOH","[M-H]-","NL of SN1","NL of SN2","FA SN2","FA SN1","[C4H9O5P-H]-","RT_min","RT_max","Comment"
"","PMeOH(12:0_25:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(12:0_25:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(12:0_25:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(12:0_25:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(12:0_25:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(12:0_25:0)-H","731.5596","549.3926","367.1893","381.373","199.1697","167.0115","11.1076555555556","11.4076555555556","7671"
"","PMeOH(12:0_27:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(12:0_27:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(12:0_27:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(12:0_27:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(12:0_27:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(12:0_27:0)-H","759.5909","577.424","367.1894","409.4043","199.1697","167.0115","11.8773597222222","12.1773597222222","4216"
"","PMeOH(13:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(13:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(13:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(13:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(13:0_24:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(13:0_24:0)-H","731.5596","535.377","381.205","367.3574","213.1853","167.0115","11.1076555555556","11.4076555555556","7671"
"","PMeOH(13:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(13:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(13:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(13:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(13:0_26:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(13:0_26:0)-H","759.5909","563.4083","381.205","395.3887","213.1853","167.0115","11.8773597222222","12.1773597222222","4216"
"","PMeOH(13:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(13:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(13:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(13:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(13:0_26:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(13:0_26:1)-H","757.5753","561.3927","381.205","393.373","213.1853","167.0115","11.2052194444444","11.5052194444444","5081"
"","PMeOH(26:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(26:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(26:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(26:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(26:0_13:1)-H",0,0,0,0,0,0,"11.2052194444444","11.5052194444444","5081","","PMeOH(26:0_13:1)-H","757.5753","379.1894","563.4084","211.1697","395.3887","167.0115","11.2052194444444","11.5052194444444","5081"
"","PMeOH(14:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:0_22:3)-H",0,0,0,0,0,0,"4.49487916666667","4.79487916666667","8972","","PMeOH(14:0_22:3)-H","711.497","501.2988","395.2206","333.2792","227.201","167.0115","4.49487916666667","4.79487916666667","8972"
"","PMeOH(14:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(14:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(14:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(14:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(14:0_23:0)-H",0,0,0,0,0,0,"11.1076555555556","11.4076555555556","7671","","PMeOH(14:0_23:0)-H","731.5596","521.3614","395.2206","353.3417","227.201","167.0115","11.1076555555556","11.4076555555556","7671"
"","PMeOH(14:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(14:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(14:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(14:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(14:0_25:0)-H",0,0,0,0,0,0,"11.8773597222222","12.1773597222222","4216","","PMeOH(14:0_25:0)-H","759.5909","549.3927","395.2206","381.373","227.201","167.0115","11.8773597222222","12.1773597222222","4216"
"","PMeOH(14:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(14:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(14:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(14:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(14:0_27:0)-H",0,0,0,0,0,0,"12.5862263888889","12.8862263888889","2975","","PMeOH(14:0_27:0)-H","787.6222","577.424","395.2207","409.4043","227.201","167.0115","12.5862263888889","12.8862263888889","2975"
