"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Average m/z","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment"
"","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(O-16:0/12:0)+H","666.47049","481.46154","299.29449","183.17435","5.78775555555556","6.08775555555556","833"
"","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(O-16:0/12:0)+H",0,0,0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(O-16:0/12:0)+H","666.47049","481.46154","299.29449","183.17435","6.03436","6.33436","18543"
"","Plasmanyl-PS(O-16:0/14:0)+H",0,0,0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(O-16:0/14:0)+H",0,0,0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(O-16:0/14:0)+H",0,0,0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(O-16:0/14:0)+H",0,0,0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(O-16:0/14:0)+H",0,0,0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(O-16:0/14:0)+H","694.50179","509.49284","299.29449","211.20565","5.75403472222222","6.05403472222222","2025"
"","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(O-16:0/17:0)+H","736.54879","551.53984","299.29449","253.25265","5.75925833333333","6.05925833333333","3186"
"","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(O-16:0/17:0)+H",0,0,0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(O-16:0/17:0)+H","736.54879","551.53984","299.29449","253.25265","5.3107625","5.6107625","13747"
"","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(O-16:0/18:1)+H","748.54879","563.53984","299.29449","265.25265","4.89981527777778","5.19981527777778","9166"
"","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(O-16:0/18:1)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(O-16:0/18:1)+H","748.54879","563.53984","299.29449","265.25265","5.33257777777778","5.63257777777778","12455"
"","Plasmanyl-PS(O-16:0/18:4)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(O-16:0/18:4)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(O-16:0/18:4)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(O-16:0/18:4)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(O-16:0/18:4)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(O-16:0/18:4)+H","742.50179","557.49284","299.29449","259.20565","1.8882875","2.1882875","8974"
"","Plasmanyl-PS(O-16:0/20:1)+H",1,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(O-16:0/20:1)+H",6.225476,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(O-16:0/20:1)+H",1,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(O-16:0/20:1)+H",463349.5,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(O-16:0/20:1)+H",776.5809,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(O-16:0/20:1)+H","776.58009","591.57114","299.29449","293.28395","6.06026805555555","6.36026805555555","551"
"","Plasmanyl-PS(O-16:0/20:1)+H",1,0,0,0,"3.8481","4.1481","7330","","Plasmanyl-PS(O-16:0/20:1)+H",4.055396,0,0,0,"3.8481","4.1481","7330","","Plasmanyl-PS(O-16:0/20:1)+H",1,0,0,0,"3.8481","4.1481","7330","","Plasmanyl-PS(O-16:0/20:1)+H",1151.403,0,0,0,"3.8481","4.1481","7330","","Plasmanyl-PS(O-16:0/20:1)+H",776.5801,0,0,0,"3.8481","4.1481","7330","","Plasmanyl-PS(O-16:0/20:1)+H","776.58009","591.57114","299.29449","293.28395","3.8481","4.1481","7330"
