"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer-NS(d16:1/22:0)+H","0","1","1","1","1","1","1","9.4545","9.7545","1448","","Cer-NS(d16:1/22:0)+H"," 0.00000"," 9.660647"," 9.660647"," 9.660647"," 9.660647"," 9.660647"," 9.660647","9.4545","9.7545","1448","","Cer-NS(d16:1/22:0)+H","0","1","1","1","1","1","1","9.4545","9.7545","1448","","Cer-NS(d16:1/22:0)+H","      0.0000","  84726.5300"," 17821.57","  15189.6100","1.105895e+05","  2331.4210","  8490.0130","9.4545","9.7545","1448","","Cer-NS(d16:1/22:0)+H","  0.0000","576.5723","558.5617","254.2480","236.2375","340.3579","224.2376","9.4545","9.7545","1448","","Cer-NS(d16:1/22:0)+H","594.582","576.5714","558.5609","254.2478","236.2373","340.3574","224.2373","9.4545","9.7545","1448"
"","Cer-NS(d16:1/24:0)+H","0","1","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer-NS(d16:1/24:0)+H","10.61602","10.616020","10.616020","10.616020","10.616020","10.616020","10.616020","10.4325819444444","10.7325819444444","365","","Cer-NS(d16:1/24:0)+H","1","1","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer-NS(d16:1/24:0)+H","    743.6637"," 724078.8000","166113.50","  57393.5400","4.450449e+05","  9403.1410"," 34494.2100","10.4325819444444","10.7325819444444","365","","Cer-NS(d16:1/24:0)+H","622.6155","604.6035","586.5930","254.2480","236.2375","368.3891","224.2375","10.4325819444444","10.7325819444444","365","","Cer-NS(d16:1/24:0)+H","622.6133","604.6027","586.5921","254.2478","236.2373","368.3887","224.2373","10.4325819444444","10.7325819444444","365"
"","Cer-NS(d16:1/25:0)+H","1","1","1","1","1","0","0","10.8764486111111","11.1764486111111","438","","Cer-NS(d16:1/25:0)+H","10.98649","10.986490","10.986490","10.986490","10.986490"," 0.000000","10.986490","10.8764486111111","11.1764486111111","438","","Cer-NS(d16:1/25:0)+H","1","2","2","2","2","0","1","10.8764486111111","11.1764486111111","438","","Cer-NS(d16:1/25:0)+H","   2483.6190"," 413020.9000"," 93169.66","   1190.4120","1.119776e+04","     0.0000","   512.4609","10.8764486111111","11.1764486111111","438","","Cer-NS(d16:1/25:0)+H","636.6304","618.6199","600.6092","254.2482","236.2378","  0.0000","224.2372","10.8764486111111","11.1764486111111","438","","Cer-NS(d16:1/25:0)+H","636.6289","618.6183","600.6078","254.2478","236.2373","382.4044","224.2373","10.8764486111111","11.1764486111111","438"
"","Cer-NS(d16:1/26:0)+H","1","1","1","1","1","0","0","11.3082560606061","11.6082560606061","148","","Cer-NS(d16:1/26:0)+H","11.44406","11.444060","11.444060","11.444060","11.444060"," 0.000000"," 0.000000","11.3082560606061","11.6082560606061","148","","Cer-NS(d16:1/26:0)+H","3","3","3","2","3","0","0","11.3082560606061","11.6082560606061","148","","Cer-NS(d16:1/26:0)+H","  15923.2200","2796524.0000","620834.20","   1355.4600","1.400887e+04","     0.0000","     0.0000","11.3082560606061","11.6082560606061","148","","Cer-NS(d16:1/26:0)+H","650.6451","632.6350","614.6246","254.2476","236.2376","  0.0000","  0.0000","11.3082560606061","11.6082560606061","148","","Cer-NS(d16:1/26:0)+H","650.6446","632.634","614.6234","254.2478","236.2373","396.42","224.2373","11.3082560606061","11.6082560606061","148"
"","Cer-NS(d17:1/23:0)+H","0","1","1","1","1","0","1","10.4325819444444","10.7325819444444","365","","Cer-NS(d17:1/23:0)+H","10.61602","10.616020","10.616020","10.616020","10.616020","10.616020","10.616020","10.4325819444444","10.7325819444444","365","","Cer-NS(d17:1/23:0)+H","1","1","1","1","1","1","1","10.4325819444444","10.7325819444444","365","","Cer-NS(d17:1/23:0)+H","    743.6637"," 724078.8000","166113.50","  10361.9100","6.725009e+04","   851.7132","  8571.8800","10.4325819444444","10.7325819444444","365","","Cer-NS(d17:1/23:0)+H","622.6155","604.6035","586.5930","268.2635","250.2531","354.3740","238.2532","10.4325819444444","10.7325819444444","365","","Cer-NS(d17:1/23:0)+H","622.6133","604.6027","586.5921","268.2635","250.2529","354.373","238.2529","10.4325819444444","10.7325819444444","365"
"","Cer-NS(d17:1/24:0)+H","1","1","1","1","1","1","1","10.8764486111111","11.1764486111111","438","","Cer-NS(d17:1/24:0)+H","10.98649","10.986490","10.986490","10.986490","10.986490","10.986490","10.986490","10.8764486111111","11.1764486111111","438","","Cer-NS(d17:1/24:0)+H","1","2","2","2","2","2","2","10.8764486111111","11.1764486111111","438","","Cer-NS(d17:1/24:0)+H","   2483.6190"," 413020.9000"," 93169.66","  28518.4100","1.941120e+05","  3270.2400"," 15467.5700","10.8764486111111","11.1764486111111","438","","Cer-NS(d17:1/24:0)+H","636.6304","618.6199","600.6092","268.2640","250.2534","368.3897","238.2534","10.8764486111111","11.1764486111111","438","","Cer-NS(d17:1/24:0)+H","636.6289","618.6183","600.6078","268.2635","250.2529","368.3887","238.2529","10.8764486111111","11.1764486111111","438"
"","Cer-NS(d17:1/24:1)+H","0","1","1","1","1","0","0","10.0310402777778","10.3310402777778","1142","","Cer-NS(d17:1/24:1)+H"," 0.00000","10.200270","10.200270","10.200270","10.200270"," 0.000000"," 0.000000","10.0310402777778","10.3310402777778","1142","","Cer-NS(d17:1/24:1)+H","0","1","1","1","1","0","0","10.0310402777778","10.3310402777778","1142","","Cer-NS(d17:1/24:1)+H","      0.0000"," 170842.6000"," 38676.83","   1067.3590","4.449260e+04","     0.0000","     0.0000","10.0310402777778","10.3310402777778","1142","","Cer-NS(d17:1/24:1)+H","  0.0000","616.6035","598.5928","268.2637","250.2531","  0.0000","  0.0000","10.0310402777778","10.3310402777778","1142","","Cer-NS(d17:1/24:1)+H","634.6133","616.6027","598.5921","268.2635","250.2529","366.373","238.2529","10.0310402777778","10.3310402777778","1142"
"","Cer-NS(d17:1/25:0)+H","1","1","1","1","1","0","1","11.3082560606061","11.6082560606061","148","","Cer-NS(d17:1/25:0)+H","11.44406","11.444060","11.444060","11.444060","11.444060"," 0.000000","11.444060","11.3082560606061","11.6082560606061","148","","Cer-NS(d17:1/25:0)+H","3","3","3","1","3","0","1","11.3082560606061","11.6082560606061","148","","Cer-NS(d17:1/25:0)+H","  15923.2200","2796524.0000","620834.20","   4589.4490","2.686793e+04","     0.0000","  1175.4870","11.3082560606061","11.6082560606061","148","","Cer-NS(d17:1/25:0)+H","650.6451","632.6350","614.6246","268.2634","250.2532","  0.0000","238.2539","11.3082560606061","11.6082560606061","148","","Cer-NS(d17:1/25:0)+H","650.6446","632.634","614.6234","268.2635","250.2529","382.4044","238.2529","11.3082560606061","11.6082560606061","148"
"","Cer-NS(d17:2/23:0)+H","0","1","1","0","1","0","1","9.54950555555556","9.84950555555556","1092","","Cer-NS(d17:2/23:0)+H"," 0.00000"," 9.723732"," 9.723732"," 0.000000"," 9.723732"," 0.000000"," 9.723732","9.54950555555556","9.84950555555556","1092","","Cer-NS(d17:2/23:0)+H","0","1","1","0","1","0","1","9.54950555555556","9.84950555555556","1092","","Cer-NS(d17:2/23:0)+H","      0.0000"," 145523.6000"," 35235.78","      0.0000","2.361721e+03","     0.0000"," 16842.8200","9.54950555555556","9.84950555555556","1092","","Cer-NS(d17:2/23:0)+H","  0.0000","602.5880","584.5775","  0.0000","248.2376","  0.0000","236.2375","9.54950555555556","9.84950555555556","1092","","Cer-NS(d17:2/23:0)+H","620.5976","602.587","584.5765","266.2479","248.2373","354.373","236.2373","9.54950555555556","9.84950555555556","1092"
"","Cer-NS(d18:1/20:0)+H","0","1","1","1","1","1","1","9.4545","9.7545","1448","","Cer-NS(d18:1/20:0)+H"," 0.00000"," 9.660647"," 9.660647"," 9.660647"," 9.660647"," 9.660647"," 9.660647","9.4545","9.7545","1448","","Cer-NS(d18:1/20:0)+H","0","1","1","1","1","1","1","9.4545","9.7545","1448","","Cer-NS(d18:1/20:0)+H","      0.0000","  84726.5300"," 17821.57","  15789.8800","1.145546e+05","  1960.1850","  9968.1700","9.4545","9.7545","1448","","Cer-NS(d18:1/20:0)+H","  0.0000","576.5723","558.5617","282.2793","264.2688","312.3263","252.2688","9.4545","9.7545","1448","","Cer-NS(d18:1/20:0)+H","594.582","576.5714","558.5609","282.2791","264.2686","312.3261","252.2686","9.4545","9.7545","1448"
