"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Average m/z","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment"
"","DGTS(6:0)+H",0,0,0,"0.216541666666667","0.516541666666667","9315","","DGTS(6:0)+H",0,0,0,"0.216541666666667","0.516541666666667","9315","","DGTS(6:0)+H",0,0,0,"0.216541666666667","0.516541666666667","9315","","DGTS(6:0)+H",0,0,0,"0.216541666666667","0.516541666666667","9315","","DGTS(6:0)+H",0,0,0,"0.216541666666667","0.516541666666667","9315","","DGTS(6:0)+H","348.2017","236.1492","144.1019","0.216541666666667","0.516541666666667","9315"
"","DGTS(11:0)+H",0,0,0,"0.323270833333333","0.623270833333333","5683","","DGTS(11:0)+H",0,0,0,"0.323270833333333","0.623270833333333","5683","","DGTS(11:0)+H",0,0,0,"0.323270833333333","0.623270833333333","5683","","DGTS(11:0)+H",0,0,0,"0.323270833333333","0.623270833333333","5683","","DGTS(11:0)+H",0,0,0,"0.323270833333333","0.623270833333333","5683","","DGTS(11:0)+H","418.2799","236.1492","144.1019","0.323270833333333","0.623270833333333","5683"
"","DGTS(13:0)+H",0,0,0,"0.33204696969697","0.63204696969697","3646","","DGTS(13:0)+H",0,0,0,"0.33204696969697","0.63204696969697","3646","","DGTS(13:0)+H",0,0,0,"0.33204696969697","0.63204696969697","3646","","DGTS(13:0)+H",0,0,0,"0.33204696969697","0.63204696969697","3646","","DGTS(13:0)+H",0,0,0,"0.33204696969697","0.63204696969697","3646","","DGTS(13:0)+H","446.3112","236.1492","144.1019","0.33204696969697","0.63204696969697","3646"
"","DGTS(14:0)+H",0,0,0,"0.388106944444445","0.688106944444445","8239","","DGTS(14:0)+H",0,0,0,"0.388106944444445","0.688106944444445","8239","","DGTS(14:0)+H",0,0,0,"0.388106944444445","0.688106944444445","8239","","DGTS(14:0)+H",0,0,0,"0.388106944444445","0.688106944444445","8239","","DGTS(14:0)+H",0,0,0,"0.388106944444445","0.688106944444445","8239","","DGTS(14:0)+H","460.3269","236.1492","144.1019","0.388106944444445","0.688106944444445","8239"
"","DGTS(15:0)+H",1,0,0,"0.372923611111111","0.672923611111111","5110","","DGTS(15:0)+H",0.5537273,0,0,"0.372923611111111","0.672923611111111","5110","","DGTS(15:0)+H",1,0,0,"0.372923611111111","0.672923611111111","5110","","DGTS(15:0)+H",2033.571,0,0,"0.372923611111111","0.672923611111111","5110","","DGTS(15:0)+H",474.3442,0,0,"0.372923611111111","0.672923611111111","5110","","DGTS(15:0)+H","474.3425","236.1492","144.1019","0.372923611111111","0.672923611111111","5110"
"","DGTS(15:1)+H",0,0,0,"0.4536125","0.7536125","5340","","DGTS(15:1)+H",0,0,0,"0.4536125","0.7536125","5340","","DGTS(15:1)+H",0,0,0,"0.4536125","0.7536125","5340","","DGTS(15:1)+H",0,0,0,"0.4536125","0.7536125","5340","","DGTS(15:1)+H",0,0,0,"0.4536125","0.7536125","5340","","DGTS(15:1)+H","472.3269","236.1492","144.1019","0.4536125","0.7536125","5340"
"","DGTS(15:1)+H",0,0,0,"0.611818055555556","0.911818055555556","13501","","DGTS(15:1)+H",0,0,0,"0.611818055555556","0.911818055555556","13501","","DGTS(15:1)+H",0,0,0,"0.611818055555556","0.911818055555556","13501","","DGTS(15:1)+H",0,0,0,"0.611818055555556","0.911818055555556","13501","","DGTS(15:1)+H",0,0,0,"0.611818055555556","0.911818055555556","13501","","DGTS(15:1)+H","472.3269","236.1492","144.1019","0.611818055555556","0.911818055555556","13501"
"","DGTS(17:0)+H",0,0,0,"0.642130555555556","0.942130555555556","1420","","DGTS(17:0)+H",0,0,0,"0.642130555555556","0.942130555555556","1420","","DGTS(17:0)+H",0,0,0,"0.642130555555556","0.942130555555556","1420","","DGTS(17:0)+H",0,0,0,"0.642130555555556","0.942130555555556","1420","","DGTS(17:0)+H",0,0,0,"0.642130555555556","0.942130555555556","1420","","DGTS(17:0)+H","502.3738","236.1492","144.1019","0.642130555555556","0.942130555555556","1420"
"","DGTS(17:0)+H",0,0,0,"15.1267972222222","15.4267972222222","12457","","DGTS(17:0)+H",0,0,0,"15.1267972222222","15.4267972222222","12457","","DGTS(17:0)+H",0,0,0,"15.1267972222222","15.4267972222222","12457","","DGTS(17:0)+H",0,0,0,"15.1267972222222","15.4267972222222","12457","","DGTS(17:0)+H",0,0,0,"15.1267972222222","15.4267972222222","12457","","DGTS(17:0)+H","502.3738","236.1492","144.1019","15.1267972222222","15.4267972222222","12457"
"","DGTS(17:0)+H",0,0,0,"15.1293347222222","15.4293347222222","13806","","DGTS(17:0)+H",0,0,0,"15.1293347222222","15.4293347222222","13806","","DGTS(17:0)+H",0,0,0,"15.1293347222222","15.4293347222222","13806","","DGTS(17:0)+H",0,0,0,"15.1293347222222","15.4293347222222","13806","","DGTS(17:0)+H",0,0,0,"15.1293347222222","15.4293347222222","13806","","DGTS(17:0)+H","502.3738","236.1492","144.1019","15.1293347222222","15.4293347222222","13806"
"","DGTS(17:0)+H",0,0,0,"14.9819708333333","15.2819708333333","15538","","DGTS(17:0)+H",0,0,0,"14.9819708333333","15.2819708333333","15538","","DGTS(17:0)+H",0,0,0,"14.9819708333333","15.2819708333333","15538","","DGTS(17:0)+H",0,0,0,"14.9819708333333","15.2819708333333","15538","","DGTS(17:0)+H",0,0,0,"14.9819708333333","15.2819708333333","15538","","DGTS(17:0)+H","502.3738","236.1492","144.1019","14.9819708333333","15.2819708333333","15538"
"","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H",0,0,0,"12.4612763888889","12.7612763888889","16334","","DGTS(17:0)+H","502.3738","236.1492","144.1019","12.4612763888889","12.7612763888889","16334"
"","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H",0,0,0,"14.7013597222222","15.0013597222222","17698","","DGTS(17:0)+H","502.3738","236.1492","144.1019","14.7013597222222","15.0013597222222","17698"
