"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_ADGGA","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_ADGGA","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_ADGGA","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_ADGGA","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_ADGGA","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_ADGGA","[M+NH4]+","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_ADGGA 18:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DDJUZLBXKDEPTJ-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 18:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DDJUZLBXKDEPTJ-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 18:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DDJUZLBXKDEPTJ-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 18:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DDJUZLBXKDEPTJ-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 18:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DDJUZLBXKDEPTJ-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 18:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DDJUZLBXKDEPTJ-UHFFFAOYNA-N;C51H94O12","916.70835","443.3003","257.2112","267.2693","916.7084","439.3782","  1.0000","10.6625388888889","10.9625388888889","13652"
"","MSDIAL_ADGGA 20:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DRUUXOFJKKXVSE-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 20:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DRUUXOFJKKXVSE-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 20:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DRUUXOFJKKXVSE-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 20:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DRUUXOFJKKXVSE-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 20:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DRUUXOFJKKXVSE-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 20:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;DRUUXOFJKKXVSE-UHFFFAOYNA-N;C53H98O12","944.73965","471.3316","257.2112","295.3006","944.7396","439.3782","  1.0000","11.23642","11.53642","18528"
"","MSDIAL_ADGGA 20:1_12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;LIVKYUPRUUPGBN-DQRAZIAONA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 20:1_12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;LIVKYUPRUUPGBN-DQRAZIAONA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 20:1_12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;LIVKYUPRUUPGBN-DQRAZIAONA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 20:1_12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;LIVKYUPRUUPGBN-DQRAZIAONA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 20:1_12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;LIVKYUPRUUPGBN-DQRAZIAONA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 20:1_12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;LIVKYUPRUUPGBN-DQRAZIAONA-N;C53H96O12","942.72400","469.3160","257.2112","293.2850","942.7240","439.3782","  1.0000","10.9828902777778","11.2828902777778","18589"
"","MSDIAL_ADGGA 16:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;JICYXLQXOKUVAC-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 16:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;JICYXLQXOKUVAC-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 16:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;JICYXLQXOKUVAC-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 16:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;JICYXLQXOKUVAC-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 16:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;JICYXLQXOKUVAC-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 16:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;JICYXLQXOKUVAC-UHFFFAOYNA-N;C51H94O12","916.70835","415.2690","239.2380","257.2112","285.2424","916.7084","467.4095","10.6625388888889","10.9625388888889","13652"
"","MSDIAL_ADGGA 18:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;FLLQTULTUOOPRJ-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 18:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;FLLQTULTUOOPRJ-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 18:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;FLLQTULTUOOPRJ-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 18:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;FLLQTULTUOOPRJ-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 18:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;FLLQTULTUOOPRJ-UHFFFAOYNA-N;C53H98O12",0,0,0,0,0,0,0,"11.23642","11.53642","18528","","MSDIAL_ADGGA 18:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)=O;FLLQTULTUOOPRJ-UHFFFAOYNA-N;C53H98O12","944.73965","443.3003","267.2693","257.2112","285.2424","944.7396","467.4095","11.23642","11.53642","18528"
"","MSDIAL_ADGGA 18:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;FGPZGLBNHGTSNM-FCQUAONHNA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;FGPZGLBNHGTSNM-FCQUAONHNA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;FGPZGLBNHGTSNM-FCQUAONHNA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;FGPZGLBNHGTSNM-FCQUAONHNA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;FGPZGLBNHGTSNM-FCQUAONHNA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;FGPZGLBNHGTSNM-FCQUAONHNA-N;C53H96O12","942.72400","441.2847","265.2537","257.2112","285.2424","942.7240","467.4095","10.9828902777778","11.2828902777778","18589"
"","MSDIAL_ADGGA 22:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;KFTKBIHBJZXFSV-FCQUAONHNA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;KFTKBIHBJZXFSV-FCQUAONHNA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;KFTKBIHBJZXFSV-FCQUAONHNA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;KFTKBIHBJZXFSV-FCQUAONHNA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;KFTKBIHBJZXFSV-FCQUAONHNA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:1_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;KFTKBIHBJZXFSV-FCQUAONHNA-N;C57H104O12","998.78660","497.3473","321.3163","257.2112","285.2424","998.7866","467.4095","14.6851348484848","14.9851348484848","13522"
"","MSDIAL_ADGGA 18:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;VTDJEEMALOVKTP-VKAVYKQENA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;VTDJEEMALOVKTP-VKAVYKQENA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;VTDJEEMALOVKTP-VKAVYKQENA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;VTDJEEMALOVKTP-VKAVYKQENA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;VTDJEEMALOVKTP-VKAVYKQENA-N;C53H96O12",0,0,0,0,0,0,0,"10.9828902777778","11.2828902777778","18589","","MSDIAL_ADGGA 18:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;VTDJEEMALOVKTP-VKAVYKQENA-N;C53H96O12","942.72400","443.3003","267.2693","257.2112","283.2268","942.7240","465.3938","10.9828902777778","11.2828902777778","18589"
"","MSDIAL_ADGGA 22:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;YXBVAZLSJYFCNW-VKAVYKQENA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;YXBVAZLSJYFCNW-VKAVYKQENA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;YXBVAZLSJYFCNW-VKAVYKQENA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;YXBVAZLSJYFCNW-VKAVYKQENA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;YXBVAZLSJYFCNW-VKAVYKQENA-N;C57H104O12",0,0,0,0,0,0,0,"14.6851348484848","14.9851348484848","13522","","MSDIAL_ADGGA 22:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1C(OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC)OC(C(O)C1O)C(O)=O;YXBVAZLSJYFCNW-VKAVYKQENA-N;C57H104O12","998.78660","499.3629","323.3319","257.2112","283.2268","998.7866","465.3938","14.6851348484848","14.9851348484848","13522"
"","MSDIAL_ADGGA 14:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;GSTBKLWKQBFSNV-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 14:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;GSTBKLWKQBFSNV-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 14:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;GSTBKLWKQBFSNV-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 14:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;GSTBKLWKQBFSNV-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 14:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;GSTBKLWKQBFSNV-UHFFFAOYNA-N;C51H94O12",0,0,0,0,0,0,0,"10.6625388888889","10.9625388888889","13652","","MSDIAL_ADGGA 14:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1OC(=O)CCCCCCCCCCCCC)C(O)=O)OC(=O)CCCCCCCCCCC;GSTBKLWKQBFSNV-UHFFFAOYNA-N;C51H94O12","916.70835","387.2377","211.2067","257.2112","313.2737","916.7084","495.4408","10.6625388888889","10.9625388888889","13652"
