"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_AHexSIS","[M+NH4]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_AHexSIS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_AHexSIS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_AHexSIS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_AHexSIS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_AHexSIS","[M+NH4]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_ST 29:1;O;Hex;FA 10:0;[M+NH4]+;CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;DHKUBNCDNTWBAV-UHFFFAOYNA-N;C45H78O7",0,0,0,"6.83736944444445","7.13736944444445","17284","","MSDIAL_ST 29:1;O;Hex;FA 10:0;[M+NH4]+;CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;DHKUBNCDNTWBAV-UHFFFAOYNA-N;C45H78O7",0,0,0,"6.83736944444445","7.13736944444445","17284","","MSDIAL_ST 29:1;O;Hex;FA 10:0;[M+NH4]+;CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;DHKUBNCDNTWBAV-UHFFFAOYNA-N;C45H78O7",0,0,0,"6.83736944444445","7.13736944444445","17284","","MSDIAL_ST 29:1;O;Hex;FA 10:0;[M+NH4]+;CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;DHKUBNCDNTWBAV-UHFFFAOYNA-N;C45H78O7",0,0,0,"6.83736944444445","7.13736944444445","17284","","MSDIAL_ST 29:1;O;Hex;FA 10:0;[M+NH4]+;CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;DHKUBNCDNTWBAV-UHFFFAOYNA-N;C45H78O7",0,0,0,"6.83736944444445","7.13736944444445","17284","","MSDIAL_ST 29:1;O;Hex;FA 10:0;[M+NH4]+;CCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;DHKUBNCDNTWBAV-UHFFFAOYNA-N;C45H78O7","748.60858","397.3829","748.6086","6.83736944444445","7.13736944444445","17284"
"","MSDIAL_ST 29:1;O;Hex;FA 13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;ZASHNBIZQQGDHG-UHFFFAOYNA-N;C48H84O7",0,0,0,"9.13773611111111","9.43773611111111","4537","","MSDIAL_ST 29:1;O;Hex;FA 13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;ZASHNBIZQQGDHG-UHFFFAOYNA-N;C48H84O7",0,0,0,"9.13773611111111","9.43773611111111","4537","","MSDIAL_ST 29:1;O;Hex;FA 13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;ZASHNBIZQQGDHG-UHFFFAOYNA-N;C48H84O7",0,0,0,"9.13773611111111","9.43773611111111","4537","","MSDIAL_ST 29:1;O;Hex;FA 13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;ZASHNBIZQQGDHG-UHFFFAOYNA-N;C48H84O7",0,0,0,"9.13773611111111","9.43773611111111","4537","","MSDIAL_ST 29:1;O;Hex;FA 13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;ZASHNBIZQQGDHG-UHFFFAOYNA-N;C48H84O7",0,0,0,"9.13773611111111","9.43773611111111","4537","","MSDIAL_ST 29:1;O;Hex;FA 13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;ZASHNBIZQQGDHG-UHFFFAOYNA-N;C48H84O7","790.65553","397.3829","790.6555","9.13773611111111","9.43773611111111","4537"
"","MSDIAL_ST 29:1;O;Hex;FA 14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CSXINXSKAXRKKW-UHFFFAOYNA-N;C49H86O7",0,0,0,"9.10679696969697","9.40679696969697","14357","","MSDIAL_ST 29:1;O;Hex;FA 14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CSXINXSKAXRKKW-UHFFFAOYNA-N;C49H86O7",0,0,0,"9.10679696969697","9.40679696969697","14357","","MSDIAL_ST 29:1;O;Hex;FA 14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CSXINXSKAXRKKW-UHFFFAOYNA-N;C49H86O7",0,0,0,"9.10679696969697","9.40679696969697","14357","","MSDIAL_ST 29:1;O;Hex;FA 14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CSXINXSKAXRKKW-UHFFFAOYNA-N;C49H86O7",0,0,0,"9.10679696969697","9.40679696969697","14357","","MSDIAL_ST 29:1;O;Hex;FA 14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CSXINXSKAXRKKW-UHFFFAOYNA-N;C49H86O7",0,0,0,"9.10679696969697","9.40679696969697","14357","","MSDIAL_ST 29:1;O;Hex;FA 14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CSXINXSKAXRKKW-UHFFFAOYNA-N;C49H86O7","804.67118","397.3829","804.6712","9.10679696969697","9.40679696969697","14357"
"","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"11.7111652777778","12.0111652777778","3792","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"11.7111652777778","12.0111652777778","3792","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"11.7111652777778","12.0111652777778","3792","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"11.7111652777778","12.0111652777778","3792","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"11.7111652777778","12.0111652777778","3792","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7","832.70248","397.3829","832.7025","11.7111652777778","12.0111652777778","3792"
"","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"12.1744106060606","12.4744106060606","11167","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"12.1744106060606","12.4744106060606","11167","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"12.1744106060606","12.4744106060606","11167","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"12.1744106060606","12.4744106060606","11167","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7",0,0,0,"12.1744106060606","12.4744106060606","11167","","MSDIAL_ST 29:1;O;Hex;FA 16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;JCLYMCVRBRHEHI-UHFFFAOYNA-N;C51H90O7","832.70248","397.3829","832.7025","12.1744106060606","12.4744106060606","11167"
"","MSDIAL_ST 29:1;O;Hex;FA 17:1;[M+NH4]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CGBDHCBMHQMGSC-NXVVXOECNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:1;O;Hex;FA 17:1;[M+NH4]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CGBDHCBMHQMGSC-NXVVXOECNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:1;O;Hex;FA 17:1;[M+NH4]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CGBDHCBMHQMGSC-NXVVXOECNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:1;O;Hex;FA 17:1;[M+NH4]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CGBDHCBMHQMGSC-NXVVXOECNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:1;O;Hex;FA 17:1;[M+NH4]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CGBDHCBMHQMGSC-NXVVXOECNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:1;O;Hex;FA 17:1;[M+NH4]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;CGBDHCBMHQMGSC-NXVVXOECNA-N;C52H90O7","844.70248","397.3829","844.7025","11.7387333333333","12.0387333333333","11197"
"","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"12.2860569444444","12.5860569444444","1696","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"12.2860569444444","12.5860569444444","1696","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"12.2860569444444","12.5860569444444","1696","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"12.2860569444444","12.5860569444444","1696","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"12.2860569444444","12.5860569444444","1696","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7","860.73378","397.3829","860.7338","12.2860569444444","12.5860569444444","1696"
"","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.9532111111111","11.2532111111111","4440","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.9532111111111","11.2532111111111","4440","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.9532111111111","11.2532111111111","4440","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.9532111111111","11.2532111111111","4440","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.9532111111111","11.2532111111111","4440","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7","860.73378","397.3829","860.7338","10.9532111111111","11.2532111111111","4440"
"","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.6758819444444","10.9758819444444","9730","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.6758819444444","10.9758819444444","9730","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.6758819444444","10.9758819444444","9730","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.6758819444444","10.9758819444444","9730","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.6758819444444","10.9758819444444","9730","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7","860.73378","397.3829","860.7338","10.6758819444444","10.9758819444444","9730"
"","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.4705666666667","10.7705666666667","10037","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.4705666666667","10.7705666666667","10037","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.4705666666667","10.7705666666667","10037","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.4705666666667","10.7705666666667","10037","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7",0,0,0,"10.4705666666667","10.7705666666667","10037","","MSDIAL_ST 29:1;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;WHXVFRBDLSVIIH-UHFFFAOYNA-N;C53H94O7","860.73378","397.3829","860.7338","10.4705666666667","10.7705666666667","10037"
"","MSDIAL_ST 29:1;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;MEEONOMPSMYAQO-MSUUIHNZNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:1;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;MEEONOMPSMYAQO-MSUUIHNZNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:1;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;MEEONOMPSMYAQO-MSUUIHNZNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:1;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;MEEONOMPSMYAQO-MSUUIHNZNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:1;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;MEEONOMPSMYAQO-MSUUIHNZNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:1;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)CCC(CC)C(C)C)C(O)C(O)C1O;MEEONOMPSMYAQO-MSUUIHNZNA-N;C53H92O7","858.71813","397.3829","858.7181","11.7445388888889","12.0445388888889","2951"
