"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_AHexSTS","[M+NH4]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_AHexSTS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_AHexSTS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_AHexSTS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_AHexSTS","[M+NH4]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_AHexSTS","[M+NH4]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_ST 29:2;O;Hex;FA 16:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;SASADOJRTDZYTF-DIHHUXNPNA-N;C51H80O7",0,0,0,"9.82033333333333","10.1203333333333","7206","","MSDIAL_ST 29:2;O;Hex;FA 16:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;SASADOJRTDZYTF-DIHHUXNPNA-N;C51H80O7",0,0,0,"9.82033333333333","10.1203333333333","7206","","MSDIAL_ST 29:2;O;Hex;FA 16:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;SASADOJRTDZYTF-DIHHUXNPNA-N;C51H80O7",0,0,0,"9.82033333333333","10.1203333333333","7206","","MSDIAL_ST 29:2;O;Hex;FA 16:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;SASADOJRTDZYTF-DIHHUXNPNA-N;C51H80O7",0,0,0,"9.82033333333333","10.1203333333333","7206","","MSDIAL_ST 29:2;O;Hex;FA 16:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;SASADOJRTDZYTF-DIHHUXNPNA-N;C51H80O7",0,0,0,"9.82033333333333","10.1203333333333","7206","","MSDIAL_ST 29:2;O;Hex;FA 16:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;SASADOJRTDZYTF-DIHHUXNPNA-N;C51H80O7","822.62423","395.3672","822.6242","9.82033333333333","10.1203333333333","7206"
"","MSDIAL_ST 29:2;O;Hex;FA 17:0;[M+NH4]+;CCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;AFPWBOKCDLNBEU-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:2;O;Hex;FA 17:0;[M+NH4]+;CCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;AFPWBOKCDLNBEU-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:2;O;Hex;FA 17:0;[M+NH4]+;CCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;AFPWBOKCDLNBEU-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:2;O;Hex;FA 17:0;[M+NH4]+;CCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;AFPWBOKCDLNBEU-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:2;O;Hex;FA 17:0;[M+NH4]+;CCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;AFPWBOKCDLNBEU-UHFFFAOYNA-N;C52H90O7",0,0,0,"11.7387333333333","12.0387333333333","11197","","MSDIAL_ST 29:2;O;Hex;FA 17:0;[M+NH4]+;CCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;AFPWBOKCDLNBEU-UHFFFAOYNA-N;C52H90O7","844.70248","395.3672","844.7025","11.7387333333333","12.0387333333333","11197"
"","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"11.7445388888889","12.0445388888889","2951","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7","858.71813","395.3672","858.7181","11.7445388888889","12.0445388888889","2951"
"","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.2360212121212","10.5360212121212","8349","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7","858.71813","395.3672","858.7181","10.2360212121212","10.5360212121212","8349"
"","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7",0,0,0,"10.1947680555556","10.4947680555556","14847","","MSDIAL_ST 29:2;O;Hex;FA 18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QTIVSMODIJHIEC-UHFFFAOYNA-N;C53H92O7","858.71813","395.3672","858.7181","10.1947680555556","10.4947680555556","14847"
"","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4318303030303","10.7318303030303","9836","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7","856.70248","395.3672","856.7025","10.4318303030303","10.7318303030303","9836"
"","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7",0,0,0,"10.4407930555556","10.7407930555556","17317","","MSDIAL_ST 29:2;O;Hex;FA 18:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;QCQUFLUHCFYSFG-LWQRDWCBNA-N;C53H90O7","856.70248","395.3672","856.7025","10.4407930555556","10.7407930555556","17317"
"","MSDIAL_ST 29:2;O;Hex;FA 18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;DDXQYFMGXLOHIZ-KWWLZGHGNA-N;C53H86O7",0,0,0,"7.81433472222222","8.11433472222222","5309","","MSDIAL_ST 29:2;O;Hex;FA 18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;DDXQYFMGXLOHIZ-KWWLZGHGNA-N;C53H86O7",0,0,0,"7.81433472222222","8.11433472222222","5309","","MSDIAL_ST 29:2;O;Hex;FA 18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;DDXQYFMGXLOHIZ-KWWLZGHGNA-N;C53H86O7",0,0,0,"7.81433472222222","8.11433472222222","5309","","MSDIAL_ST 29:2;O;Hex;FA 18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;DDXQYFMGXLOHIZ-KWWLZGHGNA-N;C53H86O7",0,0,0,"7.81433472222222","8.11433472222222","5309","","MSDIAL_ST 29:2;O;Hex;FA 18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;DDXQYFMGXLOHIZ-KWWLZGHGNA-N;C53H86O7",0,0,0,"7.81433472222222","8.11433472222222","5309","","MSDIAL_ST 29:2;O;Hex;FA 18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;DDXQYFMGXLOHIZ-KWWLZGHGNA-N;C53H86O7","852.67118","395.3672","852.6712","7.81433472222222","8.11433472222222","5309"
"","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0691569444444","12.3691569444444","7283","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7","872.73378","395.3672","872.7338","12.0691569444444","12.3691569444444","7283"
"","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7",0,0,0,"12.0874944444444","12.3874944444444","15470","","MSDIAL_ST 29:2;O;Hex;FA 19:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;JNFDPWHRIAOOCC-UHFFFAOYNA-N;C54H94O7","872.73378","395.3672","872.7338","12.0874944444444","12.3874944444444","15470"
"","MSDIAL_ST 29:2;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;YRPWSBFQZZMPPW-KLWMDBFKNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 29:2;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;YRPWSBFQZZMPPW-KLWMDBFKNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 29:2;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;YRPWSBFQZZMPPW-KLWMDBFKNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 29:2;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;YRPWSBFQZZMPPW-KLWMDBFKNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 29:2;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;YRPWSBFQZZMPPW-KLWMDBFKNA-N;C54H90O7",0,0,0,"10.4943513888889","10.7943513888889","11140","","MSDIAL_ST 29:2;O;Hex;FA 19:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC1OC(OC2CCC3(C)C4CCC5(C)C(CCC5C4CC=C3C2)C(C)C=CC(CC)C(C)C)C(O)C(O)C1O;YRPWSBFQZZMPPW-KLWMDBFKNA-N;C54H90O7","868.70248","395.3672","868.7025","10.4943513888889","10.7943513888889","11140"
