"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_ASM","[M+H]+","1","2","3","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_ASM","[M+H]+","1","2","3","RT_min","RT_max","Comment","Number of Scans","MSDIAL_ASM","[M+H]+","1","2","3","RT_min","RT_max","Comment","Max Intensity","MSDIAL_ASM","[M+H]+","1","2","3","RT_min","RT_max","Comment","Average m/z","MSDIAL_ASM","[M+H]+","1","2","3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_ASM","[M+H]+","1","2","3","RT_min","RT_max","Comment"
"","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P","855.69497","184.0733","629.5017"," 855.6949","6.87502222222222","7.17502222222222","9909"
"","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:1;2O(FA 14:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/CCCC)C=CCCCCCCCCCCC;KNSBZZNKRICMNW-LAVKACAPNA-N;C49H95N2O7P","855.69497","184.0733","629.5017"," 855.6949","9.47627361111111","9.77627361111111","10301"
"","MSDIAL_SM 30:1;2O(FA 18:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C/CCCCCC)C=CCCCCCCCCCCC;XXUALIGUMRZKTQ-WTKLWGRHNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:1;2O(FA 18:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C/CCCCCC)C=CCCCCCCCCCCC;XXUALIGUMRZKTQ-WTKLWGRHNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:1;2O(FA 18:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C/CCCCCC)C=CCCCCCCCCCCC;XXUALIGUMRZKTQ-WTKLWGRHNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:1;2O(FA 18:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C/CCCCCC)C=CCCCCCCCCCCC;XXUALIGUMRZKTQ-WTKLWGRHNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:1;2O(FA 18:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C/CCCCCC)C=CCCCCCCCCCCC;XXUALIGUMRZKTQ-WTKLWGRHNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:1;2O(FA 18:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C/CCCCCC)C=CCCCCCCCCCCC;XXUALIGUMRZKTQ-WTKLWGRHNA-N;C53H103N2O7P","911.75757","184.0733","629.5017"," 911.7576","10.672325","10.972325","10769"
"","MSDIAL_SM 30:1;2O(FA 18:3);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC)C=CCCCCCCCCCCC;GSLJJCWFHZFYJJ-AXVZQKIYNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:1;2O(FA 18:3);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC)C=CCCCCCCCCCCC;GSLJJCWFHZFYJJ-AXVZQKIYNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:1;2O(FA 18:3);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC)C=CCCCCCCCCCCC;GSLJJCWFHZFYJJ-AXVZQKIYNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:1;2O(FA 18:3);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC)C=CCCCCCCCCCCC;GSLJJCWFHZFYJJ-AXVZQKIYNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:1;2O(FA 18:3);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC)C=CCCCCCCCCCCC;GSLJJCWFHZFYJJ-AXVZQKIYNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:1;2O(FA 18:3);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\C=C\C=C\CC)C=CCCCCCCCCCCC;GSLJJCWFHZFYJJ-AXVZQKIYNA-N;C53H99N2O7P","907.72627","184.0733","629.5017"," 907.7263","12.269875","12.569875","12870"
"","MSDIAL_SM 30:1;2O(FA 20:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\CCCCCCCC)C=CCCCCCCCCCCC;PNEJQUAHPXAYJK-VPCSYBGCNA-N;C55H107N2O7P",0,0,0,0,"11.4314166666667","11.7314166666667","11783","","MSDIAL_SM 30:1;2O(FA 20:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\CCCCCCCC)C=CCCCCCCCCCCC;PNEJQUAHPXAYJK-VPCSYBGCNA-N;C55H107N2O7P",0,0,0,0,"11.4314166666667","11.7314166666667","11783","","MSDIAL_SM 30:1;2O(FA 20:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\CCCCCCCC)C=CCCCCCCCCCCC;PNEJQUAHPXAYJK-VPCSYBGCNA-N;C55H107N2O7P",0,0,0,0,"11.4314166666667","11.7314166666667","11783","","MSDIAL_SM 30:1;2O(FA 20:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\CCCCCCCC)C=CCCCCCCCCCCC;PNEJQUAHPXAYJK-VPCSYBGCNA-N;C55H107N2O7P",0,0,0,0,"11.4314166666667","11.7314166666667","11783","","MSDIAL_SM 30:1;2O(FA 20:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\CCCCCCCC)C=CCCCCCCCCCCC;PNEJQUAHPXAYJK-VPCSYBGCNA-N;C55H107N2O7P",0,0,0,0,"11.4314166666667","11.7314166666667","11783","","MSDIAL_SM 30:1;2O(FA 20:1);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCCCC\C=C\CCCCCCCC)C=CCCCCCCCCCCC;PNEJQUAHPXAYJK-VPCSYBGCNA-N;C55H107N2O7P","939.78887","184.0733","629.5017"," 939.7889","11.4314166666667","11.7314166666667","11783"
"","MSDIAL_SM 30:1;2O(FA 24:5);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C=CCCCCCCCCCCC;OJRZJSRHJDEPHN-XTXLTPFSNA-N;C59H107N2O7P",0,0,0,0,"5.62616944444444","5.92616944444444","13075","","MSDIAL_SM 30:1;2O(FA 24:5);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C=CCCCCCCCCCCC;OJRZJSRHJDEPHN-XTXLTPFSNA-N;C59H107N2O7P",0,0,0,0,"5.62616944444444","5.92616944444444","13075","","MSDIAL_SM 30:1;2O(FA 24:5);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C=CCCCCCCCCCCC;OJRZJSRHJDEPHN-XTXLTPFSNA-N;C59H107N2O7P",0,0,0,0,"5.62616944444444","5.92616944444444","13075","","MSDIAL_SM 30:1;2O(FA 24:5);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C=CCCCCCCCCCCC;OJRZJSRHJDEPHN-XTXLTPFSNA-N;C59H107N2O7P",0,0,0,0,"5.62616944444444","5.92616944444444","13075","","MSDIAL_SM 30:1;2O(FA 24:5);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C=CCCCCCCCCCCC;OJRZJSRHJDEPHN-XTXLTPFSNA-N;C59H107N2O7P",0,0,0,0,"5.62616944444444","5.92616944444444","13075","","MSDIAL_SM 30:1;2O(FA 24:5);[M+H]+;CCCCCCCCCCCCCC(=O)NC(COP([O-])(=O)OCC[N+](C)(C)C)C(OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C=CCCCCCCCCCCC;OJRZJSRHJDEPHN-XTXLTPFSNA-N;C59H107N2O7P","987.78887","184.0733","629.5017"," 987.7889","5.62616944444444","5.92616944444444","13075"
"","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"6.87502222222222","7.17502222222222","9909","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P","855.69497","184.0733","627.4860"," 855.6949","6.87502222222222","7.17502222222222","9909"
"","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P",0,0,0,0,"9.47627361111111","9.77627361111111","10301","","MSDIAL_SM 30:2;2O(FA 14:0);[M+H]+;CCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;UKMFJSXXKFILSZ-ULLJNYLFNA-N;C49H95N2O7P","855.69497","184.0733","627.4860"," 855.6949","9.47627361111111","9.77627361111111","10301"
"","MSDIAL_SM 30:2;2O(FA 18:0);[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;JJSUNELTKYEQGW-CBGTZZBUNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:2;2O(FA 18:0);[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;JJSUNELTKYEQGW-CBGTZZBUNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:2;2O(FA 18:0);[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;JJSUNELTKYEQGW-CBGTZZBUNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:2;2O(FA 18:0);[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;JJSUNELTKYEQGW-CBGTZZBUNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:2;2O(FA 18:0);[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;JJSUNELTKYEQGW-CBGTZZBUNA-N;C53H103N2O7P",0,0,0,0,"10.672325","10.972325","10769","","MSDIAL_SM 30:2;2O(FA 18:0);[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OC(C=CCCCCCCCCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;JJSUNELTKYEQGW-CBGTZZBUNA-N;C53H103N2O7P","911.75757","184.0733","627.4860"," 911.7576","10.672325","10.972325","10769"
"","MSDIAL_SM 30:2;2O(FA 18:2);[M+H]+;CCCCCCCCCCCC=CC(OC(=O)CCCCCCCC\C=C\C=C\CCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;OYZNAGOBMUGXQS-NHZBAGPLNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:2;2O(FA 18:2);[M+H]+;CCCCCCCCCCCC=CC(OC(=O)CCCCCCCC\C=C\C=C\CCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;OYZNAGOBMUGXQS-NHZBAGPLNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:2;2O(FA 18:2);[M+H]+;CCCCCCCCCCCC=CC(OC(=O)CCCCCCCC\C=C\C=C\CCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;OYZNAGOBMUGXQS-NHZBAGPLNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:2;2O(FA 18:2);[M+H]+;CCCCCCCCCCCC=CC(OC(=O)CCCCCCCC\C=C\C=C\CCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;OYZNAGOBMUGXQS-NHZBAGPLNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:2;2O(FA 18:2);[M+H]+;CCCCCCCCCCCC=CC(OC(=O)CCCCCCCC\C=C\C=C\CCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;OYZNAGOBMUGXQS-NHZBAGPLNA-N;C53H99N2O7P",0,0,0,0,"12.269875","12.569875","12870","","MSDIAL_SM 30:2;2O(FA 18:2);[M+H]+;CCCCCCCCCCCC=CC(OC(=O)CCCCCCCC\C=C\C=C\CCCCC)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCC;OYZNAGOBMUGXQS-NHZBAGPLNA-N;C53H99N2O7P","907.72627","184.0733","627.4860"," 907.7263","12.269875","12.569875","12870"
