"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_BMP","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_BMP","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Number of Scans","MSDIAL_BMP","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Max Intensity","MSDIAL_BMP","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Average m/z","MSDIAL_BMP","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_BMP","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment"
"","MSDIAL_BMP 2:0_11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;YIIYWRVRWCYZTM-UHFFFAOYNA-N;C19H37O10P",0,0,0,0,0,"0.252939393939394","0.552939393939394","15989","","MSDIAL_BMP 2:0_11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;YIIYWRVRWCYZTM-UHFFFAOYNA-N;C19H37O10P",0,0,0,0,0,"0.252939393939394","0.552939393939394","15989","","MSDIAL_BMP 2:0_11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;YIIYWRVRWCYZTM-UHFFFAOYNA-N;C19H37O10P",0,0,0,0,0,"0.252939393939394","0.552939393939394","15989","","MSDIAL_BMP 2:0_11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;YIIYWRVRWCYZTM-UHFFFAOYNA-N;C19H37O10P",0,0,0,0,0,"0.252939393939394","0.552939393939394","15989","","MSDIAL_BMP 2:0_11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;YIIYWRVRWCYZTM-UHFFFAOYNA-N;C19H37O10P",0,0,0,0,0,"0.252939393939394","0.552939393939394","15989","","MSDIAL_BMP 2:0_11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;YIIYWRVRWCYZTM-UHFFFAOYNA-N;C19H37O10P","474.24626","117.0546"," 243.1955","285.2071"," 474.2462","0.252939393939394","0.552939393939394","15989"
"","MSDIAL_BMP 2:0_18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;WNJRXRRNBUWPKV-NQLNTKRDNA-N;C26H47O10P",0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","MSDIAL_BMP 2:0_18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;WNJRXRRNBUWPKV-NQLNTKRDNA-N;C26H47O10P",0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","MSDIAL_BMP 2:0_18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;WNJRXRRNBUWPKV-NQLNTKRDNA-N;C26H47O10P",0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","MSDIAL_BMP 2:0_18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;WNJRXRRNBUWPKV-NQLNTKRDNA-N;C26H47O10P",0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","MSDIAL_BMP 2:0_18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;WNJRXRRNBUWPKV-NQLNTKRDNA-N;C26H47O10P",0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","MSDIAL_BMP 2:0_18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;WNJRXRRNBUWPKV-NQLNTKRDNA-N;C26H47O10P","568.32451","117.0546"," 337.2737","379.2854"," 568.3245","0.335309090909091","0.635309090909091","9300"
"","MSDIAL_BMP 2:0_20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;UHRAEQMZNHYJDG-UHFFFAOYNA-N;C28H55O10P",0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","MSDIAL_BMP 2:0_20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;UHRAEQMZNHYJDG-UHFFFAOYNA-N;C28H55O10P",0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","MSDIAL_BMP 2:0_20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;UHRAEQMZNHYJDG-UHFFFAOYNA-N;C28H55O10P",0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","MSDIAL_BMP 2:0_20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;UHRAEQMZNHYJDG-UHFFFAOYNA-N;C28H55O10P",0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","MSDIAL_BMP 2:0_20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;UHRAEQMZNHYJDG-UHFFFAOYNA-N;C28H55O10P",0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","MSDIAL_BMP 2:0_20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;UHRAEQMZNHYJDG-UHFFFAOYNA-N;C28H55O10P","600.38711","117.0546"," 369.3363","411.3480"," 600.3871","2.62962916666667","2.92962916666667","12217"
"","MSDIAL_BMP 2:0_20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;HVCQODTUVOFUNZ-GJDCDIHCNA-N;C28H47O10P",0,0,0,0,0,"0.378029166666667","0.678029166666667","11650","","MSDIAL_BMP 2:0_20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;HVCQODTUVOFUNZ-GJDCDIHCNA-N;C28H47O10P",0,0,0,0,0,"0.378029166666667","0.678029166666667","11650","","MSDIAL_BMP 2:0_20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;HVCQODTUVOFUNZ-GJDCDIHCNA-N;C28H47O10P",0,0,0,0,0,"0.378029166666667","0.678029166666667","11650","","MSDIAL_BMP 2:0_20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;HVCQODTUVOFUNZ-GJDCDIHCNA-N;C28H47O10P",0,0,0,0,0,"0.378029166666667","0.678029166666667","11650","","MSDIAL_BMP 2:0_20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;HVCQODTUVOFUNZ-GJDCDIHCNA-N;C28H47O10P",0,0,0,0,0,"0.378029166666667","0.678029166666667","11650","","MSDIAL_BMP 2:0_20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;HVCQODTUVOFUNZ-GJDCDIHCNA-N;C28H47O10P","592.32451","117.0546"," 361.2737","403.2854"," 592.3245","0.378029166666667","0.678029166666667","11650"
"","MSDIAL_BMP 2:0_21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;RSJIYFOMGWXITM-UHFFFAOYNA-N;C29H57O10P",0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","MSDIAL_BMP 2:0_21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;RSJIYFOMGWXITM-UHFFFAOYNA-N;C29H57O10P",0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","MSDIAL_BMP 2:0_21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;RSJIYFOMGWXITM-UHFFFAOYNA-N;C29H57O10P",0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","MSDIAL_BMP 2:0_21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;RSJIYFOMGWXITM-UHFFFAOYNA-N;C29H57O10P",0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","MSDIAL_BMP 2:0_21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;RSJIYFOMGWXITM-UHFFFAOYNA-N;C29H57O10P",0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","MSDIAL_BMP 2:0_21:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;RSJIYFOMGWXITM-UHFFFAOYNA-N;C29H57O10P","614.40276","117.0546"," 383.3520","425.3636"," 614.4028","2.96007083333333","3.26007083333333","8820"
"","MSDIAL_BMP 2:0_21:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;NCAOUMJYDSNUFN-MURFETPANA-N;C29H53O10P",0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","MSDIAL_BMP 2:0_21:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;NCAOUMJYDSNUFN-MURFETPANA-N;C29H53O10P",0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","MSDIAL_BMP 2:0_21:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;NCAOUMJYDSNUFN-MURFETPANA-N;C29H53O10P",0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","MSDIAL_BMP 2:0_21:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;NCAOUMJYDSNUFN-MURFETPANA-N;C29H53O10P",0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","MSDIAL_BMP 2:0_21:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;NCAOUMJYDSNUFN-MURFETPANA-N;C29H53O10P",0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","MSDIAL_BMP 2:0_21:2;[M+NH4]+;CCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;NCAOUMJYDSNUFN-MURFETPANA-N;C29H53O10P","610.37146","117.0546"," 379.3207","421.3323"," 610.3715","0.769251388888889","1.06925138888889","14542"
"","MSDIAL_BMP 2:0_24:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;OQZXWNWESMAAFY-UHFFFAOYNA-N;C32H63O10P",0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","MSDIAL_BMP 2:0_24:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;OQZXWNWESMAAFY-UHFFFAOYNA-N;C32H63O10P",0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","MSDIAL_BMP 2:0_24:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;OQZXWNWESMAAFY-UHFFFAOYNA-N;C32H63O10P",0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","MSDIAL_BMP 2:0_24:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;OQZXWNWESMAAFY-UHFFFAOYNA-N;C32H63O10P",0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","MSDIAL_BMP 2:0_24:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;OQZXWNWESMAAFY-UHFFFAOYNA-N;C32H63O10P",0,0,0,0,0,"2.88142222222222","3.18142222222222","5201","","MSDIAL_BMP 2:0_24:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;OQZXWNWESMAAFY-UHFFFAOYNA-N;C32H63O10P","656.44971","117.0546"," 425.3989","467.4106"," 656.4497","2.88142222222222","3.18142222222222","5201"
"","MSDIAL_BMP 2:0_24:2;[M+NH4]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;GCOVHIDQDVWMDN-UTJQPWESNA-N;C32H59O10P",0,0,0,0,0,"2.6957875","2.9957875","8069","","MSDIAL_BMP 2:0_24:2;[M+NH4]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;GCOVHIDQDVWMDN-UTJQPWESNA-N;C32H59O10P",0,0,0,0,0,"2.6957875","2.9957875","8069","","MSDIAL_BMP 2:0_24:2;[M+NH4]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;GCOVHIDQDVWMDN-UTJQPWESNA-N;C32H59O10P",0,0,0,0,0,"2.6957875","2.9957875","8069","","MSDIAL_BMP 2:0_24:2;[M+NH4]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;GCOVHIDQDVWMDN-UTJQPWESNA-N;C32H59O10P",0,0,0,0,0,"2.6957875","2.9957875","8069","","MSDIAL_BMP 2:0_24:2;[M+NH4]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;GCOVHIDQDVWMDN-UTJQPWESNA-N;C32H59O10P",0,0,0,0,0,"2.6957875","2.9957875","8069","","MSDIAL_BMP 2:0_24:2;[M+NH4]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;GCOVHIDQDVWMDN-UTJQPWESNA-N;C32H59O10P","652.41841","117.0546"," 421.3676","463.3793"," 652.4184","2.6957875","2.9957875","8069"
"","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,1,0,"4.09877222222222","4.39877222222222","171","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,4.258391,0,"4.09877222222222","4.39877222222222","171","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,2,0,"4.09877222222222","4.39877222222222","171","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,8996515,0,"4.09877222222222","4.39877222222222","171","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,495.4412,0,"4.09877222222222","4.39877222222222","171","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P","684.48101","117.0546"," 453.4302","495.4419"," 684.4810","4.09877222222222","4.39877222222222","171"
"","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P",0,0,0,0,0,"4.91529722222222","5.21529722222222","2547","","MSDIAL_BMP 2:0_26:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(C)=O;PPURCDLCYXWPSK-UHFFFAOYNA-N;C34H67O10P","684.48101","117.0546"," 453.4302","495.4419"," 684.4810","4.91529722222222","5.21529722222222","2547"
