"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_CerP","[M+H]+","1","2","3","4","5","6","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_CerP","[M+H]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Number of Scans","MSDIAL_CerP","[M+H]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Max Intensity","MSDIAL_CerP","[M+H]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Average m/z","MSDIAL_CerP","[M+H]+","1","2","3","4","5","6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_CerP","[M+H]+","1","2","3","4","5","6","RT_min","RT_max","Comment"
"","MSDIAL_CerP 14:0;2O/10:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P",0,0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","MSDIAL_CerP 14:0;2O/10:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P",0,0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","MSDIAL_CerP 14:0;2O/10:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P",0,0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","MSDIAL_CerP 14:0;2O/10:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P",0,0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","MSDIAL_CerP 14:0;2O/10:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P",0,0,0,0,0,0,0,"0.67120303030303","0.97120303030303","3850","","MSDIAL_CerP 14:0;2O/10:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P","480.34541","480.3454","210.2220","462.3348","364.3579","382.3685","400.3791","0.67120303030303","0.97120303030303","3850"
"","MSDIAL_CerP 14:0;2O/12:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P",1,1,0,1,0,0,0,"1.05115416666667","1.35115416666667","373","","MSDIAL_CerP 14:0;2O/12:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P",1.192938,1.192938,0,1.192938,0,0,0,"1.05115416666667","1.35115416666667","373","","MSDIAL_CerP 14:0;2O/12:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P",1,1,0,1,0,0,0,"1.05115416666667","1.35115416666667","373","","MSDIAL_CerP 14:0;2O/12:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P",2143027,2143027,0,8834.07,0,0,0,"1.05115416666667","1.35115416666667","373","","MSDIAL_CerP 14:0;2O/12:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P",508.3766,508.3766,0,490.3662,0,0,0,"1.05115416666667","1.35115416666667","373","","MSDIAL_CerP 14:0;2O/12:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P","508.37669","508.3767","210.2220","490.3661","392.3892","410.3998","428.4104","1.05115416666667","1.35115416666667","373"
"","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"1.55964027777778","1.85964027777778","2405","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P","536.40797","536.4080","210.2220","518.3974","420.4205","438.4311","456.4417","1.55964027777778","1.85964027777778","2405"
"","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P",0,0,0,0,0,0,0,"2.15532638888889","2.45532638888889","8006","","MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P","536.40797","536.4080","210.2220","518.3974","420.4205","438.4311","456.4417","2.15532638888889","2.45532638888889","8006"
"","MSDIAL_CerP 14:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P",0,0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","MSDIAL_CerP 14:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P",0,0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","MSDIAL_CerP 14:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P",0,0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","MSDIAL_CerP 14:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P",0,0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","MSDIAL_CerP 14:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P",0,0,0,0,0,0,0,"3.17754305555556","3.47754305555556","7954","","MSDIAL_CerP 14:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P","564.43928","564.4393","210.2220","546.4287","448.4518","466.4624","484.4730","3.17754305555556","3.47754305555556","7954"
"","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",1,1,0,0,0,0,0,"3.306975","3.606975","1848","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",3.445353,3.445353,0,3.445353,0,0,0,"3.306975","3.606975","1848","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",1,1,0,1,0,0,0,"3.306975","3.606975","1848","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",159367.5,159367.5,0,916.7778,0,0,0,"3.306975","3.606975","1848","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",592.4707,592.4707,0,574.4609,0,0,0,"3.306975","3.606975","1848","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P","592.47059","592.4706","210.2220","574.4600","476.4831","494.4937","512.5043","3.306975","3.606975","1848"
"","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",0,0,0,0,0,0,0,"4.531675","4.831675","8944","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",0,0,0,0,0,0,0,"4.531675","4.831675","8944","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",0,0,0,0,0,0,0,"4.531675","4.831675","8944","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",0,0,0,0,0,0,0,"4.531675","4.831675","8944","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P",0,0,0,0,0,0,0,"4.531675","4.831675","8944","","MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P","592.47059","592.4706","210.2220","574.4600","476.4831","494.4937","512.5043","4.531675","4.831675","8944"
"","MSDIAL_CerP 14:0;2O/18:1;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P",0,0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","MSDIAL_CerP 14:0;2O/18:1;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P",0,0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","MSDIAL_CerP 14:0;2O/18:1;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P",0,0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","MSDIAL_CerP 14:0;2O/18:1;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P",0,0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","MSDIAL_CerP 14:0;2O/18:1;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P",0,0,0,0,0,0,0,"3.16513611111111","3.46513611111111","5902","","MSDIAL_CerP 14:0;2O/18:1;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P","590.45496","590.4550","210.2220","572.4444","474.4675","492.4781","510.4886","3.16513611111111","3.46513611111111","5902"
"","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","3235","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","3235","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","3235","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","3235","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","3235","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P","620.50190","620.5019","210.2220","602.4913","504.5144","522.5250","540.5356","4.94340138888889","5.24340138888889","3235"
"","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.68795909090909","4.98795909090909","4152","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.68795909090909","4.98795909090909","4152","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.68795909090909","4.98795909090909","4152","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.68795909090909","4.98795909090909","4152","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P",0,0,0,0,0,0,0,"4.68795909090909","4.98795909090909","4152","","MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P","620.50190","620.5019","210.2220","602.4913","504.5144","522.5250","540.5356","4.68795909090909","4.98795909090909","4152"
