"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_DGCC","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_DGCC","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Number of Scans","MSDIAL_DGCC","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Max Intensity","MSDIAL_DGCC","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Average m/z","MSDIAL_DGCC","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_DGCC","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment"
"","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"0.448459722222222","0.748459722222222","9343","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"0.448459722222222","0.748459722222222","9343","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"0.448459722222222","0.748459722222222","9343","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"0.448459722222222","0.748459722222222","9343","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"0.448459722222222","0.748459722222222","9343","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8","504.35309"," 504.3531","104.1070","132.1019","360.2381","378.2487","  1.000","  1.0000","0.448459722222222","0.748459722222222","9343"
"","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"15.3919958333333","15.6919958333333","16953","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"15.3919958333333","15.6919958333333","16953","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"15.3919958333333","15.6919958333333","16953","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"15.3919958333333","15.6919958333333","16953","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8",0,0,0,0,0,0,0,0,"15.3919958333333","15.6919958333333","16953","","MSDIAL_DGCC 8:0_8:0;[M+H]+;CCCCCCCC(=O)OCC(COC(OCC[N+](C)(C)C)C([O-])=O)OC(=O)CCCCCCC;KZUNURPZKZKQRD-UHFFFAOYNA-N;C26H49NO8","504.35309"," 504.3531","104.1070","132.1019","360.2381","378.2487","  1.000","  1.0000","15.3919958333333","15.6919958333333","16953"
"","MSDIAL_DGCC 8:0_9:0;[M+H]+;CCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;CMRCJBMGUGPQDM-UHFFFAOYNA-N;C27H51NO8",0,0,0,0,0,0,1,0,"0.492325","0.792325","3557","","MSDIAL_DGCC 8:0_9:0;[M+H]+;CCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;CMRCJBMGUGPQDM-UHFFFAOYNA-N;C27H51NO8",0,0,0,0,0,0,0.6175924,0,"0.492325","0.792325","3557","","MSDIAL_DGCC 8:0_9:0;[M+H]+;CCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;CMRCJBMGUGPQDM-UHFFFAOYNA-N;C27H51NO8",0,0,0,0,0,0,1,0,"0.492325","0.792325","3557","","MSDIAL_DGCC 8:0_9:0;[M+H]+;CCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;CMRCJBMGUGPQDM-UHFFFAOYNA-N;C27H51NO8",0,0,0,0,0,0,1326575,0,"0.492325","0.792325","3557","","MSDIAL_DGCC 8:0_9:0;[M+H]+;CCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;CMRCJBMGUGPQDM-UHFFFAOYNA-N;C27H51NO8",0,0,0,0,0,0,104.1071,0,"0.492325","0.792325","3557","","MSDIAL_DGCC 8:0_9:0;[M+H]+;CCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;CMRCJBMGUGPQDM-UHFFFAOYNA-N;C27H51NO8","518.36874"," 518.3687","360.2381","374.2538","378.2487","392.2643","104.107","132.1019","0.492325","0.792325","3557"
"","MSDIAL_DGCC 8:0_10:0;[M+H]+;CCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;QJOGSWGGCBGKNR-UHFFFAOYNA-N;C28H53NO8",0,0,0,0,0,0,0,0,"0.569554166666667","0.869554166666667","9323","","MSDIAL_DGCC 8:0_10:0;[M+H]+;CCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;QJOGSWGGCBGKNR-UHFFFAOYNA-N;C28H53NO8",0,0,0,0,0,0,0,0,"0.569554166666667","0.869554166666667","9323","","MSDIAL_DGCC 8:0_10:0;[M+H]+;CCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;QJOGSWGGCBGKNR-UHFFFAOYNA-N;C28H53NO8",0,0,0,0,0,0,0,0,"0.569554166666667","0.869554166666667","9323","","MSDIAL_DGCC 8:0_10:0;[M+H]+;CCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;QJOGSWGGCBGKNR-UHFFFAOYNA-N;C28H53NO8",0,0,0,0,0,0,0,0,"0.569554166666667","0.869554166666667","9323","","MSDIAL_DGCC 8:0_10:0;[M+H]+;CCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;QJOGSWGGCBGKNR-UHFFFAOYNA-N;C28H53NO8",0,0,0,0,0,0,0,0,"0.569554166666667","0.869554166666667","9323","","MSDIAL_DGCC 8:0_10:0;[M+H]+;CCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;QJOGSWGGCBGKNR-UHFFFAOYNA-N;C28H53NO8","532.38439"," 532.3844","360.2382","378.2487","388.2694","406.2800","104.107","132.1019","0.569554166666667","0.869554166666667","9323"
"","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,1,0,"0.642130555555556","0.942130555555556","1240","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0.9303991,0,"0.642130555555556","0.942130555555556","1240","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,1,0,"0.642130555555556","0.942130555555556","1240","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,817612.1,0,"0.642130555555556","0.942130555555556","1240","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,104.1071,0,"0.642130555555556","0.942130555555556","1240","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8","546.40004"," 546.4000","360.2382","378.2487","402.2851","420.2957","104.107","132.1019","0.642130555555556","0.942130555555556","1240"
"","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"15.1262652777778","15.4262652777778","8030","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"15.1262652777778","15.4262652777778","8030","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"15.1262652777778","15.4262652777778","8030","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"15.1262652777778","15.4262652777778","8030","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"15.1262652777778","15.4262652777778","8030","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8","546.40004"," 546.4000","360.2382","378.2487","402.2851","420.2957","104.107","132.1019","15.1262652777778","15.4262652777778","8030"
"","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"14.7862236111111","15.0862236111111","8490","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"14.7862236111111","15.0862236111111","8490","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"14.7862236111111","15.0862236111111","8490","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"14.7862236111111","15.0862236111111","8490","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"14.7862236111111","15.0862236111111","8490","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8","546.40004"," 546.4000","360.2382","378.2487","402.2851","420.2957","104.107","132.1019","14.7862236111111","15.0862236111111","8490"
"","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.5663787878788","12.8663787878788","8637","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.5663787878788","12.8663787878788","8637","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.5663787878788","12.8663787878788","8637","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.5663787878788","12.8663787878788","8637","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.5663787878788","12.8663787878788","8637","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8","546.40004"," 546.4000","360.2382","378.2487","402.2851","420.2957","104.107","132.1019","12.5663787878788","12.8663787878788","8637"
"","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"13.0901513888889","13.3901513888889","10905","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"13.0901513888889","13.3901513888889","10905","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"13.0901513888889","13.3901513888889","10905","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"13.0901513888889","13.3901513888889","10905","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"13.0901513888889","13.3901513888889","10905","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8","546.40004"," 546.4000","360.2382","378.2487","402.2851","420.2957","104.107","132.1019","13.0901513888889","13.3901513888889","10905"
"","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.2857680555556","12.5857680555556","11066","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.2857680555556","12.5857680555556","11066","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.2857680555556","12.5857680555556","11066","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.2857680555556","12.5857680555556","11066","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8",0,0,0,0,0,0,0,0,"12.2857680555556","12.5857680555556","11066","","MSDIAL_DGCC 8:0_11:0;[M+H]+;CCCCCCCCCCC(=O)OC(COC(OCC[N+](C)(C)C)C([O-])=O)COC(=O)CCCCCCC;JVLOMNWBMHIQMH-UHFFFAOYNA-N;C29H55NO8","546.40004"," 546.4000","360.2382","378.2487","402.2851","420.2957","104.107","132.1019","12.2857680555556","12.5857680555556","11066"
