"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_DGGA","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_DGGA","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Number of Scans","MSDIAL_DGGA","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Max Intensity","MSDIAL_DGGA","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Average m/z","MSDIAL_DGGA","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_DGGA","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment"
"","MSDIAL_DGGA 12:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11",0,0,0,0,0,"0.46787","0.76787","15579","","MSDIAL_DGGA 12:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11",0,0,0,0,0,"0.46787","0.76787","15579","","MSDIAL_DGGA 12:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11",0,0,0,0,0,"0.46787","0.76787","15579","","MSDIAL_DGGA 12:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11",0,0,0,0,0,"0.46787","0.76787","15579","","MSDIAL_DGGA 12:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11",0,0,0,0,0,"0.46787","0.76787","15579","","MSDIAL_DGGA 12:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11","664.46304","257.2112","271.2268","453.3938"," 664.4630","0.46787","0.76787","15579"
"","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11","678.47869","257.2112","285.2424","467.4095"," 678.4787","0.578043055555556","0.878043055555556","1483"
"","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11","678.47869","257.2112","285.2424","467.4095"," 678.4787","15.1180833333333","15.4180833333333","8759"
"","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11","678.47869","257.2112","285.2424","467.4095"," 678.4787","15.1499930555556","15.4499930555556","15841"
"","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",15.7922,0,0,0,15.7922,"15.5379930555556","15.8379930555556","15850","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",1,0,0,0,1,"15.5379930555556","15.8379930555556","15850","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",956.5961,0,0,0,956.5961,"15.5379930555556","15.8379930555556","15850","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11",678.4808,0,0,0,678.4808,"15.5379930555556","15.8379930555556","15850","","MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11","678.47869","257.2112","285.2424","467.4095"," 678.4787","15.5379930555556","15.8379930555556","15850"
"","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"1.05375277777778","1.35375277777778","3632","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"1.05375277777778","1.35375277777778","3632","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"1.05375277777778","1.35375277777778","3632","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"1.05375277777778","1.35375277777778","3632","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"1.05375277777778","1.35375277777778","3632","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11","700.46304","257.2112","307.2268","489.3938"," 700.4630","1.05375277777778","1.35375277777778","3632"
"","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"0.462629166666667","0.762629166666667","10592","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"0.462629166666667","0.762629166666667","10592","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"0.462629166666667","0.762629166666667","10592","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"0.462629166666667","0.762629166666667","10592","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11",0,0,0,0,0,"0.462629166666667","0.762629166666667","10592","","MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11","700.46304","257.2112","307.2268","489.3938"," 700.4630","0.462629166666667","0.762629166666667","10592"
"","MSDIAL_DGGA 12:0_24:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FPZNMETYICJRJN-OFAZCYPNNA-N;C45H76O11",0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_DGGA 12:0_24:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FPZNMETYICJRJN-OFAZCYPNNA-N;C45H76O11",0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_DGGA 12:0_24:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FPZNMETYICJRJN-OFAZCYPNNA-N;C45H76O11",0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_DGGA 12:0_24:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FPZNMETYICJRJN-OFAZCYPNNA-N;C45H76O11",0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_DGGA 12:0_24:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FPZNMETYICJRJN-OFAZCYPNNA-N;C45H76O11",0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_DGGA 12:0_24:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FPZNMETYICJRJN-OFAZCYPNNA-N;C45H76O11","810.57259","257.2112","417.3363","599.5034"," 810.5726","5.5424375","5.8424375","4960"
"","MSDIAL_DGGA 12:0_26:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_DGGA 12:0_26:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_DGGA 12:0_26:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_DGGA 12:0_26:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_DGGA 12:0_26:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11",0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_DGGA 12:0_26:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;FLBROZFEMNLOOC-OFAZCYPNNA-N;C47H80O11","838.60389","257.2112","445.3676","627.5347"," 838.6039","5.38028055555556","5.68028055555556","2872"
"","MSDIAL_DGGA 13:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCCC;VBVMIRAIDMDJAW-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 13:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCCC;VBVMIRAIDMDJAW-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 13:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCCC;VBVMIRAIDMDJAW-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 13:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCCC;VBVMIRAIDMDJAW-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 13:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCCC;VBVMIRAIDMDJAW-UHFFFAOYNA-N;C35H64O11",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","MSDIAL_DGGA 13:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCCC;VBVMIRAIDMDJAW-UHFFFAOYNA-N;C35H64O11","678.47869","467.4095","271.2268","678.4787","   1.0000","0.578043055555556","0.878043055555556","1483"
