"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_EtherDGDG","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_EtherDGDG","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Number of Scans","MSDIAL_EtherDGDG","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Max Intensity","MSDIAL_EtherDGDG","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Average m/z","MSDIAL_EtherDGDG","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_EtherDGDG","[M+NH4]+","1","2","3","4","RT_min","RT_max","Comment"
"","MSDIAL_DGDG O-8:0_16:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;FTIGSJWQFAIQGM-VCGFVGGHNA-N;C39H70O14",0,0,0,0,0,"9.25862619047619","9.55862619047619","16238","","MSDIAL_DGDG O-8:0_16:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;FTIGSJWQFAIQGM-VCGFVGGHNA-N;C39H70O14",0,0,0,0,0,"9.25862619047619","9.55862619047619","16238","","MSDIAL_DGDG O-8:0_16:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;FTIGSJWQFAIQGM-VCGFVGGHNA-N;C39H70O14",0,0,0,0,0,"9.25862619047619","9.55862619047619","16238","","MSDIAL_DGDG O-8:0_16:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;FTIGSJWQFAIQGM-VCGFVGGHNA-N;C39H70O14",0,0,0,0,0,"9.25862619047619","9.55862619047619","16238","","MSDIAL_DGDG O-8:0_16:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;FTIGSJWQFAIQGM-VCGFVGGHNA-N;C39H70O14",0,0,0,0,0,"9.25862619047619","9.55862619047619","16238","","MSDIAL_DGDG O-8:0_16:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;FTIGSJWQFAIQGM-VCGFVGGHNA-N;C39H70O14","780.51038","187.1694","421.3676","439.3782"," 780.5104","9.25862619047619","9.55862619047619","16238"
"","MSDIAL_DGDG O-8:0_17:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-8:0_17:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-8:0_17:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-8:0_17:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-8:0_17:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-8:0_17:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14","794.52603","187.1694","435.3833","453.3938"," 794.5260","4.90237121212121","5.20237121212121","11555"
"","MSDIAL_DGDG O-8:0_18:1;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC;PAYLSSVCBLGMJG-PFONDFGANA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-8:0_18:1;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC;PAYLSSVCBLGMJG-PFONDFGANA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-8:0_18:1;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC;PAYLSSVCBLGMJG-PFONDFGANA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-8:0_18:1;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC;PAYLSSVCBLGMJG-PFONDFGANA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-8:0_18:1;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC;PAYLSSVCBLGMJG-PFONDFGANA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-8:0_18:1;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCCC;PAYLSSVCBLGMJG-PFONDFGANA-N;C41H76O14","810.55733","187.1694","451.4146","469.4251"," 810.5573","0.544658333333333","0.844658333333333","3311"
"","MSDIAL_DGDG O-8:0_20:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,0,"0.587879166666667","0.887879166666667","4154","","MSDIAL_DGDG O-8:0_20:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,0,"0.587879166666667","0.887879166666667","4154","","MSDIAL_DGDG O-8:0_20:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,0,"0.587879166666667","0.887879166666667","4154","","MSDIAL_DGDG O-8:0_20:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,0,"0.587879166666667","0.887879166666667","4154","","MSDIAL_DGDG O-8:0_20:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,0,"0.587879166666667","0.887879166666667","4154","","MSDIAL_DGDG O-8:0_20:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14","834.55733","187.1694","475.4146","493.4251"," 834.5573","0.587879166666667","0.887879166666667","4154"
"","MSDIAL_DGDG O-8:0_22:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,0,"0.636801388888889","0.936801388888889","3578","","MSDIAL_DGDG O-8:0_22:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,0,"0.636801388888889","0.936801388888889","3578","","MSDIAL_DGDG O-8:0_22:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,0,"0.636801388888889","0.936801388888889","3578","","MSDIAL_DGDG O-8:0_22:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,0,"0.636801388888889","0.936801388888889","3578","","MSDIAL_DGDG O-8:0_22:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,0,"0.636801388888889","0.936801388888889","3578","","MSDIAL_DGDG O-8:0_22:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14","862.58863","187.1694","503.4459","521.4564"," 862.5886","0.636801388888889","0.936801388888889","3578"
"","MSDIAL_DGDG O-8:0_24:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCCCC;UUPKUOVJYMJRDJ-AUGURXLVNA-N;C47H86O14",0,0,0,0,0,"7.98545","8.28545","17981","","MSDIAL_DGDG O-8:0_24:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCCCC;UUPKUOVJYMJRDJ-AUGURXLVNA-N;C47H86O14",0,0,0,0,0,"7.98545","8.28545","17981","","MSDIAL_DGDG O-8:0_24:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCCCC;UUPKUOVJYMJRDJ-AUGURXLVNA-N;C47H86O14",0,0,0,0,0,"7.98545","8.28545","17981","","MSDIAL_DGDG O-8:0_24:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCCCC;UUPKUOVJYMJRDJ-AUGURXLVNA-N;C47H86O14",0,0,0,0,0,"7.98545","8.28545","17981","","MSDIAL_DGDG O-8:0_24:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCCCC;UUPKUOVJYMJRDJ-AUGURXLVNA-N;C47H86O14",0,0,0,0,0,"7.98545","8.28545","17981","","MSDIAL_DGDG O-8:0_24:2;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCCCC;UUPKUOVJYMJRDJ-AUGURXLVNA-N;C47H86O14","892.63558","187.1695","533.4928","551.5034"," 892.6356","7.98545","8.28545","17981"
"","MSDIAL_DGDG O-8:0_24:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,0,"1.02786805555556","1.32786805555556","5882","","MSDIAL_DGDG O-8:0_24:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,0,"1.02786805555556","1.32786805555556","5882","","MSDIAL_DGDG O-8:0_24:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,0,"1.02786805555556","1.32786805555556","5882","","MSDIAL_DGDG O-8:0_24:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,0,"1.02786805555556","1.32786805555556","5882","","MSDIAL_DGDG O-8:0_24:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,0,"1.02786805555556","1.32786805555556","5882","","MSDIAL_DGDG O-8:0_24:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14","890.61993","187.1694","531.4772","549.4877"," 890.6199","1.02786805555556","1.32786805555556","5882"
"","MSDIAL_DGDG O-8:0_28:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;PNMNNZWLJROALB-BYBPBHJYNA-N;C51H92O14",0,0,0,0,0,"10.9783666666667","11.2783666666667","12225","","MSDIAL_DGDG O-8:0_28:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;PNMNNZWLJROALB-BYBPBHJYNA-N;C51H92O14",0,0,0,0,0,"10.9783666666667","11.2783666666667","12225","","MSDIAL_DGDG O-8:0_28:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;PNMNNZWLJROALB-BYBPBHJYNA-N;C51H92O14",0,0,0,0,0,"10.9783666666667","11.2783666666667","12225","","MSDIAL_DGDG O-8:0_28:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;PNMNNZWLJROALB-BYBPBHJYNA-N;C51H92O14",0,0,0,0,0,"10.9783666666667","11.2783666666667","12225","","MSDIAL_DGDG O-8:0_28:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;PNMNNZWLJROALB-BYBPBHJYNA-N;C51H92O14",0,0,0,0,0,"10.9783666666667","11.2783666666667","12225","","MSDIAL_DGDG O-8:0_28:3;[M+NH4]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;PNMNNZWLJROALB-BYBPBHJYNA-N;C51H92O14","946.68253","187.1695","587.5398","605.5504"," 946.6826","10.9783666666667","11.2783666666667","12225"
"","MSDIAL_DGDG O-9:0_16:2;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;YVCHESARPCCFMR-VCGFVGGHNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-9:0_16:2;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;YVCHESARPCCFMR-VCGFVGGHNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-9:0_16:2;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;YVCHESARPCCFMR-VCGFVGGHNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-9:0_16:2;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;YVCHESARPCCFMR-VCGFVGGHNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-9:0_16:2;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;YVCHESARPCCFMR-VCGFVGGHNA-N;C40H72O14",0,0,0,0,0,"4.90237121212121","5.20237121212121","11555","","MSDIAL_DGDG O-9:0_16:2;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCC;YVCHESARPCCFMR-VCGFVGGHNA-N;C40H72O14","794.52603","201.1850","435.3833","453.3938"," 794.5260","4.90237121212121","5.20237121212121","11555"
"","MSDIAL_DGDG O-9:0_17:1;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCC;RCPSKYOTHHHNAX-YPKPFQOONA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-9:0_17:1;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCC;RCPSKYOTHHHNAX-YPKPFQOONA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-9:0_17:1;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCC;RCPSKYOTHHHNAX-YPKPFQOONA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-9:0_17:1;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCC;RCPSKYOTHHHNAX-YPKPFQOONA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-9:0_17:1;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCC;RCPSKYOTHHHNAX-YPKPFQOONA-N;C41H76O14",0,0,0,0,0,"0.544658333333333","0.844658333333333","3311","","MSDIAL_DGDG O-9:0_17:1;[M+NH4]+;CCCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CCCCCCC;RCPSKYOTHHHNAX-YPKPFQOONA-N;C41H76O14","810.55733","201.1850","451.4146","469.4251"," 810.5573","0.544658333333333","0.844658333333333","3311"
