"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_EtherDGDG","[M+Na]+","1","2","3","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_EtherDGDG","[M+Na]+","1","2","3","RT_min","RT_max","Comment","Number of Scans","MSDIAL_EtherDGDG","[M+Na]+","1","2","3","RT_min","RT_max","Comment","Max Intensity","MSDIAL_EtherDGDG","[M+Na]+","1","2","3","RT_min","RT_max","Comment","Average m/z","MSDIAL_EtherDGDG","[M+Na]+","1","2","3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_EtherDGDG","[M+Na]+","1","2","3","RT_min","RT_max","Comment"
"","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"1.15412222222222","1.45412222222222","3712","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"1.15412222222222","1.45412222222222","3712","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"1.15412222222222","1.45412222222222","3712","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"1.15412222222222","1.45412222222222","3712","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"1.15412222222222","1.45412222222222","3712","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14","621.30928"," 621.3093","371.2041","533.2569","1.15412222222222","1.45412222222222","3712"
"","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"2.25619027777778","2.55619027777778","5021","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"2.25619027777778","2.55619027777778","5021","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"2.25619027777778","2.55619027777778","5021","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"2.25619027777778","2.55619027777778","5021","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14",0,0,0,0,"2.25619027777778","2.55619027777778","5021","","MSDIAL_DGDG O-8:0_4:0;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCC;STVNNQSOHLFKIK-UHFFFAOYNA-N;C27H50O14","621.30928"," 621.3093","371.2041","533.2569","2.25619027777778","2.55619027777778","5021"
"","MSDIAL_DGDG O-8:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O;MAMPYWQVIGCOFV-UHFFFAOYNA-N;C33H62O14",0,0,0,0,"4.09877222222222","4.39877222222222","6896","","MSDIAL_DGDG O-8:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O;MAMPYWQVIGCOFV-UHFFFAOYNA-N;C33H62O14",0,0,0,0,"4.09877222222222","4.39877222222222","6896","","MSDIAL_DGDG O-8:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O;MAMPYWQVIGCOFV-UHFFFAOYNA-N;C33H62O14",0,0,0,0,"4.09877222222222","4.39877222222222","6896","","MSDIAL_DGDG O-8:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O;MAMPYWQVIGCOFV-UHFFFAOYNA-N;C33H62O14",0,0,0,0,"4.09877222222222","4.39877222222222","6896","","MSDIAL_DGDG O-8:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O;MAMPYWQVIGCOFV-UHFFFAOYNA-N;C33H62O14",0,0,0,0,"4.09877222222222","4.39877222222222","6896","","MSDIAL_DGDG O-8:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OC(COCCCCCCCC)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O;MAMPYWQVIGCOFV-UHFFFAOYNA-N;C33H62O14","705.40318"," 705.4032","371.2041","533.2570","4.09877222222222","4.39877222222222","6896"
"","MSDIAL_DGDG O-8:0_17:2;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,"0.601551388888889","0.901551388888889","11838","","MSDIAL_DGDG O-8:0_17:2;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,"0.601551388888889","0.901551388888889","11838","","MSDIAL_DGDG O-8:0_17:2;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,"0.601551388888889","0.901551388888889","11838","","MSDIAL_DGDG O-8:0_17:2;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,"0.601551388888889","0.901551388888889","11838","","MSDIAL_DGDG O-8:0_17:2;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14",0,0,0,0,"0.601551388888889","0.901551388888889","11838","","MSDIAL_DGDG O-8:0_17:2;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;ZULNPLULVAUNML-VNBGKYRTNA-N;C40H72O14","799.48143"," 799.4814","371.2042","533.2570","0.601551388888889","0.901551388888889","11838"
"","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.498052777777778","0.798052777777778","6405","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.498052777777778","0.798052777777778","6405","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.498052777777778","0.798052777777778","6405","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.498052777777778","0.798052777777778","6405","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.498052777777778","0.798052777777778","6405","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14","811.48143"," 811.4814","371.2042","533.2570","0.498052777777778","0.798052777777778","6405"
"","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.56965","0.86965","9853","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.56965","0.86965","9853","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.56965","0.86965","9853","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.56965","0.86965","9853","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14",0,0,0,0,"0.56965","0.86965","9853","","MSDIAL_DGDG O-8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;RSPYQXPBOGZCLU-BBDKIWCZNA-N;C41H72O14","811.48143"," 811.4814","371.2042","533.2570","0.56965","0.86965","9853"
"","MSDIAL_DGDG O-8:0_20:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,"0.435019444444444","0.735019444444444","3787","","MSDIAL_DGDG O-8:0_20:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,"0.435019444444444","0.735019444444444","3787","","MSDIAL_DGDG O-8:0_20:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,"0.435019444444444","0.735019444444444","3787","","MSDIAL_DGDG O-8:0_20:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,"0.435019444444444","0.735019444444444","3787","","MSDIAL_DGDG O-8:0_20:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14",0,0,0,0,"0.435019444444444","0.735019444444444","3787","","MSDIAL_DGDG O-8:0_20:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;CYXQNZLNKYZMPM-BBDKIWCZNA-N;C43H76O14","839.51273"," 839.5128","371.2042","533.2570","0.435019444444444","0.735019444444444","3787"
"","MSDIAL_DGDG O-8:0_22:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,"0.651352777777778","0.951352777777778","6822","","MSDIAL_DGDG O-8:0_22:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,"0.651352777777778","0.951352777777778","6822","","MSDIAL_DGDG O-8:0_22:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,"0.651352777777778","0.951352777777778","6822","","MSDIAL_DGDG O-8:0_22:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,"0.651352777777778","0.951352777777778","6822","","MSDIAL_DGDG O-8:0_22:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14",0,0,0,0,"0.651352777777778","0.951352777777778","6822","","MSDIAL_DGDG O-8:0_22:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC;PAKDXRKRAZFWHJ-IHDWIWDKNA-N;C45H80O14","867.54403"," 867.5440","371.2042","533.2570","0.651352777777778","0.951352777777778","6822"
"","MSDIAL_DGDG O-8:0_24:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,"1.04635972222222","1.34635972222222","12228","","MSDIAL_DGDG O-8:0_24:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,"1.04635972222222","1.34635972222222","12228","","MSDIAL_DGDG O-8:0_24:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,"1.04635972222222","1.34635972222222","12228","","MSDIAL_DGDG O-8:0_24:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,"1.04635972222222","1.34635972222222","12228","","MSDIAL_DGDG O-8:0_24:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14",0,0,0,0,"1.04635972222222","1.34635972222222","12228","","MSDIAL_DGDG O-8:0_24:3;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCCCC;FXZUIGLTYHZICA-BYBPBHJYNA-N;C47H84O14","895.57533"," 895.5753","371.2042","533.2571","1.04635972222222","1.34635972222222","12228"
"","MSDIAL_DGDG O-8:0_28:4;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;AHKDDZSLMVQHHC-XWVIRPHINA-N;C51H90O14",0,0,0,0,"0.827176388888889","1.12717638888889","2557","","MSDIAL_DGDG O-8:0_28:4;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;AHKDDZSLMVQHHC-XWVIRPHINA-N;C51H90O14",0,0,0,0,"0.827176388888889","1.12717638888889","2557","","MSDIAL_DGDG O-8:0_28:4;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;AHKDDZSLMVQHHC-XWVIRPHINA-N;C51H90O14",0,0,0,0,"0.827176388888889","1.12717638888889","2557","","MSDIAL_DGDG O-8:0_28:4;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;AHKDDZSLMVQHHC-XWVIRPHINA-N;C51H90O14",0,0,0,0,"0.827176388888889","1.12717638888889","2557","","MSDIAL_DGDG O-8:0_28:4;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;AHKDDZSLMVQHHC-XWVIRPHINA-N;C51H90O14",0,0,0,0,"0.827176388888889","1.12717638888889","2557","","MSDIAL_DGDG O-8:0_28:4;[M+Na]+;CCCCCCCCOCC(COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;AHKDDZSLMVQHHC-XWVIRPHINA-N;C51H90O14","949.62228"," 949.6223","371.2043","533.2571","0.827176388888889","1.12717638888889","2557"
