"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_GDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_GDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_GDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_GDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_GDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_GDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_ST 24:1;O4;G/9:0;[M+NH4]+;CCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;HSBFYFDCFJWGBI-UHFFFAOYNA-N;C35H59NO6",0,0,0,"9.07668939393939","9.37668939393939","5087","","MSDIAL_ST 24:1;O4;G/9:0;[M+NH4]+;CCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;HSBFYFDCFJWGBI-UHFFFAOYNA-N;C35H59NO6",0,0,0,"9.07668939393939","9.37668939393939","5087","","MSDIAL_ST 24:1;O4;G/9:0;[M+NH4]+;CCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;HSBFYFDCFJWGBI-UHFFFAOYNA-N;C35H59NO6",0,0,0,"9.07668939393939","9.37668939393939","5087","","MSDIAL_ST 24:1;O4;G/9:0;[M+NH4]+;CCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;HSBFYFDCFJWGBI-UHFFFAOYNA-N;C35H59NO6",0,0,0,"9.07668939393939","9.37668939393939","5087","","MSDIAL_ST 24:1;O4;G/9:0;[M+NH4]+;CCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;HSBFYFDCFJWGBI-UHFFFAOYNA-N;C35H59NO6",0,0,0,"9.07668939393939","9.37668939393939","5087","","MSDIAL_ST 24:1;O4;G/9:0;[M+NH4]+;CCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;HSBFYFDCFJWGBI-UHFFFAOYNA-N;C35H59NO6","607.46806","414.3003","607.4681","9.07668939393939","9.37668939393939","5087"
"","MSDIAL_ST 24:1;O4;G/14:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;ZHBQWHJMDNKKGY-HJWRWDBZNA-N;C40H67NO6",0,0,0,"0.210519444444444","0.510519444444444","361","","MSDIAL_ST 24:1;O4;G/14:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;ZHBQWHJMDNKKGY-HJWRWDBZNA-N;C40H67NO6",0,0,0,"0.210519444444444","0.510519444444444","361","","MSDIAL_ST 24:1;O4;G/14:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;ZHBQWHJMDNKKGY-HJWRWDBZNA-N;C40H67NO6",0,0,0,"0.210519444444444","0.510519444444444","361","","MSDIAL_ST 24:1;O4;G/14:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;ZHBQWHJMDNKKGY-HJWRWDBZNA-N;C40H67NO6",0,0,0,"0.210519444444444","0.510519444444444","361","","MSDIAL_ST 24:1;O4;G/14:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;ZHBQWHJMDNKKGY-HJWRWDBZNA-N;C40H67NO6",0,0,0,"0.210519444444444","0.510519444444444","361","","MSDIAL_ST 24:1;O4;G/14:1;[M+NH4]+;CCCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;ZHBQWHJMDNKKGY-HJWRWDBZNA-N;C40H67NO6","675.53066","414.3003","675.5306","0.210519444444444","0.510519444444444","361"
"","MSDIAL_ST 24:1;O4;G/16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;SYVGTONZKNNEQO-UHFFFAOYNA-N;C42H73NO6",0,0,0,"9.82081818181818","10.1208181818182","8708","","MSDIAL_ST 24:1;O4;G/16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;SYVGTONZKNNEQO-UHFFFAOYNA-N;C42H73NO6",0,0,0,"9.82081818181818","10.1208181818182","8708","","MSDIAL_ST 24:1;O4;G/16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;SYVGTONZKNNEQO-UHFFFAOYNA-N;C42H73NO6",0,0,0,"9.82081818181818","10.1208181818182","8708","","MSDIAL_ST 24:1;O4;G/16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;SYVGTONZKNNEQO-UHFFFAOYNA-N;C42H73NO6",0,0,0,"9.82081818181818","10.1208181818182","8708","","MSDIAL_ST 24:1;O4;G/16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;SYVGTONZKNNEQO-UHFFFAOYNA-N;C42H73NO6",0,0,0,"9.82081818181818","10.1208181818182","8708","","MSDIAL_ST 24:1;O4;G/16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;SYVGTONZKNNEQO-UHFFFAOYNA-N;C42H73NO6","705.57761","414.3003","705.5776","9.82081818181818","10.1208181818182","8708"
"","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"10.1324569444444","10.4324569444444","15280","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"10.1324569444444","10.4324569444444","15280","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"10.1324569444444","10.4324569444444","15280","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"10.1324569444444","10.4324569444444","15280","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"10.1324569444444","10.4324569444444","15280","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6","701.54631","414.3003","701.5463","10.1324569444444","10.4324569444444","15280"
"","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"9.6494625","9.9494625","16244","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"9.6494625","9.9494625","16244","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"9.6494625","9.9494625","16244","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"9.6494625","9.9494625","16244","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6",0,0,0,"9.6494625","9.9494625","16244","","MSDIAL_ST 24:1;O4;G/16:2;[M+NH4]+;CCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;IPDYQZPKMAWZLM-NQLNTKRDNA-N;C42H69NO6","701.54631","414.3003","701.5463","9.6494625","9.9494625","16244"
"","MSDIAL_ST 24:1;O4;G/18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;PGYNSDJHAUNJMR-UTJQPWESNA-N;C44H73NO6",0,0,0,"10.9365393939394","11.2365393939394","11015","","MSDIAL_ST 24:1;O4;G/18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;PGYNSDJHAUNJMR-UTJQPWESNA-N;C44H73NO6",0,0,0,"10.9365393939394","11.2365393939394","11015","","MSDIAL_ST 24:1;O4;G/18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;PGYNSDJHAUNJMR-UTJQPWESNA-N;C44H73NO6",0,0,0,"10.9365393939394","11.2365393939394","11015","","MSDIAL_ST 24:1;O4;G/18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;PGYNSDJHAUNJMR-UTJQPWESNA-N;C44H73NO6",0,0,0,"10.9365393939394","11.2365393939394","11015","","MSDIAL_ST 24:1;O4;G/18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;PGYNSDJHAUNJMR-UTJQPWESNA-N;C44H73NO6",0,0,0,"10.9365393939394","11.2365393939394","11015","","MSDIAL_ST 24:1;O4;G/18:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;PGYNSDJHAUNJMR-UTJQPWESNA-N;C44H73NO6","729.57761","414.3003","729.5776","10.9365393939394","11.2365393939394","11015"
"","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"4.73813055555556","5.03813055555556","11329","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"4.73813055555556","5.03813055555556","11329","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"4.73813055555556","5.03813055555556","11329","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"4.73813055555556","5.03813055555556","11329","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"4.73813055555556","5.03813055555556","11329","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6","725.54631","414.3003","725.5463","4.73813055555556","5.03813055555556","11329"
"","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"9.8437196969697","10.1437196969697","12359","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"9.8437196969697","10.1437196969697","12359","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"9.8437196969697","10.1437196969697","12359","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"9.8437196969697","10.1437196969697","12359","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6",0,0,0,"9.8437196969697","10.1437196969697","12359","","MSDIAL_ST 24:1;O4;G/18:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;GQNILQBLBFEPEJ-DOFZRALJNA-N;C44H69NO6","725.54631","414.3003","725.5463","9.8437196969697","10.1437196969697","12359"
"","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"7.7865375","8.0865375","547","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"7.7865375","8.0865375","547","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"7.7865375","8.0865375","547","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"7.7865375","8.0865375","547","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"7.7865375","8.0865375","547","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6","751.56196","414.3003","751.5620","7.7865375","8.0865375","547"
"","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"6.81205","7.11205","1836","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"6.81205","7.11205","1836","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"6.81205","7.11205","1836","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"6.81205","7.11205","1836","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"6.81205","7.11205","1836","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6","751.56196","414.3003","751.5620","6.81205","7.11205","1836"
"","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"8.76677083333333","9.06677083333333","9199","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"8.76677083333333","9.06677083333333","9199","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"8.76677083333333","9.06677083333333","9199","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"8.76677083333333","9.06677083333333","9199","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6",0,0,0,"8.76677083333333","9.06677083333333","9199","","MSDIAL_ST 24:1;O4;G/20:5;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(=O)NCC(O)=O)C4(C)C(O)CC23)C1;YOIHYPSKTUEXCF-WMPRHZDHNA-N;C46H71NO6","751.56196","414.3003","751.5620","8.76677083333333","9.06677083333333","9199"
