"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HBMP","[M+NH4]+","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HBMP","[M+NH4]+","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HBMP","[M+NH4]+","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HBMP","[M+NH4]+","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_HBMP","[M+NH4]+","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HBMP","[M+NH4]+","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.252780555555556","0.552780555555556","388","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P","838.61678","467.4100"," 838.6168","257.2112","285.2424","  1.0000","0.252780555555556","0.552780555555556","388"
"","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.436625","0.736625","14471","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.436625","0.736625","14471","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.436625","0.736625","14471","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.436625","0.736625","14471","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P",0,0,0,0,0,0,"0.436625","0.736625","14471","","MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P","838.61678","467.4100"," 838.6168","257.2112","285.2424","  1.0000","0.436625","0.736625","14471"
"","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.60720185185185","4.90720185185185","8264","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P","836.60113","465.3944"," 836.6011","257.2112","283.2268","  1.0000","4.60720185185185","4.90720185185185","8264"
"","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P",0,0,0,0,0,0,"4.67931805555556","4.97931805555556","13732","","MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P","836.60113","465.3944"," 836.6011","257.2112","283.2268","  1.0000","4.67931805555556","4.97931805555556","13732"
"","MSDIAL_HBMP 12:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;PKTVEVYTQPRZGF-UHFFFAOYNA-N;C46H89O11P",0,0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","MSDIAL_HBMP 12:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;PKTVEVYTQPRZGF-UHFFFAOYNA-N;C46H89O11P",0,0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","MSDIAL_HBMP 12:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;PKTVEVYTQPRZGF-UHFFFAOYNA-N;C46H89O11P",0,0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","MSDIAL_HBMP 12:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;PKTVEVYTQPRZGF-UHFFFAOYNA-N;C46H89O11P",0,0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","MSDIAL_HBMP 12:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;PKTVEVYTQPRZGF-UHFFFAOYNA-N;C46H89O11P",0,0,0,0,0,0,"0.241907575757576","0.541907575757576","16664","","MSDIAL_HBMP 12:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;PKTVEVYTQPRZGF-UHFFFAOYNA-N;C46H89O11P","866.64808","495.4413"," 866.6481","257.2112","313.2737","  1.0000","0.241907575757576","0.541907575757576","16664"
"","MSDIAL_HBMP 12:0_12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;OFUBDWANXXSCLD-XMRVQXCHNA-N;C46H83O11P",0,0,0,0,0,0,"6.10205416666667","6.40205416666667","9310","","MSDIAL_HBMP 12:0_12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;OFUBDWANXXSCLD-XMRVQXCHNA-N;C46H83O11P",0,0,0,0,0,0,"6.10205416666667","6.40205416666667","9310","","MSDIAL_HBMP 12:0_12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;OFUBDWANXXSCLD-XMRVQXCHNA-N;C46H83O11P",0,0,0,0,0,0,"6.10205416666667","6.40205416666667","9310","","MSDIAL_HBMP 12:0_12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;OFUBDWANXXSCLD-XMRVQXCHNA-N;C46H83O11P",0,0,0,0,0,0,"6.10205416666667","6.40205416666667","9310","","MSDIAL_HBMP 12:0_12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;OFUBDWANXXSCLD-XMRVQXCHNA-N;C46H83O11P",0,0,0,0,0,0,"6.10205416666667","6.40205416666667","9310","","MSDIAL_HBMP 12:0_12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;OFUBDWANXXSCLD-XMRVQXCHNA-N;C46H83O11P","860.60113","489.3944"," 860.6011","257.2112","307.2268","  1.0000","6.10205416666667","6.40205416666667","9310"
"","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","2064","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","2064","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","2064","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","2064","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","2064","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P","858.58548","487.3787"," 858.5855","257.2112","305.2112","  1.0000","5.71002361111111","6.01002361111111","2064"
"","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"4.98177424242424","5.28177424242424","2765","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"4.98177424242424","5.28177424242424","2765","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"4.98177424242424","5.28177424242424","2765","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"4.98177424242424","5.28177424242424","2765","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"4.98177424242424","5.28177424242424","2765","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P","858.58548","487.3787"," 858.5855","257.2112","305.2112","  1.0000","4.98177424242424","5.28177424242424","2765"
"","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"6.205675","6.505675","15182","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"6.205675","6.505675","15182","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"6.205675","6.505675","15182","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"6.205675","6.505675","15182","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"6.205675","6.505675","15182","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P","858.58548","487.3787"," 858.5855","257.2112","305.2112","  1.0000","6.205675","6.505675","15182"
"","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.50698333333333","5.80698333333333","16585","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.50698333333333","5.80698333333333","16585","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.50698333333333","5.80698333333333","16585","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.50698333333333","5.80698333333333","16585","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P",0,0,0,0,0,0,"5.50698333333333","5.80698333333333","16585","","MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P","858.58548","487.3787"," 858.5855","257.2112","305.2112","  1.0000","5.50698333333333","5.80698333333333","16585"
