"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Average m/z","MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment"
"","MSDIAL_HexCer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10","838.64027","208.2060","658.5768","676.5875"," 838.6403","640.5663","196.2060","226.2166","12.4779361111111","12.7779361111111","14948"
"","MSDIAL_HexCer 14:1;2O/30:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UPKNOKICWFQBAO-WIKZRCHHNA-N;C50H95NO10",0,0,0,0,0,0,0,0,"14.0441075757576","14.3441075757576","9776","","MSDIAL_HexCer 14:1;2O/30:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UPKNOKICWFQBAO-WIKZRCHHNA-N;C50H95NO10",0,0,0,0,0,0,0,0,"14.0441075757576","14.3441075757576","9776","","MSDIAL_HexCer 14:1;2O/30:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UPKNOKICWFQBAO-WIKZRCHHNA-N;C50H95NO10",0,0,0,0,0,0,0,0,"14.0441075757576","14.3441075757576","9776","","MSDIAL_HexCer 14:1;2O/30:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UPKNOKICWFQBAO-WIKZRCHHNA-N;C50H95NO10",0,0,0,0,0,0,0,0,"14.0441075757576","14.3441075757576","9776","","MSDIAL_HexCer 14:1;2O/30:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UPKNOKICWFQBAO-WIKZRCHHNA-N;C50H95NO10",0,0,0,0,0,0,0,0,"14.0441075757576","14.3441075757576","9776","","MSDIAL_HexCer 14:1;2O/30:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UPKNOKICWFQBAO-WIKZRCHHNA-N;C50H95NO10","870.70287","208.2060","690.6395","708.6500"," 870.7029","672.6289","196.2060","226.2166","14.0441075757576","14.3441075757576","9776"
"","MSDIAL_HexCer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PBBIKYQVTYOTSR-DUWNXGSONA-N;C50H91NO10",0,0,0,0,0,0,0,0,"13.1419680555556","13.4419680555556","16794","","MSDIAL_HexCer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PBBIKYQVTYOTSR-DUWNXGSONA-N;C50H91NO10",0,0,0,0,0,0,0,0,"13.1419680555556","13.4419680555556","16794","","MSDIAL_HexCer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PBBIKYQVTYOTSR-DUWNXGSONA-N;C50H91NO10",0,0,0,0,0,0,0,0,"13.1419680555556","13.4419680555556","16794","","MSDIAL_HexCer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PBBIKYQVTYOTSR-DUWNXGSONA-N;C50H91NO10",0,0,0,0,0,0,0,0,"13.1419680555556","13.4419680555556","16794","","MSDIAL_HexCer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PBBIKYQVTYOTSR-DUWNXGSONA-N;C50H91NO10",0,0,0,0,0,0,0,0,"13.1419680555556","13.4419680555556","16794","","MSDIAL_HexCer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PBBIKYQVTYOTSR-DUWNXGSONA-N;C50H91NO10","866.67157","208.2060","686.6082","704.6187"," 866.6716","668.5976","196.2060","226.2166","13.1419680555556","13.4419680555556","16794"
"","MSDIAL_HexCer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;DHMSDKSLOIPZFH-GVHVZFAQNA-N;C50H89NO10",0,0,0,0,0,0,0,0,"12.4753527777778","12.7753527777778","18901","","MSDIAL_HexCer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;DHMSDKSLOIPZFH-GVHVZFAQNA-N;C50H89NO10",0,0,0,0,0,0,0,0,"12.4753527777778","12.7753527777778","18901","","MSDIAL_HexCer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;DHMSDKSLOIPZFH-GVHVZFAQNA-N;C50H89NO10",0,0,0,0,0,0,0,0,"12.4753527777778","12.7753527777778","18901","","MSDIAL_HexCer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;DHMSDKSLOIPZFH-GVHVZFAQNA-N;C50H89NO10",0,0,0,0,0,0,0,0,"12.4753527777778","12.7753527777778","18901","","MSDIAL_HexCer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;DHMSDKSLOIPZFH-GVHVZFAQNA-N;C50H89NO10",0,0,0,0,0,0,0,0,"12.4753527777778","12.7753527777778","18901","","MSDIAL_HexCer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;DHMSDKSLOIPZFH-GVHVZFAQNA-N;C50H89NO10","864.65592","208.2060","684.5925","702.6031"," 864.6559","666.5820","196.2060","226.2166","12.4753527777778","12.7753527777778","18901"
"","MSDIAL_HexCer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;FTMIWCPPDNJIEU-XCWGLRIONA-N;C52H99NO10",0,0,0,0,0,0,0,0,"14.4402861111111","14.7402861111111","9234","","MSDIAL_HexCer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;FTMIWCPPDNJIEU-XCWGLRIONA-N;C52H99NO10",0,0,0,0,0,0,0,0,"14.4402861111111","14.7402861111111","9234","","MSDIAL_HexCer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;FTMIWCPPDNJIEU-XCWGLRIONA-N;C52H99NO10",0,0,0,0,0,0,0,0,"14.4402861111111","14.7402861111111","9234","","MSDIAL_HexCer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;FTMIWCPPDNJIEU-XCWGLRIONA-N;C52H99NO10",0,0,0,0,0,0,0,0,"14.4402861111111","14.7402861111111","9234","","MSDIAL_HexCer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;FTMIWCPPDNJIEU-XCWGLRIONA-N;C52H99NO10",0,0,0,0,0,0,0,0,"14.4402861111111","14.7402861111111","9234","","MSDIAL_HexCer 14:1;2O/32:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;FTMIWCPPDNJIEU-XCWGLRIONA-N;C52H99NO10","898.73417","208.2060","718.6708","736.6813"," 898.7342","700.6602","196.2060","226.2166","14.4402861111111","14.7402861111111","9234"
"","MSDIAL_HexCer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;TWBTUKRLZGOPDA-SQLSZRFBNA-N;C52H91NO10",0,0,0,0,0,0,0,0,"12.3099986111111","12.6099986111111","11582","","MSDIAL_HexCer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;TWBTUKRLZGOPDA-SQLSZRFBNA-N;C52H91NO10",0,0,0,0,0,0,0,0,"12.3099986111111","12.6099986111111","11582","","MSDIAL_HexCer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;TWBTUKRLZGOPDA-SQLSZRFBNA-N;C52H91NO10",0,0,0,0,0,0,0,0,"12.3099986111111","12.6099986111111","11582","","MSDIAL_HexCer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;TWBTUKRLZGOPDA-SQLSZRFBNA-N;C52H91NO10",0,0,0,0,0,0,0,0,"12.3099986111111","12.6099986111111","11582","","MSDIAL_HexCer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;TWBTUKRLZGOPDA-SQLSZRFBNA-N;C52H91NO10",0,0,0,0,0,0,0,0,"12.3099986111111","12.6099986111111","11582","","MSDIAL_HexCer 14:1;2O/32:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;TWBTUKRLZGOPDA-SQLSZRFBNA-N;C52H91NO10","890.67157","208.2060","710.6082","728.6187"," 890.6716","692.5976","196.2060","226.2166","12.3099986111111","12.6099986111111","11582"
"","MSDIAL_HexCer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;ZKIOMMZRSKLUFE-ZRGLFPTKNA-N;C54H95NO10",0,0,0,0,0,0,0,0,"13.2333875","13.5333875","15949","","MSDIAL_HexCer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;ZKIOMMZRSKLUFE-ZRGLFPTKNA-N;C54H95NO10",0,0,0,0,0,0,0,0,"13.2333875","13.5333875","15949","","MSDIAL_HexCer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;ZKIOMMZRSKLUFE-ZRGLFPTKNA-N;C54H95NO10",0,0,0,0,0,0,0,0,"13.2333875","13.5333875","15949","","MSDIAL_HexCer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;ZKIOMMZRSKLUFE-ZRGLFPTKNA-N;C54H95NO10",0,0,0,0,0,0,0,0,"13.2333875","13.5333875","15949","","MSDIAL_HexCer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;ZKIOMMZRSKLUFE-ZRGLFPTKNA-N;C54H95NO10",0,0,0,0,0,0,0,0,"13.2333875","13.5333875","15949","","MSDIAL_HexCer 14:1;2O/34:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;ZKIOMMZRSKLUFE-ZRGLFPTKNA-N;C54H95NO10","918.70287","208.2060","738.6395","756.6500"," 918.7029","720.6289","196.2060","226.2166","13.2333875","13.5333875","15949"
"","MSDIAL_HexCer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;BBCGUDFGKGEANR-WUHPQKATNA-N;C56H107NO10",0,0,0,0,0,0,0,0,"15.2115060606061","15.5115060606061","11897","","MSDIAL_HexCer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;BBCGUDFGKGEANR-WUHPQKATNA-N;C56H107NO10",0,0,0,0,0,0,0,0,"15.2115060606061","15.5115060606061","11897","","MSDIAL_HexCer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;BBCGUDFGKGEANR-WUHPQKATNA-N;C56H107NO10",0,0,0,0,0,0,0,0,"15.2115060606061","15.5115060606061","11897","","MSDIAL_HexCer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;BBCGUDFGKGEANR-WUHPQKATNA-N;C56H107NO10",0,0,0,0,0,0,0,0,"15.2115060606061","15.5115060606061","11897","","MSDIAL_HexCer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;BBCGUDFGKGEANR-WUHPQKATNA-N;C56H107NO10",0,0,0,0,0,0,0,0,"15.2115060606061","15.5115060606061","11897","","MSDIAL_HexCer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;BBCGUDFGKGEANR-WUHPQKATNA-N;C56H107NO10","954.79677","208.2060","774.7334","792.7440"," 954.7968","756.7228","196.2060","226.2166","15.2115060606061","15.5115060606061","11897"
"","MSDIAL_HexCer 14:2;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;NNEQEJFHPFKUOE-VLWQXWEONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:2;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;NNEQEJFHPFKUOE-VLWQXWEONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:2;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;NNEQEJFHPFKUOE-VLWQXWEONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:2;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;NNEQEJFHPFKUOE-VLWQXWEONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:2;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;NNEQEJFHPFKUOE-VLWQXWEONA-N;C48H87NO10",0,0,0,0,0,0,0,0,"12.4779361111111","12.7779361111111","14948","","MSDIAL_HexCer 14:2;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCC;NNEQEJFHPFKUOE-VLWQXWEONA-N;C48H87NO10","838.64027","206.1903","658.5768","676.5875"," 838.6403","640.5663","194.1903","224.2009","12.4779361111111","12.7779361111111","14948"
"","MSDIAL_HexCer 14:2;2O/28:3;2O;[M+H]+;CCCCC\C=C\CC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;SRDFXSNREMZIHA-IPAQBRSUNA-N;C48H85NO10",0,0,0,0,0,0,0,0,"11.5485194444444","11.8485194444444","14846","","MSDIAL_HexCer 14:2;2O/28:3;2O;[M+H]+;CCCCC\C=C\CC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;SRDFXSNREMZIHA-IPAQBRSUNA-N;C48H85NO10",0,0,0,0,0,0,0,0,"11.5485194444444","11.8485194444444","14846","","MSDIAL_HexCer 14:2;2O/28:3;2O;[M+H]+;CCCCC\C=C\CC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;SRDFXSNREMZIHA-IPAQBRSUNA-N;C48H85NO10",0,0,0,0,0,0,0,0,"11.5485194444444","11.8485194444444","14846","","MSDIAL_HexCer 14:2;2O/28:3;2O;[M+H]+;CCCCC\C=C\CC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;SRDFXSNREMZIHA-IPAQBRSUNA-N;C48H85NO10",0,0,0,0,0,0,0,0,"11.5485194444444","11.8485194444444","14846","","MSDIAL_HexCer 14:2;2O/28:3;2O;[M+H]+;CCCCC\C=C\CC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;SRDFXSNREMZIHA-IPAQBRSUNA-N;C48H85NO10",0,0,0,0,0,0,0,0,"11.5485194444444","11.8485194444444","14846","","MSDIAL_HexCer 14:2;2O/28:3;2O;[M+H]+;CCCCC\C=C\CC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;SRDFXSNREMZIHA-IPAQBRSUNA-N;C48H85NO10","836.62462","206.1903","656.5612","674.5718"," 836.6246","638.5507","194.1903","224.2009","11.5485194444444","11.8485194444444","14846"
