"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HexCer_HDS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HexCer_HDS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HexCer_HDS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HexCer_HDS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Average m/z","MSDIAL_HexCer_HDS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HexCer_HDS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment"
"","MSDIAL_HexCer 16:0;2O/12:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CC\C=C/CCCCCC;XPGCNGVHEBTJEB-MNDPQUGUNA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:0;2O/12:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CC\C=C/CCCCCC;XPGCNGVHEBTJEB-MNDPQUGUNA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:0;2O/12:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CC\C=C/CCCCCC;XPGCNGVHEBTJEB-MNDPQUGUNA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:0;2O/12:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CC\C=C/CCCCCC;XPGCNGVHEBTJEB-MNDPQUGUNA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:0;2O/12:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CC\C=C/CCCCCC;XPGCNGVHEBTJEB-MNDPQUGUNA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:0;2O/12:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CC\C=C/CCCCCC;XPGCNGVHEBTJEB-MNDPQUGUNA-N;C34H65NO9","632.47321","614.4626","434.3992","238.2529","452.4098","632.4732","422.3992","226.2529","256.2635","0.381401515151515","0.681401515151515","9873"
"","MSDIAL_HexCer 16:0;2O/13:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCC\C=C/CCCC;QLQAMCAHZQUARX-BENRWUELNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:0;2O/13:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCC\C=C/CCCC;QLQAMCAHZQUARX-BENRWUELNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:0;2O/13:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCC\C=C/CCCC;QLQAMCAHZQUARX-BENRWUELNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:0;2O/13:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCC\C=C/CCCC;QLQAMCAHZQUARX-BENRWUELNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:0;2O/13:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCC\C=C/CCCC;QLQAMCAHZQUARX-BENRWUELNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:0;2O/13:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCC\C=C/CCCC;QLQAMCAHZQUARX-BENRWUELNA-N;C35H67NO9","646.48886","628.4783","448.4149","238.2529","466.4254","646.4888","436.4149","226.2529","256.2635","0.453883333333333","0.753883333333333","8095"
"","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"10.6153818181818","10.9153818181818","2311","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"10.6153818181818","10.9153818181818","2311","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"10.6153818181818","10.9153818181818","2311","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"10.6153818181818","10.9153818181818","2311","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"10.6153818181818","10.9153818181818","2311","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9","704.56711","686.5565","506.4931","238.2529","524.5037","704.5671","494.4931","226.2529","256.2635","10.6153818181818","10.9153818181818","2311"
"","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"9.76697575757576","10.0669757575758","12355","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"9.76697575757576","10.0669757575758","12355","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"9.76697575757576","10.0669757575758","12355","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"9.76697575757576","10.0669757575758","12355","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9",0,0,0,0,0,0,0,0,0,"9.76697575757576","10.0669757575758","12355","","MSDIAL_HexCer 16:0;2O/17:0;O;[M+H]+;CCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;WAXSGSZSZULDKH-UHFFFAOYNA-N;C39H77NO9","704.56711","686.5565","506.4931","238.2529","524.5037","704.5671","494.4931","226.2529","256.2635","9.76697575757576","10.0669757575758","12355"
"","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9","716.56711","698.5565","518.4932","238.2529","536.5037","716.5671","506.4931","226.2529","256.2635","4.9459625","5.2459625","1270"
"","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:0;2O/18:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;AMZVWNHFXQDLFY-SQFISAMPNA-N;C40H77NO9","716.56711","698.5565","518.4932","238.2529","536.5037","716.5671","506.4931","226.2529","256.2635","6.05895555555555","6.35895555555555","2400"
"","MSDIAL_HexCer 16:0;2O/18:2;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCC\C=C/C=C\CCCCC;NEBHCYJDSAILAP-DURLKXOLNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:0;2O/18:2;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCC\C=C/C=C\CCCCC;NEBHCYJDSAILAP-DURLKXOLNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:0;2O/18:2;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCC\C=C/C=C\CCCCC;NEBHCYJDSAILAP-DURLKXOLNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:0;2O/18:2;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCC\C=C/C=C\CCCCC;NEBHCYJDSAILAP-DURLKXOLNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:0;2O/18:2;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCC\C=C/C=C\CCCCC;NEBHCYJDSAILAP-DURLKXOLNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:0;2O/18:2;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCC\C=C/C=C\CCCCC;NEBHCYJDSAILAP-DURLKXOLNA-N;C40H75NO9","714.55146","696.5409","516.4775","238.2529","534.4880","714.5515","504.4775","226.2529","256.2635","4.87828888888889","5.17828888888889","3047"
"","MSDIAL_HexCer 16:0;2O/19:0;O;[M+H]+;CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;NMLDSHFZPUGVCT-UHFFFAOYNA-N;C41H81NO9",0,0,0,0,0,0,0,0,0,"13.1895819444444","13.4895819444444","2167","","MSDIAL_HexCer 16:0;2O/19:0;O;[M+H]+;CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;NMLDSHFZPUGVCT-UHFFFAOYNA-N;C41H81NO9",0,0,0,0,0,0,0,0,0,"13.1895819444444","13.4895819444444","2167","","MSDIAL_HexCer 16:0;2O/19:0;O;[M+H]+;CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;NMLDSHFZPUGVCT-UHFFFAOYNA-N;C41H81NO9",0,0,0,0,0,0,0,0,0,"13.1895819444444","13.4895819444444","2167","","MSDIAL_HexCer 16:0;2O/19:0;O;[M+H]+;CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;NMLDSHFZPUGVCT-UHFFFAOYNA-N;C41H81NO9",0,0,0,0,0,0,0,0,0,"13.1895819444444","13.4895819444444","2167","","MSDIAL_HexCer 16:0;2O/19:0;O;[M+H]+;CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;NMLDSHFZPUGVCT-UHFFFAOYNA-N;C41H81NO9",0,0,0,0,0,0,0,0,0,"13.1895819444444","13.4895819444444","2167","","MSDIAL_HexCer 16:0;2O/19:0;O;[M+H]+;CCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;NMLDSHFZPUGVCT-UHFFFAOYNA-N;C41H81NO9","732.59841","714.5878","534.5244","238.2529","552.5350","732.5984","522.5244","226.2529","256.2635","13.1895819444444","13.4895819444444","2167"
"","MSDIAL_HexCer 16:0;2O/22:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;CNBDQRYXRAIBGT-HNENSFHCNA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:0;2O/22:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;CNBDQRYXRAIBGT-HNENSFHCNA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:0;2O/22:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;CNBDQRYXRAIBGT-HNENSFHCNA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:0;2O/22:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;CNBDQRYXRAIBGT-HNENSFHCNA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:0;2O/22:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;CNBDQRYXRAIBGT-HNENSFHCNA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:0;2O/22:1;O;[M+H]+;CCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCCCCCC;CNBDQRYXRAIBGT-HNENSFHCNA-N;C44H85NO9","772.62971","754.6191","574.5557","238.2529","592.5663","772.6297","562.5557","226.2529","256.2635","5.07296666666667","5.37296666666667","5335"
"","MSDIAL_HexCer 16:0;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;XDLGVHOEYSAYLK-UHFFFAOYNA-N;C48H95NO9",0,0,0,0,0,0,0,0,0,"9.84984242424242","10.1498424242424","10191","","MSDIAL_HexCer 16:0;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;XDLGVHOEYSAYLK-UHFFFAOYNA-N;C48H95NO9",0,0,0,0,0,0,0,0,0,"9.84984242424242","10.1498424242424","10191","","MSDIAL_HexCer 16:0;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;XDLGVHOEYSAYLK-UHFFFAOYNA-N;C48H95NO9",0,0,0,0,0,0,0,0,0,"9.84984242424242","10.1498424242424","10191","","MSDIAL_HexCer 16:0;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;XDLGVHOEYSAYLK-UHFFFAOYNA-N;C48H95NO9",0,0,0,0,0,0,0,0,0,"9.84984242424242","10.1498424242424","10191","","MSDIAL_HexCer 16:0;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;XDLGVHOEYSAYLK-UHFFFAOYNA-N;C48H95NO9",0,0,0,0,0,0,0,0,0,"9.84984242424242","10.1498424242424","10191","","MSDIAL_HexCer 16:0;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)CCCCCCCCCCCCC;XDLGVHOEYSAYLK-UHFFFAOYNA-N;C48H95NO9","830.70796","812.6974","632.6340","238.2529","650.6445","830.7079","620.6340","226.2529","256.2635","9.84984242424242","10.1498424242424","10191"
