"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_HexCer_HS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_HexCer_HS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Number of Scans","MSDIAL_HexCer_HS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Max Intensity","MSDIAL_HexCer_HS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Average m/z","MSDIAL_HexCer_HS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_HexCer_HS","[M+H]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment"
"","MSDIAL_HexCer 16:1;2O/12:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCC;ZWVXZSBQKGAAHS-LSDHQDQONA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:1;2O/12:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCC;ZWVXZSBQKGAAHS-LSDHQDQONA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:1;2O/12:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCC;ZWVXZSBQKGAAHS-LSDHQDQONA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:1;2O/12:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCC;ZWVXZSBQKGAAHS-LSDHQDQONA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:1;2O/12:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCC;ZWVXZSBQKGAAHS-LSDHQDQONA-N;C34H65NO9",0,0,0,0,0,0,0,0,0,"0.381401515151515","0.681401515151515","9873","","MSDIAL_HexCer 16:1;2O/12:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCC;ZWVXZSBQKGAAHS-LSDHQDQONA-N;C34H65NO9","632.47321","614.4626","434.3992","236.2373","452.4098"," 632.4732","422.3992","224.2373","254.2478","0.381401515151515","0.681401515151515","9873"
"","MSDIAL_HexCer 16:1;2O/13:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCC;RWNSFJMEDVRYDH-XTQSDGFTNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:1;2O/13:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCC;RWNSFJMEDVRYDH-XTQSDGFTNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:1;2O/13:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCC;RWNSFJMEDVRYDH-XTQSDGFTNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:1;2O/13:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCC;RWNSFJMEDVRYDH-XTQSDGFTNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:1;2O/13:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCC;RWNSFJMEDVRYDH-XTQSDGFTNA-N;C35H67NO9",0,0,0,0,0,0,0,0,0,"0.453883333333333","0.753883333333333","8095","","MSDIAL_HexCer 16:1;2O/13:0;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCCCCC;RWNSFJMEDVRYDH-XTQSDGFTNA-N;C35H67NO9","646.48886","628.4783","448.4149","236.2373","466.4254"," 646.4888","436.4149","224.2373","254.2478","0.453883333333333","0.753883333333333","8095"
"","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"4.9459625","5.2459625","1270","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9","716.56711","698.5565","518.4932","236.2373","536.5037"," 716.5671","506.4931","224.2373","254.2478","4.9459625","5.2459625","1270"
"","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9",0,0,0,0,0,0,0,0,0,"6.05895555555555","6.35895555555555","2400","","MSDIAL_HexCer 16:1;2O/18:0;O;[M+H]+;CCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DSJYJIDRAVYCHR-BYCLXTJYNA-N;C40H77NO9","716.56711","698.5565","518.4932","236.2373","536.5037"," 716.5671","506.4931","224.2373","254.2478","6.05895555555555","6.35895555555555","2400"
"","MSDIAL_HexCer 16:1;2O/18:1;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;RLKOKWMGFQFRAS-AMRUHLLTNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:1;2O/18:1;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;RLKOKWMGFQFRAS-AMRUHLLTNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:1;2O/18:1;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;RLKOKWMGFQFRAS-AMRUHLLTNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:1;2O/18:1;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;RLKOKWMGFQFRAS-AMRUHLLTNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:1;2O/18:1;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;RLKOKWMGFQFRAS-AMRUHLLTNA-N;C40H75NO9",0,0,0,0,0,0,0,0,0,"4.87828888888889","5.17828888888889","3047","","MSDIAL_HexCer 16:1;2O/18:1;O;[M+H]+;CCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)C(O)CCCCCCCC\C=C/CCCCCC;RLKOKWMGFQFRAS-AMRUHLLTNA-N;C40H75NO9","714.55146","696.5409","516.4775","236.2373","534.4880"," 714.5515","504.4775","224.2373","254.2478","4.87828888888889","5.17828888888889","3047"
"","MSDIAL_HexCer 16:1;2O/22:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DHERRFSDLNUGOK-NHQGMKOONA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:1;2O/22:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DHERRFSDLNUGOK-NHQGMKOONA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:1;2O/22:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DHERRFSDLNUGOK-NHQGMKOONA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:1;2O/22:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DHERRFSDLNUGOK-NHQGMKOONA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:1;2O/22:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DHERRFSDLNUGOK-NHQGMKOONA-N;C44H85NO9",0,0,0,0,0,0,0,0,0,"5.07296666666667","5.37296666666667","5335","","MSDIAL_HexCer 16:1;2O/22:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DHERRFSDLNUGOK-NHQGMKOONA-N;C44H85NO9","772.62971","754.6191","574.5557","236.2373","592.5663"," 772.6297","562.5557","224.2373","254.2478","5.07296666666667","5.37296666666667","5335"
"","MSDIAL_HexCer 16:1;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,0,0,0,"8.73256944444444","9.03256944444444","7818","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,0,0,0,"8.73256944444444","9.03256944444444","7818","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,0,0,0,"8.73256944444444","9.03256944444444","7818","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,0,0,0,"8.73256944444444","9.03256944444444","7818","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9",0,0,0,0,0,0,0,0,0,"8.73256944444444","9.03256944444444","7818","","MSDIAL_HexCer 16:1;2O/26:0;O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;DFFBNIJKKUVWPO-JMUUFCRMNA-N;C48H93NO9","828.69231","810.6818","630.6183","236.2373","648.6289"," 828.6923","618.6183","224.2373","254.2478","8.73256944444444","9.03256944444444","7818"
"","MSDIAL_HexCer 16:1;2O/30:1;O;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;UWQFGQPUXPEKCP-AMDQDZSZNA-N;C52H99NO9",0,0,0,0,0,0,0,0,0,"5.64739393939394","5.94739393939394","14147","","MSDIAL_HexCer 16:1;2O/30:1;O;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;UWQFGQPUXPEKCP-AMDQDZSZNA-N;C52H99NO9",0,0,0,0,0,0,0,0,0,"5.64739393939394","5.94739393939394","14147","","MSDIAL_HexCer 16:1;2O/30:1;O;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;UWQFGQPUXPEKCP-AMDQDZSZNA-N;C52H99NO9",0,0,0,0,0,0,0,0,0,"5.64739393939394","5.94739393939394","14147","","MSDIAL_HexCer 16:1;2O/30:1;O;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;UWQFGQPUXPEKCP-AMDQDZSZNA-N;C52H99NO9",0,0,0,0,0,0,0,0,0,"5.64739393939394","5.94739393939394","14147","","MSDIAL_HexCer 16:1;2O/30:1;O;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;UWQFGQPUXPEKCP-AMDQDZSZNA-N;C52H99NO9",0,0,0,0,0,0,0,0,0,"5.64739393939394","5.94739393939394","14147","","MSDIAL_HexCer 16:1;2O/30:1;O;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCCCC;UWQFGQPUXPEKCP-AMDQDZSZNA-N;C52H99NO9","882.73926","864.7287","684.6653","236.2373","702.6758"," 882.7393","672.6653","224.2373","254.2478","5.64739393939394","5.94739393939394","14147"
"","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"8.60180972222222","8.90180972222222","11813","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"8.60180972222222","8.90180972222222","11813","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"8.60180972222222","8.90180972222222","11813","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"8.60180972222222","8.90180972222222","11813","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"8.60180972222222","8.90180972222222","11813","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9","682.48886","664.4783","484.4149","234.2216","502.4254"," 682.4888","472.4149","222.2216","252.2322","8.60180972222222","8.90180972222222","11813"
"","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"12.5669541666667","12.8669541666667","12249","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"12.5669541666667","12.8669541666667","12249","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"12.5669541666667","12.8669541666667","12249","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"12.5669541666667","12.8669541666667","12249","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"12.5669541666667","12.8669541666667","12249","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9","682.48886","664.4783","484.4149","234.2216","502.4254"," 682.4888","472.4149","222.2216","252.2322","12.5669541666667","12.8669541666667","12249"
"","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"15.2129181818182","15.5129181818182","12324","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"15.2129181818182","15.5129181818182","12324","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"15.2129181818182","15.5129181818182","12324","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"15.2129181818182","15.5129181818182","12324","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9",0,0,0,0,0,0,0,0,0,"15.2129181818182","15.5129181818182","12324","","MSDIAL_HexCer 16:2;2O/16:2;O;[M+H]+;CCCCCCCC\C=C/C\C=C/CC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCCCCCC;GWPJHXDEOBOANM-IMTKLRFONA-N;C38H67NO9","682.48886","664.4783","484.4149","234.2216","502.4254"," 682.4888","472.4149","222.2216","252.2322","15.2129181818182","15.5129181818182","12324"
