"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LDGCC","[M+H]+","1","2","3","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LDGCC","[M+H]+","1","2","3","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LDGCC","[M+H]+","1","2","3","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LDGCC","[M+H]+","1","2","3","RT_min","RT_max","Comment","Average m/z","MSDIAL_LDGCC","[M+H]+","1","2","3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LDGCC","[M+H]+","1","2","3","RT_min","RT_max","Comment"
"","MSDIAL_LDGCC 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XEXAZFXJGFSXHB-UHFFFAOYNA-N;C20H39NO7",0,0,0,0,"0.390869444444445","0.690869444444445","10731","","MSDIAL_LDGCC 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XEXAZFXJGFSXHB-UHFFFAOYNA-N;C20H39NO7",0,0,0,0,"0.390869444444445","0.690869444444445","10731","","MSDIAL_LDGCC 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XEXAZFXJGFSXHB-UHFFFAOYNA-N;C20H39NO7",0,0,0,0,"0.390869444444445","0.690869444444445","10731","","MSDIAL_LDGCC 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XEXAZFXJGFSXHB-UHFFFAOYNA-N;C20H39NO7",0,0,0,0,"0.390869444444445","0.690869444444445","10731","","MSDIAL_LDGCC 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XEXAZFXJGFSXHB-UHFFFAOYNA-N;C20H39NO7",0,0,0,0,"0.390869444444445","0.690869444444445","10731","","MSDIAL_LDGCC 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XEXAZFXJGFSXHB-UHFFFAOYNA-N;C20H39NO7","406.27993","406.2799","104.107","132.1019","0.390869444444445","0.690869444444445","10731"
"","MSDIAL_LDGCC 11:0;[M+H]+;CCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;CGYPUWXZMGDGKG-UHFFFAOYNA-N;C21H41NO7",0,0,0,0,"0.252780555555556","0.552780555555556","9256","","MSDIAL_LDGCC 11:0;[M+H]+;CCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;CGYPUWXZMGDGKG-UHFFFAOYNA-N;C21H41NO7",0,0,0,0,"0.252780555555556","0.552780555555556","9256","","MSDIAL_LDGCC 11:0;[M+H]+;CCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;CGYPUWXZMGDGKG-UHFFFAOYNA-N;C21H41NO7",0,0,0,0,"0.252780555555556","0.552780555555556","9256","","MSDIAL_LDGCC 11:0;[M+H]+;CCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;CGYPUWXZMGDGKG-UHFFFAOYNA-N;C21H41NO7",0,0,0,0,"0.252780555555556","0.552780555555556","9256","","MSDIAL_LDGCC 11:0;[M+H]+;CCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;CGYPUWXZMGDGKG-UHFFFAOYNA-N;C21H41NO7",0,0,0,0,"0.252780555555556","0.552780555555556","9256","","MSDIAL_LDGCC 11:0;[M+H]+;CCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;CGYPUWXZMGDGKG-UHFFFAOYNA-N;C21H41NO7","420.29558","420.2956","104.107","132.1019","0.252780555555556","0.552780555555556","9256"
"","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.261336363636364","0.561336363636364","16551","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.261336363636364","0.561336363636364","16551","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.261336363636364","0.561336363636364","16551","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.261336363636364","0.561336363636364","16551","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.261336363636364","0.561336363636364","16551","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7","434.31123","434.3112","104.107","132.1019","0.261336363636364","0.561336363636364","16551"
"","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.520989393939394","0.820989393939394","18863","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.520989393939394","0.820989393939394","18863","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.520989393939394","0.820989393939394","18863","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.520989393939394","0.820989393939394","18863","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7",0,0,0,0,"0.520989393939394","0.820989393939394","18863","","MSDIAL_LDGCC 12:0;[M+H]+;CCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;FOLHORPLPQZHMH-UHFFFAOYNA-N;C22H43NO7","434.31123","434.3112","104.107","132.1019","0.520989393939394","0.820989393939394","18863"
"","MSDIAL_LDGCC 13:0;[M+H]+;CCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XMVSSXVNASWWNW-UHFFFAOYNA-N;C23H45NO7",0,0,0,0,"0.352568055555556","0.652568055555556","10328","","MSDIAL_LDGCC 13:0;[M+H]+;CCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XMVSSXVNASWWNW-UHFFFAOYNA-N;C23H45NO7",0,0,0,0,"0.352568055555556","0.652568055555556","10328","","MSDIAL_LDGCC 13:0;[M+H]+;CCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XMVSSXVNASWWNW-UHFFFAOYNA-N;C23H45NO7",0,0,0,0,"0.352568055555556","0.652568055555556","10328","","MSDIAL_LDGCC 13:0;[M+H]+;CCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XMVSSXVNASWWNW-UHFFFAOYNA-N;C23H45NO7",0,0,0,0,"0.352568055555556","0.652568055555556","10328","","MSDIAL_LDGCC 13:0;[M+H]+;CCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XMVSSXVNASWWNW-UHFFFAOYNA-N;C23H45NO7",0,0,0,0,"0.352568055555556","0.652568055555556","10328","","MSDIAL_LDGCC 13:0;[M+H]+;CCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XMVSSXVNASWWNW-UHFFFAOYNA-N;C23H45NO7","448.32688","448.3269","104.107","132.1019","0.352568055555556","0.652568055555556","10328"
"","MSDIAL_LDGCC 13:1;[M+H]+;CCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;PHJCSMKWJWOTEH-FPLPWBNLNA-N;C23H43NO7",0,0,0,0,"0.33204696969697","0.63204696969697","3646","","MSDIAL_LDGCC 13:1;[M+H]+;CCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;PHJCSMKWJWOTEH-FPLPWBNLNA-N;C23H43NO7",0,0,0,0,"0.33204696969697","0.63204696969697","3646","","MSDIAL_LDGCC 13:1;[M+H]+;CCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;PHJCSMKWJWOTEH-FPLPWBNLNA-N;C23H43NO7",0,0,0,0,"0.33204696969697","0.63204696969697","3646","","MSDIAL_LDGCC 13:1;[M+H]+;CCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;PHJCSMKWJWOTEH-FPLPWBNLNA-N;C23H43NO7",0,0,0,0,"0.33204696969697","0.63204696969697","3646","","MSDIAL_LDGCC 13:1;[M+H]+;CCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;PHJCSMKWJWOTEH-FPLPWBNLNA-N;C23H43NO7",0,0,0,0,"0.33204696969697","0.63204696969697","3646","","MSDIAL_LDGCC 13:1;[M+H]+;CCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;PHJCSMKWJWOTEH-FPLPWBNLNA-N;C23H43NO7","446.31123","446.3112","104.107","132.1019","0.33204696969697","0.63204696969697","3646"
"","MSDIAL_LDGCC 14:1;[M+H]+;CCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XOVCBEVXQVAMBA-HJWRWDBZNA-N;C24H45NO7",0,0,0,0,"0.388106944444445","0.688106944444445","8239","","MSDIAL_LDGCC 14:1;[M+H]+;CCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XOVCBEVXQVAMBA-HJWRWDBZNA-N;C24H45NO7",0,0,0,0,"0.388106944444445","0.688106944444445","8239","","MSDIAL_LDGCC 14:1;[M+H]+;CCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XOVCBEVXQVAMBA-HJWRWDBZNA-N;C24H45NO7",0,0,0,0,"0.388106944444445","0.688106944444445","8239","","MSDIAL_LDGCC 14:1;[M+H]+;CCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XOVCBEVXQVAMBA-HJWRWDBZNA-N;C24H45NO7",0,0,0,0,"0.388106944444445","0.688106944444445","8239","","MSDIAL_LDGCC 14:1;[M+H]+;CCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XOVCBEVXQVAMBA-HJWRWDBZNA-N;C24H45NO7",0,0,0,0,"0.388106944444445","0.688106944444445","8239","","MSDIAL_LDGCC 14:1;[M+H]+;CCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;XOVCBEVXQVAMBA-HJWRWDBZNA-N;C24H45NO7","460.32688","460.3269","104.107","132.1019","0.388106944444445","0.688106944444445","8239"
"","MSDIAL_LDGCC 15:1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QXSRBVSJWNKTLZ-KTKRTIGZNA-N;C25H47NO7",1,1,0,0,"0.372923611111111","0.672923611111111","5110","","MSDIAL_LDGCC 15:1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QXSRBVSJWNKTLZ-KTKRTIGZNA-N;C25H47NO7",0.5537273,0.5537273,0,0,"0.372923611111111","0.672923611111111","5110","","MSDIAL_LDGCC 15:1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QXSRBVSJWNKTLZ-KTKRTIGZNA-N;C25H47NO7",1,1,0,0,"0.372923611111111","0.672923611111111","5110","","MSDIAL_LDGCC 15:1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QXSRBVSJWNKTLZ-KTKRTIGZNA-N;C25H47NO7",2033.571,2033.571,0,0,"0.372923611111111","0.672923611111111","5110","","MSDIAL_LDGCC 15:1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QXSRBVSJWNKTLZ-KTKRTIGZNA-N;C25H47NO7",474.3442,474.3442,0,0,"0.372923611111111","0.672923611111111","5110","","MSDIAL_LDGCC 15:1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QXSRBVSJWNKTLZ-KTKRTIGZNA-N;C25H47NO7","474.34253","474.3425","104.107","132.1019","0.372923611111111","0.672923611111111","5110"
"","MSDIAL_LDGCC 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;ANDJVEXQBRPJHM-UHFFFAOYNA-N;C26H51NO7",0,0,0,0,"0.94924861111111","1.24924861111111","6001","","MSDIAL_LDGCC 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;ANDJVEXQBRPJHM-UHFFFAOYNA-N;C26H51NO7",0,0,0,0,"0.94924861111111","1.24924861111111","6001","","MSDIAL_LDGCC 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;ANDJVEXQBRPJHM-UHFFFAOYNA-N;C26H51NO7",0,0,0,0,"0.94924861111111","1.24924861111111","6001","","MSDIAL_LDGCC 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;ANDJVEXQBRPJHM-UHFFFAOYNA-N;C26H51NO7",0,0,0,0,"0.94924861111111","1.24924861111111","6001","","MSDIAL_LDGCC 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;ANDJVEXQBRPJHM-UHFFFAOYNA-N;C26H51NO7",0,0,0,0,"0.94924861111111","1.24924861111111","6001","","MSDIAL_LDGCC 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;ANDJVEXQBRPJHM-UHFFFAOYNA-N;C26H51NO7","490.37383","490.3738","104.107","132.1019","0.94924861111111","1.24924861111111","6001"
"","MSDIAL_LDGCC 17:0;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QKBFCLHIGRVUAM-UHFFFAOYNA-N;C27H53NO7",0,0,0,0,"2.42108333333333","2.72108333333333","6287","","MSDIAL_LDGCC 17:0;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QKBFCLHIGRVUAM-UHFFFAOYNA-N;C27H53NO7",0,0,0,0,"2.42108333333333","2.72108333333333","6287","","MSDIAL_LDGCC 17:0;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QKBFCLHIGRVUAM-UHFFFAOYNA-N;C27H53NO7",0,0,0,0,"2.42108333333333","2.72108333333333","6287","","MSDIAL_LDGCC 17:0;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QKBFCLHIGRVUAM-UHFFFAOYNA-N;C27H53NO7",0,0,0,0,"2.42108333333333","2.72108333333333","6287","","MSDIAL_LDGCC 17:0;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QKBFCLHIGRVUAM-UHFFFAOYNA-N;C27H53NO7",0,0,0,0,"2.42108333333333","2.72108333333333","6287","","MSDIAL_LDGCC 17:0;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COC(OCC[N+](C)(C)C)C([O-])=O;QKBFCLHIGRVUAM-UHFFFAOYNA-N;C27H53NO7","504.38948","504.3895","104.107","132.1019","2.42108333333333","2.72108333333333","6287"
