"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LDGTS","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LDGTS","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LDGTS","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LDGTS","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_LDGTS","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LDGTS","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_LDGTS 4:0;[M+H]+;CCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;QDBWILAYRXPVDV-UHFFFAOYNA-N;C14H27NO6",0,0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","MSDIAL_LDGTS 4:0;[M+H]+;CCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;QDBWILAYRXPVDV-UHFFFAOYNA-N;C14H27NO6",0,0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","MSDIAL_LDGTS 4:0;[M+H]+;CCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;QDBWILAYRXPVDV-UHFFFAOYNA-N;C14H27NO6",0,0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","MSDIAL_LDGTS 4:0;[M+H]+;CCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;QDBWILAYRXPVDV-UHFFFAOYNA-N;C14H27NO6",0,0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","MSDIAL_LDGTS 4:0;[M+H]+;CCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;QDBWILAYRXPVDV-UHFFFAOYNA-N;C14H27NO6",0,0,0,0,0,0,"0.354361666666667","0.654361666666667","17862","","MSDIAL_LDGTS 4:0;[M+H]+;CCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;QDBWILAYRXPVDV-UHFFFAOYNA-N;C14H27NO6","306.19111","236.1492","218.1387","306.1911","288.1805","144.1019","0.354361666666667","0.654361666666667","17862"
"","MSDIAL_LDGTS 5:0;[M+H]+;CCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;RGQKHCXHLNWIJV-UHFFFAOYNA-N;C15H29NO6",0,0,0,0,0,0,"0.2131375","0.5131375","12863","","MSDIAL_LDGTS 5:0;[M+H]+;CCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;RGQKHCXHLNWIJV-UHFFFAOYNA-N;C15H29NO6",0,0,0,0,0,0,"0.2131375","0.5131375","12863","","MSDIAL_LDGTS 5:0;[M+H]+;CCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;RGQKHCXHLNWIJV-UHFFFAOYNA-N;C15H29NO6",0,0,0,0,0,0,"0.2131375","0.5131375","12863","","MSDIAL_LDGTS 5:0;[M+H]+;CCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;RGQKHCXHLNWIJV-UHFFFAOYNA-N;C15H29NO6",0,0,0,0,0,0,"0.2131375","0.5131375","12863","","MSDIAL_LDGTS 5:0;[M+H]+;CCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;RGQKHCXHLNWIJV-UHFFFAOYNA-N;C15H29NO6",0,0,0,0,0,0,"0.2131375","0.5131375","12863","","MSDIAL_LDGTS 5:0;[M+H]+;CCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;RGQKHCXHLNWIJV-UHFFFAOYNA-N;C15H29NO6","320.20676","236.1492","218.1387","320.2068","302.1962","144.1019","0.2131375","0.5131375","12863"
"","MSDIAL_LDGTS 6:0;[M+H]+;CCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;KYSLBNHCBIXWHW-UHFFFAOYNA-N;C16H31NO6",0,0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","MSDIAL_LDGTS 6:0;[M+H]+;CCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;KYSLBNHCBIXWHW-UHFFFAOYNA-N;C16H31NO6",0,0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","MSDIAL_LDGTS 6:0;[M+H]+;CCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;KYSLBNHCBIXWHW-UHFFFAOYNA-N;C16H31NO6",0,0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","MSDIAL_LDGTS 6:0;[M+H]+;CCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;KYSLBNHCBIXWHW-UHFFFAOYNA-N;C16H31NO6",0,0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","MSDIAL_LDGTS 6:0;[M+H]+;CCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;KYSLBNHCBIXWHW-UHFFFAOYNA-N;C16H31NO6",0,0,0,0,0,0,"0.233751515151515","0.533751515151515","1514","","MSDIAL_LDGTS 6:0;[M+H]+;CCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;KYSLBNHCBIXWHW-UHFFFAOYNA-N;C16H31NO6","334.22241","236.1492","218.1387","334.2224","316.2119","144.1019","0.233751515151515","0.533751515151515","1514"
"","MSDIAL_LDGTS 7:0;[M+H]+;CCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;HHUBOISTUXLZBA-UHFFFAOYNA-N;C17H33NO6",0,0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","MSDIAL_LDGTS 7:0;[M+H]+;CCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;HHUBOISTUXLZBA-UHFFFAOYNA-N;C17H33NO6",0,0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","MSDIAL_LDGTS 7:0;[M+H]+;CCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;HHUBOISTUXLZBA-UHFFFAOYNA-N;C17H33NO6",0,0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","MSDIAL_LDGTS 7:0;[M+H]+;CCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;HHUBOISTUXLZBA-UHFFFAOYNA-N;C17H33NO6",0,0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","MSDIAL_LDGTS 7:0;[M+H]+;CCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;HHUBOISTUXLZBA-UHFFFAOYNA-N;C17H33NO6",0,0,0,0,0,0,"0.273609722222222","0.573609722222222","3723","","MSDIAL_LDGTS 7:0;[M+H]+;CCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;HHUBOISTUXLZBA-UHFFFAOYNA-N;C17H33NO6","348.23806","236.1492","218.1387","348.2381","330.2275","144.1019","0.273609722222222","0.573609722222222","3723"
"","MSDIAL_LDGTS 8:0;[M+H]+;CCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;DJEWBTLHQNVXAR-UHFFFAOYNA-N;C18H35NO6",0,0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","MSDIAL_LDGTS 8:0;[M+H]+;CCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;DJEWBTLHQNVXAR-UHFFFAOYNA-N;C18H35NO6",0,0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","MSDIAL_LDGTS 8:0;[M+H]+;CCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;DJEWBTLHQNVXAR-UHFFFAOYNA-N;C18H35NO6",0,0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","MSDIAL_LDGTS 8:0;[M+H]+;CCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;DJEWBTLHQNVXAR-UHFFFAOYNA-N;C18H35NO6",0,0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","MSDIAL_LDGTS 8:0;[M+H]+;CCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;DJEWBTLHQNVXAR-UHFFFAOYNA-N;C18H35NO6",0,0,0,0,0,0,"0.314616666666667","0.614616666666667","5104","","MSDIAL_LDGTS 8:0;[M+H]+;CCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;DJEWBTLHQNVXAR-UHFFFAOYNA-N;C18H35NO6","362.25371","236.1492","218.1387","362.2537","344.2432","144.1019","0.314616666666667","0.614616666666667","5104"
"","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.09867777777778","4.39867777777778","8110","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6","390.28501","236.1492","218.1387","390.2850","372.2744","144.1019","4.09867777777778","4.39867777777778","8110"
"","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"1.79171527777778","2.09171527777778","8171","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6","390.28501","236.1492","218.1387","390.2850","372.2744","144.1019","1.79171527777778","2.09171527777778","8171"
"","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"4.81186111111111","5.11186111111111","8514","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6","390.28501","236.1492","218.1387","390.2850","372.2744","144.1019","4.81186111111111","5.11186111111111","8514"
"","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"9.15855277777778","9.45855277777778","9005","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6","390.28501","236.1492","218.1387","390.2850","372.2744","144.1019","9.15855277777778","9.45855277777778","9005"
"","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"0.375825757575758","0.675825757575758","10243","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6","390.28501","236.1492","218.1387","390.2850","372.2744","144.1019","0.375825757575758","0.675825757575758","10243"
"","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6",0,0,0,0,0,0,"5.07489166666667","5.37489166666667","10573","","MSDIAL_LDGTS 10:0;[M+H]+;CCCCCCCCCC(=O)OCC(O)COCCC(C([O-])=O)[N+](C)(C)C;IAOFCGFTOJIOTI-UHFFFAOYNA-N;C20H39NO6","390.28501","236.1492","218.1387","390.2850","372.2744","144.1019","5.07489166666667","5.37489166666667","10573"
