"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Number of Scans","MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Max Intensity","MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Average m/z","MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7","RT_min","RT_max","Comment"
"","MSDIAL_NAOrn 10:0/18:0;[M+H]+;CCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;XIYOWEYDLMSIRS-UHFFFAOYNA-N;C33H64N2O5",0,0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAOrn 10:0/18:0;[M+H]+;CCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;XIYOWEYDLMSIRS-UHFFFAOYNA-N;C33H64N2O5",0,0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAOrn 10:0/18:0;[M+H]+;CCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;XIYOWEYDLMSIRS-UHFFFAOYNA-N;C33H64N2O5",0,0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAOrn 10:0/18:0;[M+H]+;CCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;XIYOWEYDLMSIRS-UHFFFAOYNA-N;C33H64N2O5",0,0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAOrn 10:0/18:0;[M+H]+;CCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;XIYOWEYDLMSIRS-UHFFFAOYNA-N;C33H64N2O5",0,0,0,0,0,0,0,0,"10.5227466666667","10.8227466666667","8713","","MSDIAL_NAOrn 10:0/18:0;[M+H]+;CCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;XIYOWEYDLMSIRS-UHFFFAOYNA-N;C33H64N2O5","569.48880","115.0866","70.06513","379.3319","133.0972","397.3425","569.4888","265.2526","10.5227466666667","10.8227466666667","8713"
"","MSDIAL_NAOrn 10:0/18:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;ZUNBJJVZRGLWJH-NKFKGCMQNA-N;C33H62N2O5",0,0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAOrn 10:0/18:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;ZUNBJJVZRGLWJH-NKFKGCMQNA-N;C33H62N2O5",0,0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAOrn 10:0/18:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;ZUNBJJVZRGLWJH-NKFKGCMQNA-N;C33H62N2O5",0,0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAOrn 10:0/18:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;ZUNBJJVZRGLWJH-NKFKGCMQNA-N;C33H62N2O5",0,0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAOrn 10:0/18:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;ZUNBJJVZRGLWJH-NKFKGCMQNA-N;C33H62N2O5",0,0,0,0,0,0,0,0,"9.58410972222222","9.88410972222222","6366","","MSDIAL_NAOrn 10:0/18:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCCCC;ZUNBJJVZRGLWJH-NKFKGCMQNA-N;C33H62N2O5","567.47315","115.0866","70.06513","377.3163","133.0972","395.3268","567.4731","263.2369","9.58410972222222","9.88410972222222","6366"
"","MSDIAL_NAOrn 10:0/22:0;[M+H]+;CCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;UDBPEFIRPJQRTP-UHFFFAOYNA-N;C37H72N2O5",0,0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAOrn 10:0/22:0;[M+H]+;CCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;UDBPEFIRPJQRTP-UHFFFAOYNA-N;C37H72N2O5",0,0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAOrn 10:0/22:0;[M+H]+;CCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;UDBPEFIRPJQRTP-UHFFFAOYNA-N;C37H72N2O5",0,0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAOrn 10:0/22:0;[M+H]+;CCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;UDBPEFIRPJQRTP-UHFFFAOYNA-N;C37H72N2O5",0,0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAOrn 10:0/22:0;[M+H]+;CCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;UDBPEFIRPJQRTP-UHFFFAOYNA-N;C37H72N2O5",0,0,0,0,0,0,0,0,"5.68210277777778","5.98210277777778","8861","","MSDIAL_NAOrn 10:0/22:0;[M+H]+;CCCCCCCCCCCCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;UDBPEFIRPJQRTP-UHFFFAOYNA-N;C37H72N2O5","625.55140","115.0866","70.06513","435.3945","133.0972","453.4051","625.5514","321.3152","5.68210277777778","5.98210277777778","8861"
"","MSDIAL_NAOrn 10:0/22:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC(=O)NC(CCCN)C(O)=O)CCC\C=C/CCCCCCCC;QCVWCQHLUQAEHI-PEZBUJJGNA-N;C37H70N2O5",0,0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAOrn 10:0/22:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC(=O)NC(CCCN)C(O)=O)CCC\C=C/CCCCCCCC;QCVWCQHLUQAEHI-PEZBUJJGNA-N;C37H70N2O5",0,0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAOrn 10:0/22:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC(=O)NC(CCCN)C(O)=O)CCC\C=C/CCCCCCCC;QCVWCQHLUQAEHI-PEZBUJJGNA-N;C37H70N2O5",0,0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAOrn 10:0/22:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC(=O)NC(CCCN)C(O)=O)CCC\C=C/CCCCCCCC;QCVWCQHLUQAEHI-PEZBUJJGNA-N;C37H70N2O5",0,0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAOrn 10:0/22:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC(=O)NC(CCCN)C(O)=O)CCC\C=C/CCCCCCCC;QCVWCQHLUQAEHI-PEZBUJJGNA-N;C37H70N2O5",0,0,0,0,0,0,0,0,"5.17191111111111","5.47191111111111","8988","","MSDIAL_NAOrn 10:0/22:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC(=O)NC(CCCN)C(O)=O)CCC\C=C/CCCCCCCC;QCVWCQHLUQAEHI-PEZBUJJGNA-N;C37H70N2O5","623.53575","115.0866","70.06513","433.3788","133.0972","451.3894","623.5358","319.2995","5.17191111111111","5.47191111111111","8988"
"","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.53134027777778","6.83134027777778","4518","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5","651.56705","115.0866","70.06513","461.4102","133.0972","479.4207","651.5671","347.3308","6.53134027777778","6.83134027777778","4518"
"","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"5.7432303030303","6.0432303030303","5163","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5","651.56705","115.0866","70.06513","461.4102","133.0972","479.4207","651.5671","347.3308","5.7432303030303","6.0432303030303","5163"
"","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"8.2415625","8.5415625","6452","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5","651.56705","115.0866","70.06513","461.4102","133.0972","479.4207","651.5671","347.3308","8.2415625","8.5415625","6452"
"","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.89659722222222","7.19659722222222","7186","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.89659722222222","7.19659722222222","7186","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.89659722222222","7.19659722222222","7186","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.89659722222222","7.19659722222222","7186","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.89659722222222","7.19659722222222","7186","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5","651.56705","115.0866","70.06513","461.4102","133.0972","479.4207","651.5671","347.3308","6.89659722222222","7.19659722222222","7186"
"","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"7.73253484848485","8.03253484848485","7241","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"7.73253484848485","8.03253484848485","7241","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"7.73253484848485","8.03253484848485","7241","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"7.73253484848485","8.03253484848485","7241","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"7.73253484848485","8.03253484848485","7241","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5","651.56705","115.0866","70.06513","461.4102","133.0972","479.4207","651.5671","347.3308","7.73253484848485","8.03253484848485","7241"
"","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.253375","6.553375","11503","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.253375","6.553375","11503","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.253375","6.553375","11503","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.253375","6.553375","11503","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.253375","6.553375","11503","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5","651.56705","115.0866","70.06513","461.4102","133.0972","479.4207","651.5671","347.3308","6.253375","6.553375","11503"
"","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.12672777777778","6.42672777777778","11666","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.12672777777778","6.42672777777778","11666","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.12672777777778","6.42672777777778","11666","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.12672777777778","6.42672777777778","11666","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5",0,0,0,0,0,0,0,0,"6.12672777777778","6.42672777777778","11666","","MSDIAL_NAOrn 10:0/24:1;[M+H]+;CCCCCCCCCC\C=C/CCCC(CCCCCCCC(=O)NC(CCCN)C(O)=O)OC(=O)CCCCCCCCC;QGKTYOFTAMKURM-VLGSPTGONA-N;C39H74N2O5","651.56705","115.0866","70.06513","461.4102","133.0972","479.4207","651.5671","347.3308","6.12672777777778","6.42672777777778","11666"
