"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_PI_Cer","[M+H]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_PI_Cer","[M+H]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_PI_Cer","[M+H]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_PI_Cer","[M+H]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_PI_Cer","[M+H]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_PI_Cer","[M+H]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_PI-Cer 30:2;3O;[M+H]+;CCCCC\C=C/C=C\CCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;OXCWKGZJPCYSTA-BASFJDSNNA-N;C36H68NO12P",0,0,0,"3.91648472222222","4.21648472222222","5292","","MSDIAL_PI-Cer 30:2;3O;[M+H]+;CCCCC\C=C/C=C\CCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;OXCWKGZJPCYSTA-BASFJDSNNA-N;C36H68NO12P",0,0,0,"3.91648472222222","4.21648472222222","5292","","MSDIAL_PI-Cer 30:2;3O;[M+H]+;CCCCC\C=C/C=C\CCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;OXCWKGZJPCYSTA-BASFJDSNNA-N;C36H68NO12P",0,0,0,"3.91648472222222","4.21648472222222","5292","","MSDIAL_PI-Cer 30:2;3O;[M+H]+;CCCCC\C=C/C=C\CCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;OXCWKGZJPCYSTA-BASFJDSNNA-N;C36H68NO12P",0,0,0,"3.91648472222222","4.21648472222222","5292","","MSDIAL_PI-Cer 30:2;3O;[M+H]+;CCCCC\C=C/C=C\CCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;OXCWKGZJPCYSTA-BASFJDSNNA-N;C36H68NO12P",0,0,0,"3.91648472222222","4.21648472222222","5292","","MSDIAL_PI-Cer 30:2;3O;[M+H]+;CCCCC\C=C/C=C\CCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;OXCWKGZJPCYSTA-BASFJDSNNA-N;C36H68NO12P","738.45519","478.4255"," 738.4552","3.91648472222222","4.21648472222222","5292"
"","MSDIAL_PI-Cer 36:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BPNAUZSVPQUNSF-UHFFFAOYNA-N;C42H84NO12P",0,0,0,"6.77944166666667","7.07944166666667","11479","","MSDIAL_PI-Cer 36:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BPNAUZSVPQUNSF-UHFFFAOYNA-N;C42H84NO12P",0,0,0,"6.77944166666667","7.07944166666667","11479","","MSDIAL_PI-Cer 36:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BPNAUZSVPQUNSF-UHFFFAOYNA-N;C42H84NO12P",0,0,0,"6.77944166666667","7.07944166666667","11479","","MSDIAL_PI-Cer 36:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BPNAUZSVPQUNSF-UHFFFAOYNA-N;C42H84NO12P",0,0,0,"6.77944166666667","7.07944166666667","11479","","MSDIAL_PI-Cer 36:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BPNAUZSVPQUNSF-UHFFFAOYNA-N;C42H84NO12P",0,0,0,"6.77944166666667","7.07944166666667","11479","","MSDIAL_PI-Cer 36:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BPNAUZSVPQUNSF-UHFFFAOYNA-N;C42H84NO12P","826.58039","566.5507"," 826.5804","6.77944166666667","7.07944166666667","11479"
"","MSDIAL_PI-Cer 50:1;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;XVBWTYAVPGNJIE-IZHYLOQSNA-N;C56H110NO12P",0,0,0,"10.4499166666667","10.7499166666667","16036","","MSDIAL_PI-Cer 50:1;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;XVBWTYAVPGNJIE-IZHYLOQSNA-N;C56H110NO12P",0,0,0,"10.4499166666667","10.7499166666667","16036","","MSDIAL_PI-Cer 50:1;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;XVBWTYAVPGNJIE-IZHYLOQSNA-N;C56H110NO12P",0,0,0,"10.4499166666667","10.7499166666667","16036","","MSDIAL_PI-Cer 50:1;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;XVBWTYAVPGNJIE-IZHYLOQSNA-N;C56H110NO12P",0,0,0,"10.4499166666667","10.7499166666667","16036","","MSDIAL_PI-Cer 50:1;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;XVBWTYAVPGNJIE-IZHYLOQSNA-N;C56H110NO12P",0,0,0,"10.4499166666667","10.7499166666667","16036","","MSDIAL_PI-Cer 50:1;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCC\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;XVBWTYAVPGNJIE-IZHYLOQSNA-N;C56H110NO12P","1020.78384","760.7542","1020.7840","10.4499166666667","10.7499166666667","16036"
"","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"11.8694597222222","12.1694597222222","1508","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"11.8694597222222","12.1694597222222","1508","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"11.8694597222222","12.1694597222222","1508","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"11.8694597222222","12.1694597222222","1508","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"11.8694597222222","12.1694597222222","1508","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P","980.75254","720.7228"," 980.7526","11.8694597222222","12.1694597222222","1508"
"","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.3271944444444","15.6271944444444","5658","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.3271944444444","15.6271944444444","5658","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.3271944444444","15.6271944444444","5658","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.3271944444444","15.6271944444444","5658","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.3271944444444","15.6271944444444","5658","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P","980.75254","720.7228"," 980.7526","15.3271944444444","15.6271944444444","5658"
"","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"13.0388541666667","13.3388541666667","10032","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"13.0388541666667","13.3388541666667","10032","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"13.0388541666667","13.3388541666667","10032","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"13.0388541666667","13.3388541666667","10032","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"13.0388541666667","13.3388541666667","10032","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P","980.75254","720.7228"," 980.7526","13.0388541666667","13.3388541666667","10032"
"","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.0619916666667","15.3619916666667","11757","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.0619916666667","15.3619916666667","11757","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.0619916666667","15.3619916666667","11757","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.0619916666667","15.3619916666667","11757","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"15.0619916666667","15.3619916666667","11757","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P","980.75254","720.7228"," 980.7526","15.0619916666667","15.3619916666667","11757"
"","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"14.8472597222222","15.1472597222222","15372","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"14.8472597222222","15.1472597222222","15372","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"14.8472597222222","15.1472597222222","15372","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"14.8472597222222","15.1472597222222","15372","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P",0,0,0,"14.8472597222222","15.1472597222222","15372","","MSDIAL_PI-Cer 47:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCC;OVKCGCIDTPXOCP-UHFFFAOYNA-N;C53H106NO12P","980.75254","720.7228"," 980.7526","14.8472597222222","15.1472597222222","15372"
"","MSDIAL_PI-Cer 52:2;3O;[M+H]+;CCCCCCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCC;KJOQGKKTHPPNCK-GKKPSEFHNA-N;C58H112NO12P",0,0,0,"10.4662181818182","10.7662181818182","16121","","MSDIAL_PI-Cer 52:2;3O;[M+H]+;CCCCCCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCC;KJOQGKKTHPPNCK-GKKPSEFHNA-N;C58H112NO12P",0,0,0,"10.4662181818182","10.7662181818182","16121","","MSDIAL_PI-Cer 52:2;3O;[M+H]+;CCCCCCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCC;KJOQGKKTHPPNCK-GKKPSEFHNA-N;C58H112NO12P",0,0,0,"10.4662181818182","10.7662181818182","16121","","MSDIAL_PI-Cer 52:2;3O;[M+H]+;CCCCCCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCC;KJOQGKKTHPPNCK-GKKPSEFHNA-N;C58H112NO12P",0,0,0,"10.4662181818182","10.7662181818182","16121","","MSDIAL_PI-Cer 52:2;3O;[M+H]+;CCCCCCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCC;KJOQGKKTHPPNCK-GKKPSEFHNA-N;C58H112NO12P",0,0,0,"10.4662181818182","10.7662181818182","16121","","MSDIAL_PI-Cer 52:2;3O;[M+H]+;CCCCCCCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCC;KJOQGKKTHPPNCK-GKKPSEFHNA-N;C58H112NO12P","1046.79949","786.7698","1046.7990","10.4662181818182","10.7662181818182","16121"
"","MSDIAL_PI-Cer 38:4;3O;[M+H]+;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCC;ZOSZXWNLYHELKX-VBGYTCLWNA-N;C44H80NO12P",0,0,0,"1.80870833333333","2.10870833333333","7272","","MSDIAL_PI-Cer 38:4;3O;[M+H]+;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCC;ZOSZXWNLYHELKX-VBGYTCLWNA-N;C44H80NO12P",0,0,0,"1.80870833333333","2.10870833333333","7272","","MSDIAL_PI-Cer 38:4;3O;[M+H]+;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCC;ZOSZXWNLYHELKX-VBGYTCLWNA-N;C44H80NO12P",0,0,0,"1.80870833333333","2.10870833333333","7272","","MSDIAL_PI-Cer 38:4;3O;[M+H]+;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCC;ZOSZXWNLYHELKX-VBGYTCLWNA-N;C44H80NO12P",0,0,0,"1.80870833333333","2.10870833333333","7272","","MSDIAL_PI-Cer 38:4;3O;[M+H]+;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCC;ZOSZXWNLYHELKX-VBGYTCLWNA-N;C44H80NO12P",0,0,0,"1.80870833333333","2.10870833333333","7272","","MSDIAL_PI-Cer 38:4;3O;[M+H]+;CCCCCCCCCCC\C=C/C\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)\C=C\CC\C=C\CCC;ZOSZXWNLYHELKX-VBGYTCLWNA-N;C44H80NO12P","846.54909","586.5193"," 846.5491","1.80870833333333","2.10870833333333","7272"
