"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_SHexCer","[M+H]+","1","2","3","4","5","6","7","8","9","10","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_SHexCer","[M+H]+","1","2","3","4","5","6","7","8","9","10","RT_min","RT_max","Comment","Number of Scans","MSDIAL_SHexCer","[M+H]+","1","2","3","4","5","6","7","8","9","10","RT_min","RT_max","Comment","Max Intensity","MSDIAL_SHexCer","[M+H]+","1","2","3","4","5","6","7","8","9","10","RT_min","RT_max","Comment","Average m/z","MSDIAL_SHexCer","[M+H]+","1","2","3","4","5","6","7","8","9","10","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_SHexCer","[M+H]+","1","2","3","4","5","6","7","8","9","10","RT_min","RT_max","Comment"
"","MSDIAL_SHexCer 14:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;UFWBJQQXMAABJD-UHFFFAOYNA-N;C42H83NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_SHexCer 14:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;UFWBJQQXMAABJD-UHFFFAOYNA-N;C42H83NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_SHexCer 14:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;UFWBJQQXMAABJD-UHFFFAOYNA-N;C42H83NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_SHexCer 14:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;UFWBJQQXMAABJD-UHFFFAOYNA-N;C42H83NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_SHexCer 14:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;UFWBJQQXMAABJD-UHFFFAOYNA-N;C42H83NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5424375","5.8424375","4960","","MSDIAL_SHexCer 14:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;UFWBJQQXMAABJD-UHFFFAOYNA-N;C42H83NO11S","810.57598","712.6080","210.2216","550.5552","532.5447","228.2322","198.2216","340.3574","390.2850","730.6186","568.5658","5.5424375","5.8424375","4960"
"","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.71455138888889","5.01455138888889","18767","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S","808.56028","710.5923","210.2216","548.5395","530.5289","228.2322","198.2216","338.3417","390.2850","728.6029","566.5501","4.71455138888889","5.01455138888889","18767"
"","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.43436212121212","4.73436212121212","18804","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S","808.56028","710.5923","210.2216","548.5395","530.5289","228.2322","198.2216","338.3417","390.2850","728.6029","566.5501","4.43436212121212","4.73436212121212","18804"
"","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S",0,0,0,0,0,0,0,0,0,0,0,"4.13444696969697","4.43444696969697","18885","","MSDIAL_SHexCer 14:0;2O/22:1;[M+H]+;CCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCC;ULNONGGEPQHXMN-ZCXUNETKNA-N;C42H81NO11S","808.56028","710.5923","210.2216","548.5395","530.5289","228.2322","198.2216","338.3417","390.2850","728.6029","566.5501","4.13444696969697","4.43444696969697","18885"
"","MSDIAL_SHexCer 14:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;BFKJERSMVMNTSN-UHFFFAOYNA-N;C44H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_SHexCer 14:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;BFKJERSMVMNTSN-UHFFFAOYNA-N;C44H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_SHexCer 14:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;BFKJERSMVMNTSN-UHFFFAOYNA-N;C44H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_SHexCer 14:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;BFKJERSMVMNTSN-UHFFFAOYNA-N;C44H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_SHexCer 14:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;BFKJERSMVMNTSN-UHFFFAOYNA-N;C44H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.38028055555556","5.68028055555556","2872","","MSDIAL_SHexCer 14:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;BFKJERSMVMNTSN-UHFFFAOYNA-N;C44H87NO11S","838.60728","740.6393","210.2216","578.5865","560.5759","228.2322","198.2216","368.3887","390.2850","758.6499","596.5971","5.38028055555556","5.68028055555556","2872"
"","MSDIAL_SHexCer 14:0;2O/24:1;[M+H]+;CCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;HCAMSOLTDCGVSL-VXPUYCOJNA-N;C44H85NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","MSDIAL_SHexCer 14:0;2O/24:1;[M+H]+;CCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;HCAMSOLTDCGVSL-VXPUYCOJNA-N;C44H85NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","MSDIAL_SHexCer 14:0;2O/24:1;[M+H]+;CCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;HCAMSOLTDCGVSL-VXPUYCOJNA-N;C44H85NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","MSDIAL_SHexCer 14:0;2O/24:1;[M+H]+;CCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;HCAMSOLTDCGVSL-VXPUYCOJNA-N;C44H85NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","MSDIAL_SHexCer 14:0;2O/24:1;[M+H]+;CCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;HCAMSOLTDCGVSL-VXPUYCOJNA-N;C44H85NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","MSDIAL_SHexCer 14:0;2O/24:1;[M+H]+;CCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;HCAMSOLTDCGVSL-VXPUYCOJNA-N;C44H85NO11S","836.59168","738.6237","210.2216","576.5709","558.5604","228.2322","198.2216","366.3730","390.2851","756.6343","594.5815","5.5220625","5.8220625","5412"
"","MSDIAL_SHexCer 14:0;2O/25:1;[M+H]+;CCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;GIMSESWPHNDADS-MRCUWXFGNA-N;C45H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","MSDIAL_SHexCer 14:0;2O/25:1;[M+H]+;CCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;GIMSESWPHNDADS-MRCUWXFGNA-N;C45H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","MSDIAL_SHexCer 14:0;2O/25:1;[M+H]+;CCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;GIMSESWPHNDADS-MRCUWXFGNA-N;C45H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","MSDIAL_SHexCer 14:0;2O/25:1;[M+H]+;CCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;GIMSESWPHNDADS-MRCUWXFGNA-N;C45H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","MSDIAL_SHexCer 14:0;2O/25:1;[M+H]+;CCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;GIMSESWPHNDADS-MRCUWXFGNA-N;C45H87NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","MSDIAL_SHexCer 14:0;2O/25:1;[M+H]+;CCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;GIMSESWPHNDADS-MRCUWXFGNA-N;C45H87NO11S","850.60728","752.6393","210.2216","590.5865","572.5759","228.2322","198.2216","380.3887","390.2850","770.6499","608.5971","5.30077083333333","5.60077083333333","9636"
"","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S","864.62298","766.6550","210.2216","604.6022","586.5917","228.2322","198.2216","394.4044","390.2851","784.6656","622.6128","5.8500625","6.1500625","2591"
"","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S","864.62298","766.6550","210.2216","604.6022","586.5917","228.2322","198.2216","394.4044","390.2851","784.6656","622.6128","5.29032916666667","5.59032916666667","3468"
"","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S",0,0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","MSDIAL_SHexCer 14:0;2O/26:1;[M+H]+;CCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(OS(O)(=O)=O)C1O)C(O)CCCCCCCCCCC;VKFRNJFLFNOADJ-DQRAZIAONA-N;C46H89NO11S","864.62298","766.6550","210.2216","604.6022","586.5917","228.2322","198.2216","394.4044","390.2851","784.6656","622.6128","5.63189545454546","5.93189545454546","10743"
