"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_SISE","[M+NH4]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_SISE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_SISE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_SISE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_SISE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_SISE","[M+NH4]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_SE 29:1/10:1;[M+NH4]+;CCC\C=C/CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;IYVCPRHPOSLDCI-QXMHVHEDNA-N;C39H66O2",0,0,0,"1.91847638888889","2.21847638888889","7583","","MSDIAL_SE 29:1/10:1;[M+NH4]+;CCC\C=C/CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;IYVCPRHPOSLDCI-QXMHVHEDNA-N;C39H66O2",0,0,0,"1.91847638888889","2.21847638888889","7583","","MSDIAL_SE 29:1/10:1;[M+NH4]+;CCC\C=C/CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;IYVCPRHPOSLDCI-QXMHVHEDNA-N;C39H66O2",0,0,0,"1.91847638888889","2.21847638888889","7583","","MSDIAL_SE 29:1/10:1;[M+NH4]+;CCC\C=C/CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;IYVCPRHPOSLDCI-QXMHVHEDNA-N;C39H66O2",0,0,0,"1.91847638888889","2.21847638888889","7583","","MSDIAL_SE 29:1/10:1;[M+NH4]+;CCC\C=C/CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;IYVCPRHPOSLDCI-QXMHVHEDNA-N;C39H66O2",0,0,0,"1.91847638888889","2.21847638888889","7583","","MSDIAL_SE 29:1/10:1;[M+NH4]+;CCC\C=C/CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;IYVCPRHPOSLDCI-QXMHVHEDNA-N;C39H66O2","584.54011","397.3829","584.5401","1.91847638888889","2.21847638888889","7583"
"","MSDIAL_SE 29:1/11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;ZZQRPQJDDNMYLY-UHFFFAOYNA-N;C40H70O2",0,0,0,"9.25691363636364","9.55691363636364","15464","","MSDIAL_SE 29:1/11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;ZZQRPQJDDNMYLY-UHFFFAOYNA-N;C40H70O2",0,0,0,"9.25691363636364","9.55691363636364","15464","","MSDIAL_SE 29:1/11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;ZZQRPQJDDNMYLY-UHFFFAOYNA-N;C40H70O2",0,0,0,"9.25691363636364","9.55691363636364","15464","","MSDIAL_SE 29:1/11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;ZZQRPQJDDNMYLY-UHFFFAOYNA-N;C40H70O2",0,0,0,"9.25691363636364","9.55691363636364","15464","","MSDIAL_SE 29:1/11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;ZZQRPQJDDNMYLY-UHFFFAOYNA-N;C40H70O2",0,0,0,"9.25691363636364","9.55691363636364","15464","","MSDIAL_SE 29:1/11:0;[M+NH4]+;CCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;ZZQRPQJDDNMYLY-UHFFFAOYNA-N;C40H70O2","600.57141","397.3829","600.5714","9.25691363636364","9.55691363636364","15464"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.48644444444444","9.78644444444444","4275","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.48644444444444","9.78644444444444","4275","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.48644444444444","9.78644444444444","4275","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.48644444444444","9.78644444444444","4275","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.48644444444444","9.78644444444444","4275","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","9.48644444444444","9.78644444444444","4275"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"10.2200242424242","10.5200242424242","4462","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"10.2200242424242","10.5200242424242","4462","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"10.2200242424242","10.5200242424242","4462","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"10.2200242424242","10.5200242424242","4462","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"10.2200242424242","10.5200242424242","4462","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","10.2200242424242","10.5200242424242","4462"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.67883611111111","8.97883611111111","8859","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.67883611111111","8.97883611111111","8859","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.67883611111111","8.97883611111111","8859","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.67883611111111","8.97883611111111","8859","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.67883611111111","8.97883611111111","8859","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","8.67883611111111","8.97883611111111","8859"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.10649393939394","9.40649393939394","12274","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.10649393939394","9.40649393939394","12274","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.10649393939394","9.40649393939394","12274","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.10649393939394","9.40649393939394","12274","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.10649393939394","9.40649393939394","12274","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","9.10649393939394","9.40649393939394","12274"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.92163194444444","9.22163194444444","15544","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.92163194444444","9.22163194444444","15544","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.92163194444444","9.22163194444444","15544","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.92163194444444","9.22163194444444","15544","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"8.92163194444444","9.22163194444444","15544","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","8.92163194444444","9.22163194444444","15544"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"14.6591727272727","14.9591727272727","15860","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"14.6591727272727","14.9591727272727","15860","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"14.6591727272727","14.9591727272727","15860","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"14.6591727272727","14.9591727272727","15860","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"14.6591727272727","14.9591727272727","15860","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","14.6591727272727","14.9591727272727","15860"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.1065","9.4065","18944","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.1065","9.4065","18944","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.1065","9.4065","18944","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.1065","9.4065","18944","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.1065","9.4065","18944","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","9.1065","9.4065","18944"
"","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.24575972222222","9.54575972222222","19116","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.24575972222222","9.54575972222222","19116","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.24575972222222","9.54575972222222","19116","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.24575972222222","9.54575972222222","19116","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2",0,0,0,"9.24575972222222","9.54575972222222","19116","","MSDIAL_SE 29:1/13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCC(CC)C(C)C;FHHLZYCDNKGVJK-UHFFFAOYNA-N;C42H74O2","628.60271","397.3829","628.6027","9.24575972222222","9.54575972222222","19116"
