"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_SL","[M+NH4]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_SL","[M+NH4]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Number of Scans","MSDIAL_SL","[M+NH4]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Max Intensity","MSDIAL_SL","[M+NH4]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Average m/z","MSDIAL_SL","[M+NH4]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_SL","[M+NH4]+","1","2","3","4","5","6","7","8","RT_min","RT_max","Comment"
"","MSDIAL_SL 10:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPJZYTBARKLNHW-UHFFFAOYNA-N;C20H41NO5S",0,0,0,0,0,0,0,0,0,"1.5987625","1.8987625","8387","","MSDIAL_SL 10:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPJZYTBARKLNHW-UHFFFAOYNA-N;C20H41NO5S",0,0,0,0,0,0,0,0,0,"1.5987625","1.8987625","8387","","MSDIAL_SL 10:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPJZYTBARKLNHW-UHFFFAOYNA-N;C20H41NO5S",0,0,0,0,0,0,0,0,0,"1.5987625","1.8987625","8387","","MSDIAL_SL 10:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPJZYTBARKLNHW-UHFFFAOYNA-N;C20H41NO5S",0,0,0,0,0,0,0,0,0,"1.5987625","1.8987625","8387","","MSDIAL_SL 10:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPJZYTBARKLNHW-UHFFFAOYNA-N;C20H41NO5S",0,0,0,0,0,0,0,0,0,"1.5987625","1.8987625","8387","","MSDIAL_SL 10:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPJZYTBARKLNHW-UHFFFAOYNA-N;C20H41NO5S","425.30437","236.1315","254.1420","264.1628","408.2778","425.3044","124.0063","282.1733","390.2673","1.5987625","1.8987625","8387"
"","MSDIAL_SL 10:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;BAVAPMGLSOTKOX-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 10:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;BAVAPMGLSOTKOX-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 10:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;BAVAPMGLSOTKOX-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 10:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;BAVAPMGLSOTKOX-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 10:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;BAVAPMGLSOTKOX-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 10:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;BAVAPMGLSOTKOX-UHFFFAOYNA-N;C21H43NO5S","439.32002","236.1315","254.1420","278.1784","422.2935","439.3200","124.0063","296.1890","404.2829","1.8735","2.1735","10221"
"","MSDIAL_SL 10:0;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;ZRKHNQCHKWTTFT-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 10:0;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;ZRKHNQCHKWTTFT-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 10:0;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;ZRKHNQCHKWTTFT-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 10:0;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;ZRKHNQCHKWTTFT-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 10:0;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;ZRKHNQCHKWTTFT-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 10:0;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;ZRKHNQCHKWTTFT-UHFFFAOYNA-N;C22H45NO5S","453.33567","236.1315","254.1420","292.1941","436.3091","453.3357","124.0063","310.2047","418.2986","3.87177727272727","4.17177727272727","6550"
"","MSDIAL_SL 10:0;O/20:2;[M+NH4]+;CCCCCCCC(O)C(CS(O)(=O)=O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;GRRWBNPXWDRPHK-XVTLYKPTNA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:0;O/20:2;[M+NH4]+;CCCCCCCC(O)C(CS(O)(=O)=O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;GRRWBNPXWDRPHK-XVTLYKPTNA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:0;O/20:2;[M+NH4]+;CCCCCCCC(O)C(CS(O)(=O)=O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;GRRWBNPXWDRPHK-XVTLYKPTNA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:0;O/20:2;[M+NH4]+;CCCCCCCC(O)C(CS(O)(=O)=O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;GRRWBNPXWDRPHK-XVTLYKPTNA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:0;O/20:2;[M+NH4]+;CCCCCCCC(O)C(CS(O)(=O)=O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;GRRWBNPXWDRPHK-XVTLYKPTNA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:0;O/20:2;[M+NH4]+;CCCCCCCC(O)C(CS(O)(=O)=O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;GRRWBNPXWDRPHK-XVTLYKPTNA-N;C30H57NO5S","561.42957","236.1315","254.1420","400.2880","544.4030","561.4296","124.0063","418.2986","526.3925","2.553225","2.853225","17197"
"","MSDIAL_SL 10:0;O/25:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPSNFWIEVOAICX-UHFFFAOYNA-N;C35H71NO5S",0,0,0,0,0,0,0,0,0,"11.8391555555556","12.1391555555556","8958","","MSDIAL_SL 10:0;O/25:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPSNFWIEVOAICX-UHFFFAOYNA-N;C35H71NO5S",0,0,0,0,0,0,0,0,0,"11.8391555555556","12.1391555555556","8958","","MSDIAL_SL 10:0;O/25:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPSNFWIEVOAICX-UHFFFAOYNA-N;C35H71NO5S",0,0,0,0,0,0,0,0,0,"11.8391555555556","12.1391555555556","8958","","MSDIAL_SL 10:0;O/25:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPSNFWIEVOAICX-UHFFFAOYNA-N;C35H71NO5S",0,0,0,0,0,0,0,0,0,"11.8391555555556","12.1391555555556","8958","","MSDIAL_SL 10:0;O/25:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPSNFWIEVOAICX-UHFFFAOYNA-N;C35H71NO5S",0,0,0,0,0,0,0,0,0,"11.8391555555556","12.1391555555556","8958","","MSDIAL_SL 10:0;O/25:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCC;JPSNFWIEVOAICX-UHFFFAOYNA-N;C35H71NO5S","635.53912","236.1315","254.1420","474.3976","618.5126","635.5391","124.0063","492.4081","600.5020","11.8391555555556","12.1391555555556","8958"
"","MSDIAL_SL 10:1;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;VVMSKVDWBUXLLR-FYWRMAATNA-N;C20H39NO5S",1,0,0,0,0,1,0,0,0,"1.4196375","1.7196375","7244","","MSDIAL_SL 10:1;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;VVMSKVDWBUXLLR-FYWRMAATNA-N;C20H39NO5S",1.504451,0,0,0,0,1.504451,0,0,0,"1.4196375","1.7196375","7244","","MSDIAL_SL 10:1;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;VVMSKVDWBUXLLR-FYWRMAATNA-N;C20H39NO5S",1,0,0,0,0,1,0,0,0,"1.4196375","1.7196375","7244","","MSDIAL_SL 10:1;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;VVMSKVDWBUXLLR-FYWRMAATNA-N;C20H39NO5S",3927.428,0,0,0,0,3927.428,0,0,0,"1.4196375","1.7196375","7244","","MSDIAL_SL 10:1;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;VVMSKVDWBUXLLR-FYWRMAATNA-N;C20H39NO5S",423.2906,0,0,0,0,423.2906,0,0,0,"1.4196375","1.7196375","7244","","MSDIAL_SL 10:1;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;VVMSKVDWBUXLLR-FYWRMAATNA-N;C20H39NO5S","423.28872","234.1158","252.1264","264.1628","406.2622","423.2887","124.0063","282.1733","388.2516","1.4196375","1.7196375","7244"
"","MSDIAL_SL 10:1;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;ZYCKMRAIRVSIEY-BMRADRMJNA-N;C22H43NO5S",0,0,0,0,0,0,0,0,0,"3.96069444444444","4.26069444444444","3686","","MSDIAL_SL 10:1;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;ZYCKMRAIRVSIEY-BMRADRMJNA-N;C22H43NO5S",0,0,0,0,0,0,0,0,0,"3.96069444444444","4.26069444444444","3686","","MSDIAL_SL 10:1;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;ZYCKMRAIRVSIEY-BMRADRMJNA-N;C22H43NO5S",0,0,0,0,0,0,0,0,0,"3.96069444444444","4.26069444444444","3686","","MSDIAL_SL 10:1;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;ZYCKMRAIRVSIEY-BMRADRMJNA-N;C22H43NO5S",0,0,0,0,0,0,0,0,0,"3.96069444444444","4.26069444444444","3686","","MSDIAL_SL 10:1;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;ZYCKMRAIRVSIEY-BMRADRMJNA-N;C22H43NO5S",0,0,0,0,0,0,0,0,0,"3.96069444444444","4.26069444444444","3686","","MSDIAL_SL 10:1;O/12:0;[M+NH4]+;CCCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;ZYCKMRAIRVSIEY-BMRADRMJNA-N;C22H43NO5S","451.32002","234.1158","252.1264","292.1941","434.2935","451.3200","124.0063","310.2047","416.2829","3.96069444444444","4.26069444444444","3686"
"","MSDIAL_SL 10:1;O/20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;JFOKOOPHPOJMSH-TYHMIMIANA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:1;O/20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;JFOKOOPHPOJMSH-TYHMIMIANA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:1;O/20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;JFOKOOPHPOJMSH-TYHMIMIANA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:1;O/20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;JFOKOOPHPOJMSH-TYHMIMIANA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:1;O/20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;JFOKOOPHPOJMSH-TYHMIMIANA-N;C30H57NO5S",0,0,0,0,0,0,0,0,0,"2.553225","2.853225","17197","","MSDIAL_SL 10:1;O/20:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)\C=C\CCCCC;JFOKOOPHPOJMSH-TYHMIMIANA-N;C30H57NO5S","561.42957","234.1158","252.1264","402.3036","544.4030","561.4296","124.0063","420.3142","526.3925","2.553225","2.853225","17197"
"","MSDIAL_SL 11:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;FVJRFRXCTYURSA-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 11:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;FVJRFRXCTYURSA-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 11:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;FVJRFRXCTYURSA-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 11:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;FVJRFRXCTYURSA-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 11:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;FVJRFRXCTYURSA-UHFFFAOYNA-N;C21H43NO5S",0,0,0,0,0,0,0,0,0,"1.8735","2.1735","10221","","MSDIAL_SL 11:0;O/10:0;[M+NH4]+;CCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;FVJRFRXCTYURSA-UHFFFAOYNA-N;C21H43NO5S","439.32002","250.1471","264.1628","268.1577","422.2935","439.3200","124.0063","282.1733","404.2829","1.8735","2.1735","10221"
"","MSDIAL_SL 11:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;MCZMDLDGNXOMEC-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 11:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;MCZMDLDGNXOMEC-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 11:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;MCZMDLDGNXOMEC-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 11:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;MCZMDLDGNXOMEC-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 11:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;MCZMDLDGNXOMEC-UHFFFAOYNA-N;C22H45NO5S",0,0,0,0,0,0,0,0,0,"3.87177727272727","4.17177727272727","6550","","MSDIAL_SL 11:0;O/11:0;[M+NH4]+;CCCCCCCCCCC(=O)NC(CS(O)(=O)=O)C(O)CCCCCCCC;MCZMDLDGNXOMEC-UHFFFAOYNA-N;C22H45NO5S","453.33567","250.1471","268.1577","278.1784","436.3091","453.3357","124.0063","296.1890","418.2986","3.87177727272727","4.17177727272727","6550"
