"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_TDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_TDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_TDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_TDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_TDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_TDCAE","[M+NH4]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_ST 24:1;O4;T/13:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;SJZXQUGNFJOCPK-FPLPWBNLNA-N;C39H67NO7S",0,0,0,"4.49487916666667","4.79487916666667","8972","","MSDIAL_ST 24:1;O4;T/13:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;SJZXQUGNFJOCPK-FPLPWBNLNA-N;C39H67NO7S",0,0,0,"4.49487916666667","4.79487916666667","8972","","MSDIAL_ST 24:1;O4;T/13:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;SJZXQUGNFJOCPK-FPLPWBNLNA-N;C39H67NO7S",0,0,0,"4.49487916666667","4.79487916666667","8972","","MSDIAL_ST 24:1;O4;T/13:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;SJZXQUGNFJOCPK-FPLPWBNLNA-N;C39H67NO7S",0,0,0,"4.49487916666667","4.79487916666667","8972","","MSDIAL_ST 24:1;O4;T/13:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;SJZXQUGNFJOCPK-FPLPWBNLNA-N;C39H67NO7S",0,0,0,"4.49487916666667","4.79487916666667","8972","","MSDIAL_ST 24:1;O4;T/13:1;[M+NH4]+;CCC\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;SJZXQUGNFJOCPK-FPLPWBNLNA-N;C39H67NO7S","711.49765","464.2829","711.4976","4.49487916666667","4.79487916666667","8972"
"","MSDIAL_ST 24:1;O4;T/18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BWTILFACHHQWMJ-QNEBEIHSNA-N;C44H73NO7S",0,0,0,"6.414625","6.714625","3530","","MSDIAL_ST 24:1;O4;T/18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BWTILFACHHQWMJ-QNEBEIHSNA-N;C44H73NO7S",0,0,0,"6.414625","6.714625","3530","","MSDIAL_ST 24:1;O4;T/18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BWTILFACHHQWMJ-QNEBEIHSNA-N;C44H73NO7S",0,0,0,"6.414625","6.714625","3530","","MSDIAL_ST 24:1;O4;T/18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BWTILFACHHQWMJ-QNEBEIHSNA-N;C44H73NO7S",0,0,0,"6.414625","6.714625","3530","","MSDIAL_ST 24:1;O4;T/18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BWTILFACHHQWMJ-QNEBEIHSNA-N;C44H73NO7S",0,0,0,"6.414625","6.714625","3530","","MSDIAL_ST 24:1;O4;T/18:3;[M+NH4]+;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BWTILFACHHQWMJ-QNEBEIHSNA-N;C44H73NO7S","777.54460","464.2829","777.5446","6.414625","6.714625","3530"
"","MSDIAL_ST 24:1;O4;T/20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;DYWKNVMNVCOTPZ-UHFFFAOYNA-N;C46H83NO7S",0,0,0,"12.0062194444444","12.3062194444444","4054","","MSDIAL_ST 24:1;O4;T/20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;DYWKNVMNVCOTPZ-UHFFFAOYNA-N;C46H83NO7S",0,0,0,"12.0062194444444","12.3062194444444","4054","","MSDIAL_ST 24:1;O4;T/20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;DYWKNVMNVCOTPZ-UHFFFAOYNA-N;C46H83NO7S",0,0,0,"12.0062194444444","12.3062194444444","4054","","MSDIAL_ST 24:1;O4;T/20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;DYWKNVMNVCOTPZ-UHFFFAOYNA-N;C46H83NO7S",0,0,0,"12.0062194444444","12.3062194444444","4054","","MSDIAL_ST 24:1;O4;T/20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;DYWKNVMNVCOTPZ-UHFFFAOYNA-N;C46H83NO7S",0,0,0,"12.0062194444444","12.3062194444444","4054","","MSDIAL_ST 24:1;O4;T/20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;DYWKNVMNVCOTPZ-UHFFFAOYNA-N;C46H83NO7S","811.62285","464.2829","811.6229","12.0062194444444","12.3062194444444","4054"
"","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"7.23601666666667","7.53601666666667","15198","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"7.23601666666667","7.53601666666667","15198","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"7.23601666666667","7.53601666666667","15198","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"7.23601666666667","7.53601666666667","15198","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"7.23601666666667","7.53601666666667","15198","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S","803.56025","464.2829","803.5602","7.23601666666667","7.53601666666667","15198"
"","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"6.71725","7.01725","15234","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"6.71725","7.01725","15234","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"6.71725","7.01725","15234","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"6.71725","7.01725","15234","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S",0,0,0,"6.71725","7.01725","15234","","MSDIAL_ST 24:1;O4;T/20:4;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;XMWFQJZMRVCTOS-DOFZRALJNA-N;C46H75NO7S","803.56025","464.2829","803.5602","6.71725","7.01725","15234"
"","MSDIAL_ST 24:1;O4;T/22:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WIMGKERNAHNBEV-UHFFFAOYNA-N;C48H87NO7S",0,0,0,"12.6835222222222","12.9835222222222","1944","","MSDIAL_ST 24:1;O4;T/22:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WIMGKERNAHNBEV-UHFFFAOYNA-N;C48H87NO7S",0,0,0,"12.6835222222222","12.9835222222222","1944","","MSDIAL_ST 24:1;O4;T/22:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WIMGKERNAHNBEV-UHFFFAOYNA-N;C48H87NO7S",0,0,0,"12.6835222222222","12.9835222222222","1944","","MSDIAL_ST 24:1;O4;T/22:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WIMGKERNAHNBEV-UHFFFAOYNA-N;C48H87NO7S",0,0,0,"12.6835222222222","12.9835222222222","1944","","MSDIAL_ST 24:1;O4;T/22:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WIMGKERNAHNBEV-UHFFFAOYNA-N;C48H87NO7S",0,0,0,"12.6835222222222","12.9835222222222","1944","","MSDIAL_ST 24:1;O4;T/22:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WIMGKERNAHNBEV-UHFFFAOYNA-N;C48H87NO7S","839.65415","464.2829","839.6542","12.6835222222222","12.9835222222222","1944"
"","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.1038722222222","12.4038722222222","2763","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.1038722222222","12.4038722222222","2763","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.1038722222222","12.4038722222222","2763","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.1038722222222","12.4038722222222","2763","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.1038722222222","12.4038722222222","2763","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S","837.63850","464.2829","837.6385","12.1038722222222","12.4038722222222","2763"
"","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.4755893939394","12.7755893939394","12069","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.4755893939394","12.7755893939394","12069","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.4755893939394","12.7755893939394","12069","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.4755893939394","12.7755893939394","12069","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S",0,0,0,"12.4755893939394","12.7755893939394","12069","","MSDIAL_ST 24:1;O4;T/22:1;[M+NH4]+;CCCCCCCC\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;BKBQXHISDORGIY-SEYXRHQNNA-N;C48H85NO7S","837.63850","464.2829","837.6385","12.4755893939394","12.7755893939394","12069"
"","MSDIAL_ST 24:1;O4;T/22:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WBBOKFBXMGUWDC-UTJQPWESNA-N;C48H83NO7S",0,0,0,"11.5389708333333","11.8389708333333","6880","","MSDIAL_ST 24:1;O4;T/22:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WBBOKFBXMGUWDC-UTJQPWESNA-N;C48H83NO7S",0,0,0,"11.5389708333333","11.8389708333333","6880","","MSDIAL_ST 24:1;O4;T/22:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WBBOKFBXMGUWDC-UTJQPWESNA-N;C48H83NO7S",0,0,0,"11.5389708333333","11.8389708333333","6880","","MSDIAL_ST 24:1;O4;T/22:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WBBOKFBXMGUWDC-UTJQPWESNA-N;C48H83NO7S",0,0,0,"11.5389708333333","11.8389708333333","6880","","MSDIAL_ST 24:1;O4;T/22:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WBBOKFBXMGUWDC-UTJQPWESNA-N;C48H83NO7S",0,0,0,"11.5389708333333","11.8389708333333","6880","","MSDIAL_ST 24:1;O4;T/22:2;[M+NH4]+;CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;WBBOKFBXMGUWDC-UTJQPWESNA-N;C48H83NO7S","835.62285","464.2829","835.6229","11.5389708333333","11.8389708333333","6880"
"","MSDIAL_ST 24:1;O4;T/22:6;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;ZZUZGKLZOANIFN-WSDBEMKQNA-N;C48H75NO7S",0,0,0,"7.040325","7.340325","18367","","MSDIAL_ST 24:1;O4;T/22:6;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;ZZUZGKLZOANIFN-WSDBEMKQNA-N;C48H75NO7S",0,0,0,"7.040325","7.340325","18367","","MSDIAL_ST 24:1;O4;T/22:6;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;ZZUZGKLZOANIFN-WSDBEMKQNA-N;C48H75NO7S",0,0,0,"7.040325","7.340325","18367","","MSDIAL_ST 24:1;O4;T/22:6;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;ZZUZGKLZOANIFN-WSDBEMKQNA-N;C48H75NO7S",0,0,0,"7.040325","7.340325","18367","","MSDIAL_ST 24:1;O4;T/22:6;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;ZZUZGKLZOANIFN-WSDBEMKQNA-N;C48H75NO7S",0,0,0,"7.040325","7.340325","18367","","MSDIAL_ST 24:1;O4;T/22:6;[M+NH4]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(O)=NCCS(O)(=O)=O)C4(C)C(O)CC23)C1;ZZUZGKLZOANIFN-WSDBEMKQNA-N;C48H75NO7S","827.56025","464.2829","827.5602","7.040325","7.340325","18367"
