"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment"
"","PG(22:0)+NH4",0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(22:0)+NH4",0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(22:0)+NH4",0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(22:0)+NH4",0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(22:0)+NH4",0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(22:0)+NH4","600.38716","429.38126","411.346927","2.62962916666667","2.92962916666667","12217"
"","PG(23:0)+NH4",0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(23:0)+NH4",0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(23:0)+NH4",0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(23:0)+NH4",0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(23:0)+NH4",0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(23:0)+NH4","614.40286","443.39696","425.362627","2.96007083333333","3.26007083333333","8820"
"","PG(25:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(25:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(25:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(25:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(25:0)+NH4",0,0,0,"3.20013888888889","3.50013888888889","2688","","PG(25:0)+NH4","642.43416","471.42826","453.393927","3.20013888888889","3.50013888888889","2688"
"","PG(26:0)+NH4",0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(26:0)+NH4",0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(26:0)+NH4",0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(26:0)+NH4",0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(26:0)+NH4",0,0,0,"2.88142222222222","3.18142222222222","5201","","PG(26:0)+NH4","656.44976","485.44386","467.409527","2.88142222222222","3.18142222222222","5201"
"","PG(26:2)+NH4",0,0,0,"2.6957875","2.9957875","8069","","PG(26:2)+NH4",0,0,0,"2.6957875","2.9957875","8069","","PG(26:2)+NH4",0,0,0,"2.6957875","2.9957875","8069","","PG(26:2)+NH4",0,0,0,"2.6957875","2.9957875","8069","","PG(26:2)+NH4",0,0,0,"2.6957875","2.9957875","8069","","PG(26:2)+NH4","652.41846","481.41256","463.378227","2.6957875","2.9957875","8069"
"","PG(26:3)+NH4",0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(26:3)+NH4",0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(26:3)+NH4",0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(26:3)+NH4",0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(26:3)+NH4",0,0,0,"0.92806527777778","1.22806527777778","5931","","PG(26:3)+NH4","650.40286","479.39696","461.362627","0.92806527777778","1.22806527777778","5931"
"","PG(27:2)+NH4",0,0,0,"0.97390138888889","1.27390138888889","5474","","PG(27:2)+NH4",0,0,0,"0.97390138888889","1.27390138888889","5474","","PG(27:2)+NH4",0,0,0,"0.97390138888889","1.27390138888889","5474","","PG(27:2)+NH4",0,0,0,"0.97390138888889","1.27390138888889","5474","","PG(27:2)+NH4",0,0,0,"0.97390138888889","1.27390138888889","5474","","PG(27:2)+NH4","666.43416","495.42826","477.393927","0.97390138888889","1.27390138888889","5474"
"","PG(28:0)+NH4",0,0,1,"4.09877222222222","4.39877222222222","171","","PG(28:0)+NH4",0,0,4.258391,"4.09877222222222","4.39877222222222","171","","PG(28:0)+NH4",0,0,2,"4.09877222222222","4.39877222222222","171","","PG(28:0)+NH4",0,0,8996515,"4.09877222222222","4.39877222222222","171","","PG(28:0)+NH4",0,0,495.4412,"4.09877222222222","4.39877222222222","171","","PG(28:0)+NH4","684.48106","513.47516","495.440827","4.09877222222222","4.39877222222222","171"
"","PG(28:0)+NH4",0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(28:0)+NH4",0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(28:0)+NH4",0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(28:0)+NH4",0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(28:0)+NH4",0,0,0,"4.91529722222222","5.21529722222222","2547","","PG(28:0)+NH4","684.48106","513.47516","495.440827","4.91529722222222","5.21529722222222","2547"
"","PG(28:2)+NH4",1,0,0,"3.85204848484848","4.15204848484848","264","","PG(28:2)+NH4",4.028213,0,0,"3.85204848484848","4.15204848484848","264","","PG(28:2)+NH4",1,0,0,"3.85204848484848","4.15204848484848","264","","PG(28:2)+NH4",3461.459,0,0,"3.85204848484848","4.15204848484848","264","","PG(28:2)+NH4",680.4498,0,0,"3.85204848484848","4.15204848484848","264","","PG(28:2)+NH4","680.44976","509.44386","491.409527","3.85204848484848","4.15204848484848","264"
"","PG(28:2)+NH4",0,0,0,"4.899375","5.199375","2098","","PG(28:2)+NH4",0,0,0,"4.899375","5.199375","2098","","PG(28:2)+NH4",0,0,0,"4.899375","5.199375","2098","","PG(28:2)+NH4",0,0,0,"4.899375","5.199375","2098","","PG(28:2)+NH4",0,0,0,"4.899375","5.199375","2098","","PG(28:2)+NH4","680.44976","509.44386","491.409527","4.899375","5.199375","2098"
"","PG(28:2)+NH4",1,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",4.028213,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",1,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",3461.459,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4",680.4498,0,0,"3.85645138888889","4.15645138888889","12646","","PG(28:2)+NH4","680.44976","509.44386","491.409527","3.85645138888889","4.15645138888889","12646"
"","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4",0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(28:2)+NH4","680.44976","509.44386","491.409527","4.91009027777778","5.21009027777778","12764"
"","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4",0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(28:3)+NH4","678.43416","507.42826","489.393927","1.40908333333333","1.70908333333333","10447"
"","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4",0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(28:4)+NH4","676.41846","505.41256","487.378227","1.04389166666667","1.34389166666667","10733"
"","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4",0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(29:0)+NH4","698.49676","527.49086","509.456527","4.48690972222222","4.78690972222222","4828"
