"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","RT at Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Number of Scans","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Max Intensity","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Average m/z","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PMeOH","[M+NH4]+","[M-CH5O4P+H]+","[C4H9O5P+H]+","RT_min","RT_max","Comment"
"","PMeOH(27:0)+NH4",0,0,0,"4.9153","5.2153","2875","","PMeOH(27:0)+NH4",0,0,0,"4.9153","5.2153","2875","","PMeOH(27:0)+NH4",0,0,0,"4.9153","5.2153","2875","","PMeOH(27:0)+NH4",0,0,0,"4.9153","5.2153","2875","","PMeOH(27:0)+NH4",0,0,0,"4.9153","5.2153","2875","","PMeOH(27:0)+NH4","610.44422","481.4251","169.026","4.9153","5.2153","2875"
"","PMeOH(27:0)+NH4",0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(27:0)+NH4",0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(27:0)+NH4",0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(27:0)+NH4",0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(27:0)+NH4",0,0,0,"4.53159242424242","4.83159242424242","6564","","PMeOH(27:0)+NH4","610.44422","481.4251","169.026","4.53159242424242","4.83159242424242","6564"
"","PMeOH(27:0)+NH4",0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(27:0)+NH4",0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(27:0)+NH4",0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(27:0)+NH4",0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(27:0)+NH4",0,0,0,"4.53747777777778","4.83747777777778","13327","","PMeOH(27:0)+NH4","610.44422","481.4251","169.026","4.53747777777778","4.83747777777778","13327"
"","PMeOH(29:1)+NH4",0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(29:1)+NH4",0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(29:1)+NH4",0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(29:1)+NH4",0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(29:1)+NH4",0,0,0,"4.97676527777778","5.27676527777778","3409","","PMeOH(29:1)+NH4","636.45992","507.4408","169.026","4.97676527777778","5.27676527777778","3409"
"","PMeOH(29:1)+NH4",0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(29:1)+NH4",0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(29:1)+NH4",0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(29:1)+NH4",0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(29:1)+NH4",0,0,0,"1.39863194444444","1.69863194444444","14975","","PMeOH(29:1)+NH4","636.45992","507.4408","169.026","1.39863194444444","1.69863194444444","14975"
"","PMeOH(30:1)+NH4",0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(30:1)+NH4",0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(30:1)+NH4",0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(30:1)+NH4",0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(30:1)+NH4",0,0,0,"3.33079861111111","3.63079861111111","5401","","PMeOH(30:1)+NH4","650.47552","521.4564","169.026","3.33079861111111","3.63079861111111","5401"
"","PMeOH(30:5)+NH4",0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(30:5)+NH4",0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(30:5)+NH4",0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(30:5)+NH4",0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(30:5)+NH4",0,0,0,"8.54689027777778","8.84689027777778","6569","","PMeOH(30:5)+NH4","642.41302","513.3939","169.026","8.54689027777778","8.84689027777778","6569"
"","PMeOH(30:5)+NH4",0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(30:5)+NH4",0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(30:5)+NH4",0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(30:5)+NH4",0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(30:5)+NH4",0,0,0,"9.46787424242424","9.76787424242424","15431","","PMeOH(30:5)+NH4","642.41302","513.3939","169.026","9.46787424242424","9.76787424242424","15431"
"","PMeOH(31:1)+NH4",1,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(31:1)+NH4",6.479667,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(31:1)+NH4",2,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(31:1)+NH4",69924.22,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(31:1)+NH4",664.49195,0,0,"6.30153194444444","6.60153194444444","97","","PMeOH(31:1)+NH4","664.49112","535.472","169.026","6.30153194444444","6.60153194444444","97"
"","PMeOH(31:1)+NH4",1,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(31:1)+NH4",6.597385,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(31:1)+NH4",1,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(31:1)+NH4",6324.5,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(31:1)+NH4",664.4921,0,0,"6.48472083333333","6.78472083333333","15124","","PMeOH(31:1)+NH4","664.49112","535.472","169.026","6.48472083333333","6.78472083333333","15124"
"","PMeOH(32:1)+NH4",1,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(32:1)+NH4",4.868633,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(32:1)+NH4",1,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(32:1)+NH4",122538.7,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(32:1)+NH4",678.509,0,0,"4.68950454545455","4.98950454545455","1155","","PMeOH(32:1)+NH4","678.50682","549.4877","169.026","4.68950454545455","4.98950454545455","1155"
"","PMeOH(32:1)+NH4",1,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(32:1)+NH4",4.868633,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(32:1)+NH4",1,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(32:1)+NH4",122538.7,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(32:1)+NH4",678.509,0,0,"4.69344722222222","4.99344722222222","12687","","PMeOH(32:1)+NH4","678.50682","549.4877","169.026","4.69344722222222","4.99344722222222","12687"
"","PMeOH(32:2)+NH4",0,0,0,"3.4817375","3.7817375","10871","","PMeOH(32:2)+NH4",0,0,0,"3.4817375","3.7817375","10871","","PMeOH(32:2)+NH4",0,0,0,"3.4817375","3.7817375","10871","","PMeOH(32:2)+NH4",0,0,0,"3.4817375","3.7817375","10871","","PMeOH(32:2)+NH4",0,0,0,"3.4817375","3.7817375","10871","","PMeOH(32:2)+NH4","676.49112","547.472","169.026","3.4817375","3.7817375","10871"
"","PMeOH(33:0)+NH4",0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(33:0)+NH4",0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(33:0)+NH4",0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(33:0)+NH4",0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(33:0)+NH4",0,0,0,"8.26794583333333","8.56794583333333","5174","","PMeOH(33:0)+NH4","694.53812","565.519","169.026","8.26794583333333","8.56794583333333","5174"
"","PMeOH(33:1)+NH4",0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(33:1)+NH4",0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(33:1)+NH4",0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(33:1)+NH4",0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(33:1)+NH4",0,0,0,"5.37767361111111","5.67767361111111","2266","","PMeOH(33:1)+NH4","692.52252","563.5034","169.026","5.37767361111111","5.67767361111111","2266"
"","PMeOH(33:1)+NH4",0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(33:1)+NH4",0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(33:1)+NH4",0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(33:1)+NH4",0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(33:1)+NH4",0,0,0,"5.64302916666667","5.94302916666667","3402","","PMeOH(33:1)+NH4","692.52252","563.5034","169.026","5.64302916666667","5.94302916666667","3402"
"","PMeOH(33:1)+NH4",0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(33:1)+NH4",0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(33:1)+NH4",0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(33:1)+NH4",0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(33:1)+NH4",0,0,0,"5.12018472222222","5.42018472222222","4596","","PMeOH(33:1)+NH4","692.52252","563.5034","169.026","5.12018472222222","5.42018472222222","4596"
"","PMeOH(33:1)+NH4",0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(33:1)+NH4",0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(33:1)+NH4",0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(33:1)+NH4",0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(33:1)+NH4",0,0,0,"12.1199472222222","12.4199472222222","7285","","PMeOH(33:1)+NH4","692.52252","563.5034","169.026","12.1199472222222","12.4199472222222","7285"
"","PMeOH(33:2)+NH4",0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(33:2)+NH4",0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(33:2)+NH4",0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(33:2)+NH4",0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(33:2)+NH4",0,0,0,"12.0874060606061","12.3874060606061","9023","","PMeOH(33:2)+NH4","690.50682","561.4877","169.026","12.0874060606061","12.3874060606061","9023"
"","PMeOH(33:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PMeOH(33:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PMeOH(33:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PMeOH(33:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PMeOH(33:3)+NH4",0,0,0,"11.5169424242424","11.8169424242424","12384","","PMeOH(33:3)+NH4","688.49112","559.472","169.026","11.5169424242424","11.8169424242424","12384"
"","PMeOH(34:1)+NH4",1,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",6.168828,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",3,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",1563772,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4",706.538766666667,0,0,"6.02765","6.32765","188","","PMeOH(34:1)+NH4","706.53812","577.519","169.026","6.02765","6.32765","188"
"","PMeOH(34:2)+NH4",1,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",5.068664,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",2,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",570787,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4",704.5241,0,0,"4.889025","5.189025","340","","PMeOH(34:2)+NH4","704.52252","575.5034","169.026","4.889025","5.189025","340"
