"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","RT at Max Intensity","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Number of Scans","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Max Intensity","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Average m/z","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","ether-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment"
"","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H",0,0,"5.78775555555556","6.08775555555556","833","","Plasmanyl-PS(28:0)+H","666.47052","481.46157","5.78775555555556","6.08775555555556","833"
"","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H",0,0,"6.03436","6.33436","18543","","Plasmanyl-PS(28:0)+H","666.47052","481.46157","6.03436","6.33436","18543"
"","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H",0,0,"5.75403472222222","6.05403472222222","2025","","Plasmanyl-PS(30:0)+H","694.50182","509.49287","5.75403472222222","6.05403472222222","2025"
"","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H",0,0,"5.75925833333333","6.05925833333333","3186","","Plasmanyl-PS(33:0)+H","736.54882","551.53987","5.75925833333333","6.05925833333333","3186"
"","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H",0,0,"5.3107625","5.6107625","13747","","Plasmanyl-PS(33:0)+H","736.54882","551.53987","5.3107625","5.6107625","13747"
"","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmanyl-PS(34:1)+H","748.54882","563.53987","4.89981527777778","5.19981527777778","9166"
"","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmanyl-PS(34:1)+H","748.54882","563.53987","5.33257777777778","5.63257777777778","12455"
"","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H",0,0,"1.8882875","2.1882875","8974","","Plasmanyl-PS(34:4)+H","742.50182","557.49287","1.8882875","2.1882875","8974"
"","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H",0,0,"5.44271805555556","5.74271805555556","3919","","Plasmanyl-PS(35:1)+H","762.56442","577.55547","5.44271805555556","5.74271805555556","3919"
"","Plasmanyl-PS(36:1)+H",1,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",6.225476,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",1,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",463349.5,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",776.5809,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H","776.58012","591.57117","6.06026805555555","6.36026805555555","551"
"","Plasmanyl-PS(36:1)+H",1,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",4.055396,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",1,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",1151.403,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",776.5801,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H","776.58012","591.57117","3.8481","4.1481","7330"
"","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H","776.58012","591.57117","4.86781666666667","5.16781666666667","13186"
"","Plasmanyl-PS(36:2)+H",1,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",5.172553,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",2,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",494380.4,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",774.5666,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","5.07425277777778","5.37425277777778","330"
"","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","3.15768333333333","3.45768333333333","3664"
"","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","2.97523055555556","3.27523055555556","11461"
