"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LPC","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LPC","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LPC","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LPC","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Average m/z","MSDIAL_LPC","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LPC","[M+H]+","1","2","3","4","5","RT_min","RT_max","Comment"
"","MSDIAL_LPC 14:0-SN1;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","1","1","1","1","1","0","0.484563888888889","0.784563888888889","189","","MSDIAL_LPC 14:0-SN1;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P"," 0.6487598"," 0.6487598"," 0.6487598"," 0.6487598","0.6487598","0","0.484563888888889","0.784563888888889","189","","MSDIAL_LPC 14:0-SN1;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","1","1","1","1","1","0","0.484563888888889","0.784563888888889","189","","MSDIAL_LPC 14:0-SN1;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","3.672489e+06","4.404990e+06","3.672489e+06","4.283194e+06","  675893.100","0","0.484563888888889","0.784563888888889","189","","MSDIAL_LPC 14:0-SN1;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","468.3088","184.0734","468.3088","104.1070","450.2982","0","0.484563888888889","0.784563888888889","189","","MSDIAL_LPC 14:0-SN1;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","468.30847","184.0739","468.3085","104.1070","450.2979","1","0.484563888888889","0.784563888888889","189"
"","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","1","1","1","1","1","0","0.608841666666667","0.908841666666667","254","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P"," 0.7448988"," 0.7448988"," 0.7448988"," 0.7448988","0.7448988","0","0.608841666666667","0.908841666666667","254","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","2","2","2","2","2","0","0.608841666666667","0.908841666666667","254","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","2.360705e+06","2.805264e+06","2.360705e+06","2.360755e+06","  421944.300","0","0.608841666666667","0.908841666666667","254","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","482.3247","184.0735","482.3247","104.1071","464.3142","0","0.608841666666667","0.908841666666667","254","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","482.32412","184.0739","482.3241","104.1070","464.3136","1","0.608841666666667","0.908841666666667","254"
"","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","1","1","1","1","1","0","1.34317916666667","1.64317916666667","495","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P"," 1.4784270"," 1.4784270"," 1.4784270"," 1.4784270","1.4784270","0","1.34317916666667","1.64317916666667","495","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","1","1","1","1","1","0","1.34317916666667","1.64317916666667","495","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","1.066227e+05","7.444226e+03","1.066227e+05","4.049567e+04","   95390.600","0","1.34317916666667","1.64317916666667","495","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","482.3247","184.0735","482.3247","104.1071","464.3141","0","1.34317916666667","1.64317916666667","495","","MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","482.32412","184.0739","482.3241","104.1070","464.3136","1","1.34317916666667","1.64317916666667","495"
"","MSDIAL_LPC 15:1-SN1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P","1","1","1","1","1","0","0.90731944444444","1.20731944444444","653","","MSDIAL_LPC 15:1-SN1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P"," 1.0691920"," 1.0691920"," 1.0691920"," 1.0691920","1.0691920","0","0.90731944444444","1.20731944444444","653","","MSDIAL_LPC 15:1-SN1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P","2","3","2","3","3","0","0.90731944444444","1.20731944444444","653","","MSDIAL_LPC 15:1-SN1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P","7.664984e+04","2.104677e+05","7.664984e+04","1.243912e+06","   58025.980","0","0.90731944444444","1.20731944444444","653","","MSDIAL_LPC 15:1-SN1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P","480.3095","184.0735","480.3095","104.1071","462.2984","0","0.90731944444444","1.20731944444444","653","","MSDIAL_LPC 15:1-SN1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P","480.30847","184.0739","480.3085","104.1070","462.2979","1","0.90731944444444","1.20731944444444","653"
"","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","1","1","1","1","1","0","0.790172222222222","1.09017222222222","6","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P"," 0.9400288"," 0.9400288"," 0.9400288"," 0.9400288","0.9400288","0","0.790172222222222","1.09017222222222","6","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","3","3","3","3","3","0","0.790172222222222","1.09017222222222","6","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","1.167172e+08","1.587167e+08","1.167172e+08","1.648840e+08","20815520.000","0","0.790172222222222","1.09017222222222","6","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","496.3395","184.0732","496.3395","104.1069","478.3291","0","0.790172222222222","1.09017222222222","6","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","496.33977","184.0739","496.3398","104.1070","478.3292","1","0.790172222222222","1.09017222222222","6"
"","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","1","1","1","1","1","0","2.97452575757576","3.27452575757576","5408","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P"," 3.0069970"," 3.0069970"," 3.0069970"," 3.0069970","3.0069970","0","2.97452575757576","3.27452575757576","5408","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","1","1","1","1","1","0","2.97452575757576","3.27452575757576","5408","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","3.302491e+04","4.975125e+04","3.302491e+04","2.732410e+04","    5062.080","0","2.97452575757576","3.27452575757576","5408","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","496.3403","184.0735","496.3403","104.1071","478.3298","0","2.97452575757576","3.27452575757576","5408","","MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","496.33977","184.0739","496.3398","104.1070","478.3292","1","2.97452575757576","3.27452575757576","5408"
"","MSDIAL_LPC 16:1-SN1;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","1","1","1","1","1","0","0.528548611111111","0.828548611111111","134","","MSDIAL_LPC 16:1-SN1;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P"," 0.6840880"," 0.6840880"," 0.6840880"," 0.6840880","0.6840880","0","0.528548611111111","0.828548611111111","134","","MSDIAL_LPC 16:1-SN1;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","2","2","2","2","2","0","0.528548611111111","0.828548611111111","134","","MSDIAL_LPC 16:1-SN1;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","5.289869e+06","8.129231e+06","5.289869e+06","7.369557e+06","  958345.400","0","0.528548611111111","0.828548611111111","134","","MSDIAL_LPC 16:1-SN1;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","494.3243","184.0734","494.3243","104.1070","476.3139","0","0.528548611111111","0.828548611111111","134","","MSDIAL_LPC 16:1-SN1;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","494.32412","184.0739","494.3241","104.1070","476.3136","1","0.528548611111111","0.828548611111111","134"
"","MSDIAL_LPC 17:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P","1","1","1","1","1","0","1.020075","1.320075","27","","MSDIAL_LPC 17:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P"," 1.2131110"," 1.2131110"," 1.2131110"," 1.2131110","1.2131110","0","1.020075","1.320075","27","","MSDIAL_LPC 17:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P","2","1","2","2","2","0","1.020075","1.320075","27","","MSDIAL_LPC 17:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P","3.130329e+07","3.985880e+07","3.130329e+07","4.607992e+07"," 5236104.000","0","1.020075","1.320075","27","","MSDIAL_LPC 17:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P","510.3548","184.0732","510.3548","104.1068","492.3442","0","1.020075","1.320075","27","","MSDIAL_LPC 17:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P","510.35542","184.0739","510.3554","104.1070","492.3448","1","1.020075","1.320075","27"
"","MSDIAL_LPC 17:1-SN1;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P","1","1","1","1","1","0","0.668827777777778","0.968827777777778","724","","MSDIAL_LPC 17:1-SN1;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P"," 0.8480379"," 0.8480379"," 0.8480379"," 0.8480379","0.8480379","0","0.668827777777778","0.968827777777778","724","","MSDIAL_LPC 17:1-SN1;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P","1","1","1","1","1","0","0.668827777777778","0.968827777777778","724","","MSDIAL_LPC 17:1-SN1;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P","6.702418e+05","7.329979e+05","6.702418e+05","6.880077e+05","  119544.200","0","0.668827777777778","0.968827777777778","724","","MSDIAL_LPC 17:1-SN1;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P","508.3405","184.0736","508.3405","104.1071","490.3298","0","0.668827777777778","0.968827777777778","724","","MSDIAL_LPC 17:1-SN1;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P","508.33977","184.0739","508.3398","104.1070","490.3292","1","0.668827777777778","0.968827777777778","724"
"","MSDIAL_LPC 18:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P","1","1","1","1","1","0","1.26522361111111","1.56522361111111","14","","MSDIAL_LPC 18:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P"," 1.4376780"," 1.4376780"," 1.4376780"," 1.4376780","1.4376780","0","1.26522361111111","1.56522361111111","14","","MSDIAL_LPC 18:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P","4","4","4","4","4","0","1.26522361111111","1.56522361111111","14","","MSDIAL_LPC 18:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P","7.143459e+07","8.464650e+07","7.143459e+07","9.677641e+07","12258460.000","0","1.26522361111111","1.56522361111111","14","","MSDIAL_LPC 18:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P","524.3713","184.0733","524.3713","104.1070","506.3609","0","1.26522361111111","1.56522361111111","14","","MSDIAL_LPC 18:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P","524.37107","184.0739","524.3711","104.1070","506.3605","1","1.26522361111111","1.56522361111111","14"
