"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MSDIAL_LPE","[M+H]+","1","2","RT_min","RT_max","Comment","RT at Max Intensity","MSDIAL_LPE","[M+H]+","1","2","RT_min","RT_max","Comment","Number of Scans","MSDIAL_LPE","[M+H]+","1","2","RT_min","RT_max","Comment","Max Intensity","MSDIAL_LPE","[M+H]+","1","2","RT_min","RT_max","Comment","Average m/z","MSDIAL_LPE","[M+H]+","1","2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MSDIAL_LPE","[M+H]+","1","2","RT_min","RT_max","Comment"
"","MSDIAL_LPE 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P","1","1","1","0.837354166666667","1.13735416666667","705","","MSDIAL_LPE 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P","0.9710801","0.9710801","0.9710801","0.837354166666667","1.13735416666667","705","","MSDIAL_LPE 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P","1","1","1","0.837354166666667","1.13735416666667","705","","MSDIAL_LPE 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P","4.156317e+04","513968.900","4.156317e+04","0.837354166666667","1.13735416666667","705","","MSDIAL_LPE 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P","454.2934","313.2739","454.2934","0.837354166666667","1.13735416666667","705","","MSDIAL_LPE 16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;YVYMBNSKXOXSKW-UHFFFAOYNA-N;C21H44NO7P","454.29282","313.2737","454.2928","0.837354166666667","1.13735416666667","705"
"","MSDIAL_LPE 18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","1","1","1","1.34317916666667","1.64317916666667","495","","MSDIAL_LPE 18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","1.4784270","1.4784270","1.4784270","1.34317916666667","1.64317916666667","495","","MSDIAL_LPE 18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","1","1","1","1.34317916666667","1.64317916666667","495","","MSDIAL_LPE 18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","1.066227e+05","919975.100","1.066227e+05","1.34317916666667","1.64317916666667","495","","MSDIAL_LPE 18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","482.3247","341.3053","482.3247","1.34317916666667","1.64317916666667","495","","MSDIAL_LPE 18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;BBYWOYAFBUOUFP-UHFFFAOYNA-N;C23H48NO7P","482.32412","341.3050","482.3241","1.34317916666667","1.64317916666667","495"
"","MSDIAL_LPE 18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P","1","1","1","0.90731944444444","1.20731944444444","653","","MSDIAL_LPE 18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P","1.0691920","1.0066770","1.0691920","0.90731944444444","1.20731944444444","653","","MSDIAL_LPE 18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P","2","3","2","0.90731944444444","1.20731944444444","653","","MSDIAL_LPE 18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P","7.664984e+04","563054.900","7.664984e+04","0.90731944444444","1.20731944444444","653","","MSDIAL_LPE 18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P","480.3095","339.2897","480.3095","0.90731944444444","1.20731944444444","653","","MSDIAL_LPE 18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P","480.30847","339.2894","480.3085","0.90731944444444","1.20731944444444","653"
"","MSDIAL_LPE 18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","1","1","1","0.617001388888889","0.917001388888889","458","","MSDIAL_LPE 18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","0.7805625","0.7805625","0.7805625","0.617001388888889","0.917001388888889","458","","MSDIAL_LPE 18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","1","1","1","0.617001388888889","0.917001388888889","458","","MSDIAL_LPE 18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","1.271763e+05","975528.100","1.271763e+05","0.617001388888889","0.917001388888889","458","","MSDIAL_LPE 18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","478.2936","337.2740","478.2936","0.617001388888889","0.917001388888889","458","","MSDIAL_LPE 18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;DBHKHNGBVGWQJE-HZJYTTRNNA-N;C23H44NO7P","478.29282","337.2737","478.2928","0.617001388888889","0.917001388888889","458"
"","MSDIAL_LPE 20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;JPNPIRVRGLGTRE-LTKCOYKYNA-N;C25H44NO7P","1","1","1","0.578043055555556","0.878043055555556","762","","MSDIAL_LPE 20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;JPNPIRVRGLGTRE-LTKCOYKYNA-N;C25H44NO7P","0.6892593","0.6892593","0.6892593","0.578043055555556","0.878043055555556","762","","MSDIAL_LPE 20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;JPNPIRVRGLGTRE-LTKCOYKYNA-N;C25H44NO7P","1","1","1","0.578043055555556","0.878043055555556","762","","MSDIAL_LPE 20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;JPNPIRVRGLGTRE-LTKCOYKYNA-N;C25H44NO7P","4.299288e+04","285796.800","4.299288e+04","0.578043055555556","0.878043055555556","762","","MSDIAL_LPE 20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;JPNPIRVRGLGTRE-LTKCOYKYNA-N;C25H44NO7P","502.2930","361.2738","502.2930","0.578043055555556","0.878043055555556","762","","MSDIAL_LPE 20:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;JPNPIRVRGLGTRE-LTKCOYKYNA-N;C25H44NO7P","502.29282","361.2737","502.2928","0.578043055555556","0.878043055555556","762"
"","MSDIAL_LPE 22:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RSVFMXVZJZRSQQ-LTKCOYKYNA-N;C27H48NO7P","1","1","1","0.8721","1.1721","18857","","MSDIAL_LPE 22:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RSVFMXVZJZRSQQ-LTKCOYKYNA-N;C27H48NO7P","0.9962975","0.9962975","0.9962975","0.8721","1.1721","18857","","MSDIAL_LPE 22:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RSVFMXVZJZRSQQ-LTKCOYKYNA-N;C27H48NO7P","1","1","1","0.8721","1.1721","18857","","MSDIAL_LPE 22:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RSVFMXVZJZRSQQ-LTKCOYKYNA-N;C27H48NO7P","3.899908e+03","  9695.216","3.899908e+03","0.8721","1.1721","18857","","MSDIAL_LPE 22:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RSVFMXVZJZRSQQ-LTKCOYKYNA-N;C27H48NO7P","530.3242","389.3055","530.3242","0.8721","1.1721","18857","","MSDIAL_LPE 22:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;RSVFMXVZJZRSQQ-LTKCOYKYNA-N;C27H48NO7P","530.32412","389.3050","530.3241","0.8721","1.1721","18857"
"","MSDIAL_LPE 34:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;ONLOJRFVBHTASY-MURFETPANA-N;C39H76NO7P","1","1","1","8.13996527777778","8.43996527777778","1023","","MSDIAL_LPE 34:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;ONLOJRFVBHTASY-MURFETPANA-N;C39H76NO7P","8.3529140","8.3529140","8.3529140","8.13996527777778","8.43996527777778","1023","","MSDIAL_LPE 34:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;ONLOJRFVBHTASY-MURFETPANA-N;C39H76NO7P","1","1","1","8.13996527777778","8.43996527777778","1023","","MSDIAL_LPE 34:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;ONLOJRFVBHTASY-MURFETPANA-N;C39H76NO7P","6.032236e+03"," 15565.860","6.032236e+03","8.13996527777778","8.43996527777778","1023","","MSDIAL_LPE 34:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;ONLOJRFVBHTASY-MURFETPANA-N;C39H76NO7P","702.5429","561.5247","702.5429","8.13996527777778","8.43996527777778","1023","","MSDIAL_LPE 34:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;ONLOJRFVBHTASY-MURFETPANA-N;C39H76NO7P","702.54322","561.5241","702.5432","8.13996527777778","8.43996527777778","1023"
"","MSDIAL_LPE 34:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;WNAJHCCTMANXIO-ORZIMQNZNA-N;C39H74NO7P","1","1","1","7.21744861111111","7.51744861111111","574","","MSDIAL_LPE 34:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;WNAJHCCTMANXIO-ORZIMQNZNA-N;C39H74NO7P","7.4043810","7.4043810","7.4043810","7.21744861111111","7.51744861111111","574","","MSDIAL_LPE 34:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;WNAJHCCTMANXIO-ORZIMQNZNA-N;C39H74NO7P","1","1","1","7.21744861111111","7.51744861111111","574","","MSDIAL_LPE 34:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;WNAJHCCTMANXIO-ORZIMQNZNA-N;C39H74NO7P","1.601432e+04"," 81078.000","1.601432e+04","7.21744861111111","7.51744861111111","574","","MSDIAL_LPE 34:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;WNAJHCCTMANXIO-ORZIMQNZNA-N;C39H74NO7P","700.5283","559.5092","700.5283","7.21744861111111","7.51744861111111","574","","MSDIAL_LPE 34:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;WNAJHCCTMANXIO-ORZIMQNZNA-N;C39H74NO7P","700.52757","559.5085","700.5276","7.21744861111111","7.51744861111111","574"
"","MSDIAL_LPE 36:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;OLGKEXBJISGIGR-MURFETPANA-N;C41H80NO7P","1","1","1","9.20176666666667","9.50176666666667","1235","","MSDIAL_LPE 36:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;OLGKEXBJISGIGR-MURFETPANA-N;C41H80NO7P","9.3734800","9.3734800","9.3734800","9.20176666666667","9.50176666666667","1235","","MSDIAL_LPE 36:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;OLGKEXBJISGIGR-MURFETPANA-N;C41H80NO7P","1","1","1","9.20176666666667","9.50176666666667","1235","","MSDIAL_LPE 36:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;OLGKEXBJISGIGR-MURFETPANA-N;C41H80NO7P","7.793215e+03"," 32615.500","7.793215e+03","9.20176666666667","9.50176666666667","1235","","MSDIAL_LPE 36:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;OLGKEXBJISGIGR-MURFETPANA-N;C41H80NO7P","730.5742","589.5562","730.5742","9.20176666666667","9.50176666666667","1235","","MSDIAL_LPE 36:2;[M+H]+;CCCCCCC\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;OLGKEXBJISGIGR-MURFETPANA-N;C41H80NO7P","730.57452","589.5554","730.5745","9.20176666666667","9.50176666666667","1235"
"","MSDIAL_LPE 36:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;IQZCXXWCXWGHDA-ORZIMQNZNA-N;C41H78NO7P","1","1","1","8.35855694444444","8.65855694444444","381","","MSDIAL_LPE 36:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;IQZCXXWCXWGHDA-ORZIMQNZNA-N;C41H78NO7P","8.5390910","8.5390910","8.5390910","8.35855694444444","8.65855694444444","381","","MSDIAL_LPE 36:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;IQZCXXWCXWGHDA-ORZIMQNZNA-N;C41H78NO7P","1","1","1","8.35855694444444","8.65855694444444","381","","MSDIAL_LPE 36:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;IQZCXXWCXWGHDA-ORZIMQNZNA-N;C41H78NO7P","3.396530e+04","156014.000","3.396530e+04","8.35855694444444","8.65855694444444","381","","MSDIAL_LPE 36:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;IQZCXXWCXWGHDA-ORZIMQNZNA-N;C41H78NO7P","728.5604","587.5410","728.5604","8.35855694444444","8.65855694444444","381","","MSDIAL_LPE 36:3;[M+H]+;CCCCCCC\C=C/C\C=C/C\C=C/CCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;IQZCXXWCXWGHDA-ORZIMQNZNA-N;C41H78NO7P","728.55887","587.5398","728.5589","8.35855694444444","8.65855694444444","381"
