CL,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,T3_RCOO-,T4_RCOO-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R3+R4),PA(R3+R4)-NL_T3RCOOH,PA(R3+R4)-NL_T4RCOOH,PA(R3+R4)-NL_T3Ketene,PA(R3+R4)-NL_T4Ketene,PA(R3+R4)+56,PA(R3+R4)+136
CL(14:0_14:0_14:0_14:0)-H,1239.839749,152.995833,171.006398,227.201654,227.201654,227.201654,227.201654,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674
CL(14:0_14:0_14:0_16:0)-H,1267.871049,152.995833,171.006398,227.201654,227.201654,227.201654,255.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,619.434429,391.225499,363.194199,409.236064,381.204764,675.460643,755.426974
CL(14:0_14:0_14:0_16:1)-H,1265.855399,152.995833,171.006398,227.201654,227.201654,227.201654,253.217304,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,617.418779,389.209849,363.194199,407.220414,381.204764,673.444993,753.411324
CL(14:0_14:0_14:0_18:0)-H,1295.902349,152.995833,171.006398,227.201654,227.201654,227.201654,283.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,647.465729,419.256799,363.194199,437.267364,381.204764,703.491943,783.458274
CL(14:0_14:0_14:0_18:1)-H,1293.886699,152.995833,171.006398,227.201654,227.201654,227.201654,281.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,645.450079,417.241149,363.194199,435.251714,381.204764,701.476293,781.442624
CL(14:0_14:0_14:0_18:2)-H,1291.871049,152.995833,171.006398,227.201654,227.201654,227.201654,279.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,643.434429,415.225499,363.194199,433.236064,381.204764,699.460643,779.426974
CL(14:0_14:0_14:0_18:3)-H,1289.855399,152.995833,171.006398,227.201654,227.201654,227.201654,277.217304,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,641.418779,413.209849,363.194199,431.220414,381.204764,697.444993,777.411324
CL(14:0_14:0_14:0_20:0)-H,1323.933649,152.995833,171.006398,227.201654,227.201654,227.201654,311.295554,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,675.497029,447.288099,363.194199,465.298664,381.204764,731.523243,811.489574
CL(14:0_14:0_14:0_20:1)-H,1321.917999,152.995833,171.006398,227.201654,227.201654,227.201654,309.279904,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,673.481379,445.272449,363.194199,463.283014,381.204764,729.507593,809.473924
CL(14:0_14:0_14:0_20:2)-H,1319.902349,152.995833,171.006398,227.201654,227.201654,227.201654,307.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,671.465729,443.256799,363.194199,461.267364,381.204764,727.491943,807.458274
CL(14:0_14:0_14:0_20:3)-H,1317.886699,152.995833,171.006398,227.201654,227.201654,227.201654,305.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,669.450079,441.241149,363.194199,459.251714,381.204764,725.476293,805.442624
CL(14:0_14:0_14:0_20:4)-H,1315.871049,152.995833,171.006398,227.201654,227.201654,227.201654,303.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,667.434429,439.225499,363.194199,457.236064,381.204764,723.460643,803.426974
CL(14:0_14:0_14:0_22:0)-H,1351.964949,152.995833,171.006398,227.201654,227.201654,227.201654,339.326854,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,703.528329,475.319399,363.194199,493.329964,381.204764,759.554543,839.520874
CL(14:0_14:0_14:0_22:5)-H,1341.886699,152.995833,171.006398,227.201654,227.201654,227.201654,329.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,693.450079,465.241149,363.194199,483.251714,381.204764,749.476293,829.442624
CL(14:0_14:0_14:0_22:6)-H,1339.871049,152.995833,171.006398,227.201654,227.201654,227.201654,327.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,691.434429,463.225499,363.194199,481.236064,381.204764,747.460643,827.426974
CL(14:0_14:0_16:0_16:0)-H,1295.902349,152.995833,171.006398,227.201654,227.201654,255.232954,255.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,647.465729,391.225499,391.225499,409.236064,409.236064,703.491943,783.458274
CL(14:0_14:0_16:0_16:1)-H,1293.886699,152.995833,171.006398,227.201654,227.201654,255.232954,253.217304,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,645.450079,389.209849,391.225499,407.220414,409.236064,701.476293,781.442624
CL(14:0_14:0_16:0_18:0)-H,1323.933649,152.995833,171.006398,227.201654,227.201654,255.232954,283.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,675.497029,419.256799,391.225499,437.267364,409.236064,731.523243,811.489574
CL(14:0_14:0_16:0_18:1)-H,1321.917999,152.995833,171.006398,227.201654,227.201654,255.232954,281.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,673.481379,417.241149,391.225499,435.251714,409.236064,729.507593,809.473924
CL(14:0_14:0_16:0_18:2)-H,1319.902349,152.995833,171.006398,227.201654,227.201654,255.232954,279.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,671.465729,415.225499,391.225499,433.236064,409.236064,727.491943,807.458274
CL(14:0_14:0_16:0_18:3)-H,1317.886699,152.995833,171.006398,227.201654,227.201654,255.232954,277.217304,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,669.450079,413.209849,391.225499,431.220414,409.236064,725.476293,805.442624
CL(14:0_14:0_16:0_20:0)-H,1351.964949,152.995833,171.006398,227.201654,227.201654,255.232954,311.295554,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,703.528329,447.288099,391.225499,465.298664,409.236064,759.554543,839.520874
CL(14:0_14:0_16:0_20:1)-H,1349.949299,152.995833,171.006398,227.201654,227.201654,255.232954,309.279904,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,701.512679,445.272449,391.225499,463.283014,409.236064,757.538893,837.505224
CL(14:0_14:0_16:0_20:2)-H,1347.933649,152.995833,171.006398,227.201654,227.201654,255.232954,307.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,699.497029,443.256799,391.225499,461.267364,409.236064,755.523243,835.489574
CL(14:0_14:0_16:0_20:3)-H,1345.917999,152.995833,171.006398,227.201654,227.201654,255.232954,305.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,697.481379,441.241149,391.225499,459.251714,409.236064,753.507593,833.473924
CL(14:0_14:0_16:0_20:4)-H,1343.902349,152.995833,171.006398,227.201654,227.201654,255.232954,303.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,695.465729,439.225499,391.225499,457.236064,409.236064,751.491943,831.458274
CL(14:0_14:0_16:0_22:0)-H,1379.996249,152.995833,171.006398,227.201654,227.201654,255.232954,339.326854,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,731.559629,475.319399,391.225499,493.329964,409.236064,787.585843,867.552174
CL(14:0_14:0_16:0_22:5)-H,1369.917999,152.995833,171.006398,227.201654,227.201654,255.232954,329.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,721.481379,465.241149,391.225499,483.251714,409.236064,777.507593,857.473924
CL(14:0_14:0_16:0_22:6)-H,1367.902349,152.995833,171.006398,227.201654,227.201654,255.232954,327.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,719.465729,463.225499,391.225499,481.236064,409.236064,775.491943,855.458274
CL(14:0_14:0_16:1_16:1)-H,1291.871049,152.995833,171.006398,227.201654,227.201654,253.217304,253.217304,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,643.434429,389.209849,389.209849,407.220414,407.220414,699.460643,779.426974
CL(14:0_14:0_16:1_18:0)-H,1321.917999,152.995833,171.006398,227.201654,227.201654,253.217304,283.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,673.481379,419.256799,389.209849,437.267364,407.220414,729.507593,809.473924
CL(14:0_14:0_16:1_18:1)-H,1319.902349,152.995833,171.006398,227.201654,227.201654,253.217304,281.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,671.465729,417.241149,389.209849,435.251714,407.220414,727.491943,807.458274
CL(14:0_14:0_16:1_18:2)-H,1317.886699,152.995833,171.006398,227.201654,227.201654,253.217304,279.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,669.450079,415.225499,389.209849,433.236064,407.220414,725.476293,805.442624
CL(14:0_14:0_16:1_18:3)-H,1315.871049,152.995833,171.006398,227.201654,227.201654,253.217304,277.217304,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,667.434429,413.209849,389.209849,431.220414,407.220414,723.460643,803.426974
CL(14:0_14:0_16:1_20:0)-H,1349.949299,152.995833,171.006398,227.201654,227.201654,253.217304,311.295554,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,701.512679,447.288099,389.209849,465.298664,407.220414,757.538893,837.505224
CL(14:0_14:0_16:1_20:1)-H,1347.933649,152.995833,171.006398,227.201654,227.201654,253.217304,309.279904,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,699.497029,445.272449,389.209849,463.283014,407.220414,755.523243,835.489574
CL(14:0_14:0_16:1_20:2)-H,1345.917999,152.995833,171.006398,227.201654,227.201654,253.217304,307.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,697.481379,443.256799,389.209849,461.267364,407.220414,753.507593,833.473924
CL(14:0_14:0_16:1_20:3)-H,1343.902349,152.995833,171.006398,227.201654,227.201654,253.217304,305.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,695.465729,441.241149,389.209849,459.251714,407.220414,751.491943,831.458274
CL(14:0_14:0_16:1_20:4)-H,1341.886699,152.995833,171.006398,227.201654,227.201654,253.217304,303.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,693.450079,439.225499,389.209849,457.236064,407.220414,749.476293,829.442624
CL(14:0_14:0_16:1_22:0)-H,1377.980599,152.995833,171.006398,227.201654,227.201654,253.217304,339.326854,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,729.543979,475.319399,389.209849,493.329964,407.220414,785.570193,865.536524
CL(14:0_14:0_16:1_22:5)-H,1367.902349,152.995833,171.006398,227.201654,227.201654,253.217304,329.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,719.465729,465.241149,389.209849,483.251714,407.220414,775.491943,855.458274
CL(14:0_14:0_16:1_22:6)-H,1365.886699,152.995833,171.006398,227.201654,227.201654,253.217304,327.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,717.450079,463.225499,389.209849,481.236064,407.220414,773.476293,853.442624
CL(14:0_14:0_18:0_18:0)-H,1351.964949,152.995833,171.006398,227.201654,227.201654,283.264254,283.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,703.528329,419.256799,419.256799,437.267364,437.267364,759.554543,839.520874
CL(14:0_14:0_18:0_18:1)-H,1349.949299,152.995833,171.006398,227.201654,227.201654,283.264254,281.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,701.512679,417.241149,419.256799,435.251714,437.267364,757.538893,837.505224
CL(14:0_14:0_18:0_18:2)-H,1347.933649,152.995833,171.006398,227.201654,227.201654,283.264254,279.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,699.497029,415.225499,419.256799,433.236064,437.267364,755.523243,835.489574
CL(14:0_14:0_18:0_18:3)-H,1345.917999,152.995833,171.006398,227.201654,227.201654,283.264254,277.217304,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,697.481379,413.209849,419.256799,431.220414,437.267364,753.507593,833.473924
CL(14:0_14:0_18:0_20:0)-H,1379.996249,152.995833,171.006398,227.201654,227.201654,283.264254,311.295554,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,731.559629,447.288099,419.256799,465.298664,437.267364,787.585843,867.552174
CL(14:0_14:0_18:0_20:1)-H,1377.980599,152.995833,171.006398,227.201654,227.201654,283.264254,309.279904,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,729.543979,445.272449,419.256799,463.283014,437.267364,785.570193,865.536524
CL(14:0_14:0_18:0_20:2)-H,1375.964949,152.995833,171.006398,227.201654,227.201654,283.264254,307.264254,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,727.528329,443.256799,419.256799,461.267364,437.267364,783.554543,863.520874
CL(14:0_14:0_18:0_20:3)-H,1373.949299,152.995833,171.006398,227.201654,227.201654,283.264254,305.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,725.512679,441.241149,419.256799,459.251714,437.267364,781.538893,861.505224
CL(14:0_14:0_18:0_20:4)-H,1371.933649,152.995833,171.006398,227.201654,227.201654,283.264254,303.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,723.497029,439.225499,419.256799,457.236064,437.267364,779.523243,859.489574
CL(14:0_14:0_18:0_22:0)-H,1408.027549,152.995833,171.006398,227.201654,227.201654,283.264254,339.326854,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,759.590929,475.319399,419.256799,493.329964,437.267364,815.617143,895.583474
CL(14:0_14:0_18:0_22:5)-H,1397.949299,152.995833,171.006398,227.201654,227.201654,283.264254,329.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,749.512679,465.241149,419.256799,483.251714,437.267364,805.538893,885.505224
CL(14:0_14:0_18:0_22:6)-H,1395.933649,152.995833,171.006398,227.201654,227.201654,283.264254,327.232954,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,747.497029,463.225499,419.256799,481.236064,437.267364,803.523243,883.489574
CL(14:0_14:0_18:1_18:1)-H,1347.933649,152.995833,171.006398,227.201654,227.201654,281.248604,281.248604,591.403129,363.194199,363.194199,381.204764,381.204764,647.429343,727.395674,699.497029,417.241149,417.241149,435.251714,435.251714,755.523243,835.489574
