"MSDIAL_BileAcid","[M+CH3COO]-","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135"
"MSDIAL_ST 24:1;O5;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C;BHQCQFFYRZLCQQ-OELDTZBJSA-N;C24H40O5","467.301425388","289.2134","251.2048","341.2466","353.248","407.2836","207.1715","325.255","327.2704","405.9535","345.2796","313.2536","371.2644","407.9523","343.264","95.04703","231.1864","249.1957","287.2405","323.2408","345.2588","389.2525","225.1572","245.1423","333.9411","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O4;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C;KXGVEGMKQFWNSR-LLQZFEROSA-N;C24H40O4","451.306510768","327.2656","329.2796","345.2643","373.274","321.8623","333.8747","345.2799","347.2909","391.2851","355.2638","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O4;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C;DGABKXLVXPYZII-SIBKNCMHSA-N;C24H40O4","451.306510768","390.0075","353.2445","325.2393","329.2405","341.2406","389.9909","392.278","347.2977","327.2673","355.26","309.2123","315.231","315.2684","323.2377","451.2428","373.2699","389.265","345.2762","391.2835","329.2863","343.2633","371.2633","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O4;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C;RUDATBOHQWOJDD-UZVSRGJWSA-N;C24H40O4","451.306510768","391.2829","390.0096","389.2672","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O4;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C;RUDATBOHQWOJDD-BSWAIDMHSA-N;C24H40O4","451.306510768","311.2199","391.8394","311.2347","392.1089","259.207","205.157","391.8672","392.7596","389.2683","233.1908","295.2016","392.8819","392.0312","392.4425","327.2702","317.2505","390.008","393.6779","393.8729","247.1686","346.1717","391.9395","343.261","325.2523","309.2102","287.243","393.0544","331.2635","392.6483","261.1856","263.2333","273.2155","285.2175","303.2666","315.2339","319.3012","323.233","371.2556","392.5426","392.7039","392.9626","393.0044","393.0934","393.1964","393.2826","393.7114","393.9314","317.2855","231.1763","241.1597","257.2314","301.2219","337.2549","339.2269","346.2918","348.7198","390.0883","391.048","393.5081","393.5694","394.2072","394.4859","394.6644","395.2975","396.0234","407.3563","355.2631","392.134","329.2816","165.1277","219.1791","243.1691","255.1714","257.1908","271.2033","293.1844","293.2276","301.2511","309.2546","326.2021","342.162","348.2534","389.8666","390.8122","390.9343","391.0619","391.1035","391.72","392.6761","392.7373","393.2159","393.6445","394.0596","394.0902","394.1432","394.3131","394.5445","394.7118","395.066","395.3701","395.4175","395.6353","395.7469","395.7944","395.9815","396.1658","396.3838","396.5151","396.8897","400.0358","401.3872","391.284","347.2536","392.2451","392.2896","345.2792","313.2535","297.2234","283.204","392.3535","315.2737","353.2475","309.2201","392.2646","329.2562","392.084","365.306","299.2327","347.2928","373.273","394.8456","392.2062","344.1561","341.2514","394.8345"
"MSDIAL_ST 24:1;O5;[M+CH3COO]-;CC(CCC(O)=O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C;DKPMWHFRUGMUKF-UHFFFAOYSA-N;C24H40O5","467.301425388","387.2533","389.2721","407.2442","407.281","405.2668","303.7485","320.7754","369.2473","377.2543","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O5;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H]([C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C;DKPMWHFRUGMUKF-CRKPLTDNSA-N;C24H40O5","467.301425388","389.2664","405.979","407.278","371.2618","366.9906","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O3;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C;SMEROWZSTRWXGI-HVATVPOCSA-N;C24H40O3","435.311596148","375.2901","271.0656","313.0066","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O4;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CCCC4)C)O)O)C;ZHCAAZIHTDCFJX-QLEQUTGBSA-N;C24H40O4","451.306510768","345.2836","391.2862","217.1544","163.1088","177.128","206.0108","215.1879","225.1584","235.1675","301.2184","325.2285","335.226","219.1735","451.2372","247.1695","279.2183","367.4168","301.2501","389.2649","353.2546","201.1687","205.1616","311.2387","347.2946","165.128","327.2693","325.2539","317.282","337.2514","391.7888","343.2628","329.2858","193.162","260.099","293.2265","309.224","347.4725","371.2549","390.9947","392.976","394.8311","355.2623","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MSDIAL_ST 24:1;O4;[M+CH3COO]-;C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@@H](C4)O)C)C;SMEROWZSTRWXGI-WFVDQZAMSA-N;C24H40O3","435.311596148","357.2704","375.5373","375.9944","376.3564","378.1856","355.2624","375.6516","377.2855","377.4109","374.0755","376.2884","375.2926","376.302","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
