"MSDIAL_Cer_EOS","[M+H]+","1","2","3","4","5","6"
"MSDIAL_Cer 14:1;2O/26:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;FRQSOAVLDBOCBE-VEWQFJOQNA-N;C40H77NO5","652.58745","208.206","634.5769","616.5663","652.5875","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/26:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCC\C=C/CCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;TVZVYBXLJSKIOK-ZQZGMWGQNA-N;C40H75NO5","650.57180","208.206","632.5612","614.5507","650.5718","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/26:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/CCCC;KNEJZVIGDAZJCT-SCXLXNEONA-N;C40H73NO5","648.55615","208.206","630.5456","612.535","648.5562","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/27:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PNQXWDBQGXMFAM-XPXRSFDGNA-N;C41H79NO5","666.60310","208.206","648.5925","630.582","666.6031","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/27:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;QWGPQLBORCRWLO-BUONKFLCNA-N;C41H77NO5","664.58745","208.206","646.5769","628.5663","664.5875","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/27:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;USINKUGCVYLBPK-CLIPFCIWNA-N;C41H75NO5","662.57180","208.206","644.5612","626.5507","662.5718","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/28:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;HBHHRTSXUJDTLA-VBMGMRCRNA-N;C42H81NO5","680.61875","208.206","662.6082","644.5976","680.6188","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;RDUDNCARYDNATB-URBWCITDNA-N;C42H79NO5","678.60310","208.206","660.5925","642.582","678.6031","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;YZETUZPBISMGPC-BYIFRLRONA-N;C42H77NO5","676.58745","208.206","658.5769","640.5663","676.5875","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/28:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCC\C=C/CCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;PMENXJJPDAUVIG-PLOSFTHWNA-N;C42H75NO5","674.57180","208.206","656.5612","638.5507","674.5718","196.206","226.2166"
