"MSDIAL_EtherLPC","[M+HCOO]-","1","2","3","4"
"MSDIAL_LPC O-2:0;[M+HCOO]-;CCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;CJPBBYQNGXYPEB-UHFFFAOYNA-N;C10H24NO6P","330.13233","270.1107","181.0271","78.95906","168.0431"
"MSDIAL_LPC O-3:0;[M+HCOO]-;CCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IVFFQHYEKDTEHH-UHFFFAOYNA-N;C11H26NO6P","344.14798","284.1263","195.0428","78.95906","168.0431"
"MSDIAL_LPC O-4:0;[M+HCOO]-;CCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;KHHYHUBAHZRKET-UHFFFAOYNA-N;C12H28NO6P","358.16363","298.1419","209.0584","78.95906","168.0431"
"MSDIAL_LPC O-5:0;[M+HCOO]-;CCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;FBCWZRYNKHOPFU-UHFFFAOYNA-N;C13H30NO6P","372.17928","312.1576","223.0741","78.95906","168.0431"
"MSDIAL_LPC O-6:0;[M+HCOO]-;CCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LLDGXUKSPUPSLV-UHFFFAOYNA-N;C14H32NO6P","386.19493","326.1732","237.0897","78.95906","168.0431"
"MSDIAL_LPC O-7:0;[M+HCOO]-;CCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;HQNZFLMLVOKUEE-UHFFFAOYNA-N;C15H34NO6P","400.21058","340.1889","251.1054","78.95906","168.0431"
"MSDIAL_LPC O-8:0;[M+HCOO]-;CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;QLGPKQHZDZGXLA-UHFFFAOYNA-N;C16H36NO6P","414.22623","354.2046","265.121","78.95906","168.0431"
"MSDIAL_LPC O-9:0;[M+HCOO]-;CCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RKYLFHDDAKXESE-UHFFFAOYNA-N;C17H38NO6P","428.24188","368.2202","279.1367","78.95906","168.0431"
"MSDIAL_LPC O-10:0;[M+HCOO]-;CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ZZHOJTIIWHVSBP-UHFFFAOYNA-N;C18H40NO6P","442.25753","382.2358","293.1523","78.95906","168.0431"
"MSDIAL_LPC O-11:0;[M+HCOO]-;CCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ROQPOGHZQQZQAN-UHFFFAOYNA-N;C19H42NO6P","456.27318","396.2515","307.168","78.95906","168.0431"
"MSDIAL_LPC O-12:0;[M+HCOO]-;CCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;URUYDXJUCOUNCY-UHFFFAOYNA-N;C20H44NO6P","470.28883","410.2672","321.1836","78.95906","168.0431"
"MSDIAL_LPC O-13:0;[M+HCOO]-;CCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XYSHEKHOQYVMLW-UHFFFAOYNA-N;C21H46NO6P","484.30448","424.2828","335.1993","78.95906","168.0431"
"MSDIAL_LPC O-13:1;[M+HCOO]-;CCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;YOJDHFGTOIRORN-FPLPWBNLNA-N;C21H44NO6P","482.28883","422.2672","333.1836","78.95906","168.0431"
"MSDIAL_LPC O-14:0;[M+HCOO]-;CCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MBRLTZVQXZDRBC-UHFFFAOYNA-N;C22H48NO6P","498.32013","438.2985","349.2149","78.95906","168.0431"
