"MSDIAL_EtherLPE","[M+H]+","1","2","3"
"MSDIAL_LPE O-2:0;[M+H]+;CCOCC(O)COP(O)(=O)OCCN;FQMLAWZHFWZKHE-UHFFFAOYNA-N;C7H18NO6P","244.09445","72.05696","90.06753","244.0945"
"MSDIAL_LPE O-3:0;[M+H]+;CCCOCC(O)COP(O)(=O)OCCN;WOBOWZJHTXUCHH-UHFFFAOYNA-N;C8H20NO6P","258.11010","86.07261","104.0832","258.1101"
"MSDIAL_LPE O-4:0;[M+H]+;CCCCOCC(O)COP(O)(=O)OCCN;KNUTVLCQHRDPGE-UHFFFAOYNA-N;C9H22NO6P","272.12575","100.0883","118.0988","272.1258"
"MSDIAL_LPE O-5:0;[M+H]+;CCCCCOCC(O)COP(O)(=O)OCCN;IGVCQIOHHGITCJ-UHFFFAOYNA-N;C10H24NO6P","286.14140","114.1039","132.1145","286.1414"
"MSDIAL_LPE O-6:0;[M+H]+;CCCCCCOCC(O)COP(O)(=O)OCCN;AVJZQEZFPROBRH-UHFFFAOYNA-N;C11H26NO6P","300.15705","128.1196","146.1301","300.157"
"MSDIAL_LPE O-7:0;[M+H]+;CCCCCCCOCC(O)COP(O)(=O)OCCN;QDYNYLQFPOPEGR-UHFFFAOYNA-N;C12H28NO6P","314.17270","142.1352","160.1458","314.1727"
"MSDIAL_LPE O-8:0;[M+H]+;CCCCCCCCOCC(O)COP(O)(=O)OCCN;COQDFASIZRWHHB-UHFFFAOYNA-N;C13H30NO6P","328.18835","156.1509","174.1614","328.1884"
"MSDIAL_LPE O-9:0;[M+H]+;CCCCCCCCCOCC(O)COP(O)(=O)OCCN;KTMRQRHFUNEXJV-UHFFFAOYNA-N;C14H32NO6P","342.20400","170.1665","188.1771","342.204"
"MSDIAL_LPE O-10:0;[M+H]+;CCCCCCCCCCOCC(O)COP(O)(=O)OCCN;HEVOWKVGAAMGJP-UHFFFAOYNA-N;C15H34NO6P","356.21965","184.1822","202.1927","356.2196"
"MSDIAL_LPE O-11:0;[M+H]+;CCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;FVRDTQIYFYKCLZ-UHFFFAOYNA-N;C16H36NO6P","370.23530","198.1978","216.2084","370.2353"
"MSDIAL_LPE O-12:0;[M+H]+;CCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;ZUVNFCWZWSEVGX-UHFFFAOYNA-N;C17H38NO6P","384.25095","212.2135","230.224","384.2509"
"MSDIAL_LPE O-13:0;[M+H]+;CCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;YHHSLDGIYORYLJ-UHFFFAOYNA-N;C18H40NO6P","398.26660","226.2291","244.2397","398.2666"
"MSDIAL_LPE O-13:1;[M+H]+;CCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;OANOUMGPZGVWTQ-PLNGDYQANA-N;C18H38NO6P","396.25095","224.2135","242.224","396.2509"
"MSDIAL_LPE O-14:0;[M+H]+;CCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;UKSGFJCLKUDPDM-UHFFFAOYNA-N;C19H42NO6P","412.28225","240.2448","258.2553","412.2823"
"MSDIAL_LPE O-14:1;[M+H]+;CCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;MXHINCMRKKYDGQ-WAYWQWQTNA-N;C19H40NO6P","410.26660","238.2291","256.2397","410.2666"
"MSDIAL_LPE O-15:0;[M+H]+;CCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;UGDQTNCVEYMZRG-UHFFFAOYNA-N;C20H44NO6P","426.29790","254.2604","272.271","426.2979"
"MSDIAL_LPE O-15:1;[M+H]+;CCCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;FEXZKTCCNBBCOA-SREVYHEPNA-N;C20H42NO6P","424.28225","252.2448","270.2553","424.2823"
"MSDIAL_LPE O-16:0;[M+H]+;CCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;OKXWJISJKQKUTN-UHFFFAOYNA-N;C21H46NO6P","440.31355","268.2761","286.2866","440.3135"
"MSDIAL_LPE O-16:1;[M+H]+;CCCCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;RRTPYUGIBQLEDN-FPLPWBNLNA-N;C21H44NO6P","438.29790","266.2604","284.271","438.2979"
"MSDIAL_LPE O-16:2;[M+H]+;CCC\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;YNYLMBNSQWIMMP-UTOQUPLUNA-N;C21H42NO6P","436.28225","264.2448","282.2553","436.2823"
"MSDIAL_LPE O-16:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCOCC(O)COP(O)(=O)OCCN;MIKONQWCTYQAPH-PDBXOOCHNA-N;C21H40NO6P","434.26660","262.2291","280.2397","434.2666"
"MSDIAL_LPE O-16:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(O)COP(O)(=O)OCCN;XYKBFRYMARHPQV-LTKCOYKYNA-N;C21H38NO6P","432.25095","260.2135","278.224","432.2509"
"MSDIAL_LPE O-17:0;[M+H]+;CCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;QEBDZBQWZDDWIH-UHFFFAOYNA-N;C22H48NO6P","454.32920","282.2917","300.3023","454.3292"
"MSDIAL_LPE O-17:1;[M+H]+;CCCCCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;YGHRPIWSZYSPRF-HJWRWDBZNA-N;C22H46NO6P","452.31355","280.2761","298.2866","452.3135"
"MSDIAL_LPE O-17:2;[M+H]+;CCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;UDQPHQWIDUCTMG-AFJQJTPPNA-N;C22H44NO6P","450.29790","278.2604","296.271","450.2979"
"MSDIAL_LPE O-18:0;[M+H]+;CCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;JIJGULMDDZORPH-UHFFFAOYNA-N;C23H50NO6P","468.34485","296.3074","314.3179","468.3448"
"MSDIAL_LPE O-18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;CDONWGCJDDHTLP-KTKRTIGZNA-N;C23H48NO6P","466.32920","294.2917","312.3023","466.3292"
"MSDIAL_LPE O-18:2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;DBVHWKABURKXNY-HZJYTTRNNA-N;C23H46NO6P","464.31355","292.2761","310.2866","464.3135"
"MSDIAL_LPE O-18:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;WGYJVKYUUAEBMJ-PDBXOOCHNA-N;C23H44NO6P","462.29790","290.2604","308.271","462.2979"
"MSDIAL_LPE O-18:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCOCC(O)COP(O)(=O)OCCN;AKUSDEFSMZUJEM-LTKCOYKYNA-N;C23H42NO6P","460.28225","288.2448","306.2553","460.2823"
"MSDIAL_LPE O-18:5;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCOCC(O)COP(O)(=O)OCCN;OASPYOIOZSXXSW-JLNKQSITNA-N;C23H40NO6P","458.26660","286.2291","304.2397","458.2666"
"MSDIAL_LPE O-19:0;[M+H]+;CCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;JWIJSCTYKFOHIK-UHFFFAOYNA-N;C24H52NO6P","482.36050","310.323","328.3336","482.3605"
"MSDIAL_LPE O-19:1;[M+H]+;CCCCCCCCC\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;PRBDCEFQVCQKGS-KHPPLWFENA-N;C24H50NO6P","480.34485","308.3074","326.3179","480.3448"
"MSDIAL_LPE O-19:2;[M+H]+;CCCCCC\C=C/C\C=C/CCCCCCCCOCC(O)COP(O)(=O)OCCN;OQZLTUIMUOJFRT-NQLNTKRDNA-N;C24H48NO6P","478.32920","306.2917","324.3023","478.3292"
"MSDIAL_LPE O-20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCOCC(O)COP(O)(=O)OCCN;PKPGKYPSMJMPGS-UHFFFAOYNA-N;C25H54NO6P","496.37615","324.3387","342.3492","496.3762"
