"MSDIAL_EtherOxPE","[M-H]-","1","2","3","4","5"
"MSDIAL_PE O-16:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;CFGSSVWACVDLQC-UHFFFAOYNA-N;C39H80NO8P","720.55488","299.2592","720.5549","281.2486","438.2985","1"
"MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;LHOCVAJNIVMWCW-UHFFFAOYNA-N;C39H78NO8P","718.53923","297.2435","718.5392","438.2985","1","1"
"MSDIAL_PE O-16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;LENFUDDWDRKZCO-UHFFFAOYNA-N;C39H80NO9P","736.54979","315.2541","736.5498","279.233","297.2435","438.2985"
"MSDIAL_PE O-16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;KTVLOBSCSZTHRE-NJNXFGOHNA-N;C39H78NO8P","718.53923","297.2435","718.5392","279.233","438.2985","1"
"MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;SNZNPCPFQCGXSQ-DAFNUICNNA-N;C39H76NO8P","716.52358","295.2279","716.5236","438.2985","1","1"
"MSDIAL_PE O-16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RPDBFDKTFDAXMT-DAFNUICNNA-N;C39H78NO9P","734.53414","313.2384","734.5341","277.2173","295.2279","438.2985"
"MSDIAL_PE O-16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JNNDASNRTYESSW-ZQHSETAFNA-N;C39H78NO10P","750.52906","329.2333","750.5291","293.2122","311.2228","438.2985"
"MSDIAL_PE O-16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;BHUAJFWRVIOCGV-FHHGPMHONA-N;C39H76NO8P","716.52358","295.2279","716.5236","277.2173","438.2985","1"
"MSDIAL_PE O-16:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;HKFWGYBUFZXCPN-FHHGPMHONA-N;C39H76NO9P","732.51849","311.2228","732.5185","275.2017","293.2122","438.2985"
"MSDIAL_PE O-16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;GVKPNCCYIPHQAK-UWPAGBAZNA-N;C39H74NO8P","714.50793","293.2122","714.5079","275.2017","438.2985","1"
"MSDIAL_PE O-16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;LZFLHXKUJCPBEH-BZTVKNCSNA-N;C41H78NO8P","742.53923","321.2435","742.5392","303.233","438.2985","1"
"MSDIAL_PE O-16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;OEEJUYYAFLWXAI-MCKNLPIWNA-N;C41H76NO8P","740.52358","319.2279","740.5236","438.2985","1","1"
"MSDIAL_PE O-16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;UIVBIDWGMANANC-MCKNLPIWNA-N;C41H78NO9P","758.53414","337.2384","758.5341","301.2173","319.2279","438.2985"
"MSDIAL_PE O-16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;DSDPFKGQHYUITI-IJUQLHCJNA-N;C41H76NO9P","756.51849","335.2228","756.5185","317.2122","438.2985","1"
"MSDIAL_PE O-16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FRUFUEMQFSWDPX-DVOXDFKNNA-N;C41H78NO10P","774.52906","353.2333","774.5291","317.2122","335.2228","438.2985"
