"MSDIAL_EtherTG","[M+Na]+","1","2","3"
"MSDIAL_TG O-8:0_8:0_8:0;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC;RMXJSOADKNKNFK-UHFFFAOYNA-N;C27H52O5","479.37070","479.3707","335.2563","1"
"MSDIAL_TG O-8:0_8:0_10:0;[M+Na]+;CCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCC;NUIMEWLZOAIYCQ-UHFFFAOYNA-N;C29H56O5","507.40200","507.402","335.2563","363.2876"
"MSDIAL_TG O-8:0_8:0_12:0;[M+Na]+;CCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCC;DEJCBKYUTXSFPF-UHFFFAOYNA-N;C31H60O5","535.43330","535.4333","335.2563","391.3189"
"MSDIAL_TG O-8:0_8:0_14:0;[M+Na]+;CCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCC;OMHUCBODNAAXQZ-UHFFFAOYNA-N;C33H64O5","563.46460","563.4646","335.2563","419.3502"
"MSDIAL_TG O-8:0_8:0_14:1;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC;WVKJASYWZFWBCE-SQFISAMPNA-N;C33H62O5","561.44895","561.449","335.2563","417.3345"
"MSDIAL_TG O-8:0_8:0_16:0;[M+Na]+;CCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCC;HZDDOINOPKJFEH-UHFFFAOYNA-N;C35H68O5","591.49590","591.4959","335.2564","447.3815"
"MSDIAL_TG O-8:0_8:0_16:1;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC;IPCFBUSRFVGURM-MSUUIHNZNA-N;C35H66O5","589.48025","589.4802","335.2563","445.3658"
"MSDIAL_TG O-8:0_8:0_16:2;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCC\C=C/C\C=C/CCC)OC(=O)CCCCCCC;ILHMBAZULBZPKW-GULLIVQYNA-N;C35H64O5","587.46460","587.4646","335.2563","443.3502"
"MSDIAL_TG O-8:0_8:0_16:3;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;VLHJXUSTXVMJBI-JUOVZTPBNA-N;C35H62O5","585.44895","585.449","335.2563","441.3345"
"MSDIAL_TG O-8:0_8:0_16:4;[M+Na]+;CCCCCCCCOCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;COWHTYWPYPKCMZ-SVZMKSOJNA-N;C35H60O5","583.43330","583.4333","335.2563","439.3189"
"MSDIAL_TG O-8:0_8:0_18:0;[M+Na]+;CCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCC)OC(=O)CCCCCCC;MAPGJUJIFNQQHO-UHFFFAOYNA-N;C37H72O5","619.52720","619.5272","335.2564","475.4128"
"MSDIAL_TG O-8:0_8:0_18:1;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC;BKBBVLZTZAFJSN-HNENSFHCNA-N;C37H70O5","617.51155","617.5115","335.2564","473.3971"
"MSDIAL_TG O-8:0_8:0_18:2;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC;NCMDMUJHOHUVQI-GJLVVWLQNA-N;C37H68O5","615.49590","615.4959","335.2564","471.3815"
"MSDIAL_TG O-8:0_8:0_18:3;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;JNUVNONUAFLTRU-JUOVZTPBNA-N;C37H66O5","613.48025","613.4802","335.2563","469.3658"
"MSDIAL_TG O-8:0_8:0_18:4;[M+Na]+;CCCCCCCCOCC(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC;UIVWUZHXXWKKHR-AMMHHEAINA-N;C37H64O5","611.46460","611.4646","335.2563","467.3502"
