"MSDIAL_FAHFA","[M-H]-","1","2","3","4"
"MSDIAL_FAHFA 2:0/16:0;[M-H]-;CCCCCCCCC(CCCCCCC(O)=O)OC(C)=O;RZVAXZYNWOQYCV-UHFFFAOYNA-N;C18H34O4","313.23843","59.01385","253.2173","313.2384","271.2279"
"MSDIAL_FAHFA 2:0/16:1;[M-H]-;CCCCCC\C=C/C(CCCCCCC(O)=O)OC(C)=O;PPUWZDFULAPAKC-RAXLEYEMNA-N;C18H32O4","311.22278","59.01385","251.2016","311.2228","269.2122"
"MSDIAL_FAHFA 2:0/16:2;[M-H]-;CCC\C=C/C\C=C/C(CCCCCCC(O)=O)OC(C)=O;BZLBVMMTBSRWGS-MUIHLJEFNA-N;C18H30O4","309.20713","59.01385","249.186","309.2071","267.1966"
"MSDIAL_FAHFA 2:0/16:3;[M-H]-;CC\C=C/C\C=C/C(OC(C)=O)\C=C/CCCCCC(O)=O;FMIUKUWKFHJMEQ-DNYDJAFQNA-N;C18H28O4","307.19148","59.01385","247.1703","307.1915","265.1809"
"MSDIAL_FAHFA 2:0/17:0;[M-H]-;CCCCCCCCC(CCCCCCCC(O)=O)OC(C)=O;KSIDJLOXPUPQEE-UHFFFAOYNA-N;C19H36O4","327.25408","59.01385","267.2329","327.2541","285.2435"
"MSDIAL_FAHFA 2:0/17:1;[M-H]-;CCCCCCC\C=C/C(CCCCCCC(O)=O)OC(C)=O;SPZWTTMMUJUANK-KAMYIIQDNA-N;C19H34O4","325.23843","59.01385","265.2173","325.2384","283.2279"
"MSDIAL_FAHFA 2:0/17:2;[M-H]-;CCCC\C=C/C\C=C/C(CCCCCCC(O)=O)OC(C)=O;FHUDVLPQASRZMS-BKIWZHBDNA-N;C19H32O4","323.22278","59.01385","263.2017","323.2228","281.2122"
"MSDIAL_FAHFA 2:0/18:0;[M-H]-;CCCCCCCCCC(CCCCCCCC(O)=O)OC(C)=O;JEPMPLIABMSOKK-UHFFFAOYNA-N;C20H38O4","341.26973","59.01385","281.2486","341.2697","299.2592"
"MSDIAL_FAHFA 2:0/18:1;[M-H]-;CCCCCCCC\C=C/C(CCCCCCC(O)=O)OC(C)=O;IVBSQMBSPIOLJG-QINSGFPZNA-N;C20H36O4","339.25408","59.01385","279.2329","339.2541","297.2435"
"MSDIAL_FAHFA 2:0/18:2;[M-H]-;CCCCC\C=C/C\C=C/C(CCCCCCC(O)=O)OC(C)=O;ZZKUNUVYEWYQPI-VZFGNTJKNA-N;C20H34O4","337.23843","59.01385","277.2173","337.2384","295.2279"
"MSDIAL_FAHFA 2:0/18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/C(CCCCCCC(O)=O)OC(C)=O;DJALGLMYJFMUPM-LCZSCVSINA-N;C20H32O4","335.22278","59.01385","275.2017","335.2228","293.2122"
