"MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7"
"MSDIAL_HexCer 14:1;2O/28:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;AHBIUXVQPWMSGZ-VBMGMRCRNA-N;C48H91NO10","842.67157","208.206","662.6082","680.6187","842.6716","644.5976","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/28:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;AJUPZVVFMGKOSD-URBWCITDNA-N;C48H89NO10","840.65592","208.206","660.5925","678.6031","840.6559","642.582","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/28:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCOC(=O)CCCCCCC\C=C/CCCC;VLQMWVPKCNHQLJ-BYIFRLRONA-N;C48H87NO10","838.64027","208.206","658.5768","676.5875","838.6403","640.5663","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/29:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;KICUCGKFUJAAIT-JSLDZMDGNA-N;C49H93NO10","856.68722","208.206","676.6238","694.6344","856.6872","658.6132","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/29:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/CCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;SMZQNBQKQGWZIT-JVXVHHPZNA-N;C49H91NO10","854.67157","208.206","674.6082","692.6187","854.6716","656.5976","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/29:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC\C=C/CCCCCOC(=O)CCCCCCC\C=C/CCCC;OWXNVBACXMYVST-NHKNVVQRNA-N;C49H89NO10","852.65592","208.206","672.5925","690.6031","852.6559","654.582","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/30:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UPKNOKICWFQBAO-WIKZRCHHNA-N;C50H95NO10","870.70287","208.206","690.6395","708.65","870.7029","672.6289","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/30:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/CCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;NDXIJCXXQICOTE-NZLVAMQMNA-N;C50H93NO10","868.68722","208.206","688.6238","706.6344","868.6872","670.6132","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/30:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCC\C=C/C\C=C/CCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PBBIKYQVTYOTSR-DUWNXGSONA-N;C50H91NO10","866.67157","208.206","686.6082","704.6187","866.6716","668.5976","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/30:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CC\C=C/C\C=C/CCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;DHMSDKSLOIPZFH-GVHVZFAQNA-N;C50H89NO10","864.65592","208.206","684.5925","702.6031","864.6559","666.582","196.206","226.2166"
