"MSDIAL_NAOrn","[M+H]+","1","2","3","4","5","6","7"
"MSDIAL_NAOrn 10:0/10:0;[M+H]+;CCCCCCCCCC(=O)OC(CCC)CCCCCC(=O)NC(CCCN)C(O)=O;WYWPMSSOUSQLTD-UHFFFAOYNA-N;C25H48N2O5","457.36360","115.0866","70.06513","267.2067","133.0972","285.2173","457.3636","153.1274"
"MSDIAL_NAOrn 10:0/11:0;[M+H]+;CCCCCCCCCC(=O)OC(CCCC)CCCCCC(=O)NC(CCCN)C(O)=O;ASVOAPIWIBDGAS-UHFFFAOYNA-N;C26H50N2O5","471.37925","115.0866","70.06513","281.2224","133.0972","299.2329","471.3792","167.143"
"MSDIAL_NAOrn 10:0/12:0;[M+H]+;CCCCCCCCCC(=O)OC(CCCCC)CCCCCC(=O)NC(CCCN)C(O)=O;RWXFUKIFOCFGMU-UHFFFAOYNA-N;C27H52N2O5","485.39490","115.0866","70.06513","295.238","133.0972","313.2486","485.3949","181.1587"
"MSDIAL_NAOrn 10:0/13:0;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCC)CCCCCC(=O)NC(CCCN)C(O)=O;OFCMKTBHBXRQSP-UHFFFAOYNA-N;C28H54N2O5","499.41055","115.0866","70.06513","309.2537","133.0972","327.2642","499.4106","195.1743"
"MSDIAL_NAOrn 10:0/13:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCC;HXNFSZUXMYLFSA-AQTBWJFINA-N;C28H52N2O5","497.39490","115.0866","70.06513","307.238","133.0972","325.2486","497.3949","193.1587"
"MSDIAL_NAOrn 10:0/14:0;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCC)CCCCCCC(=O)NC(CCCN)C(O)=O;DTWHXVDZWFJGQW-UHFFFAOYNA-N;C29H56N2O5","513.42620","115.0866","70.06513","323.2693","133.0972","341.2799","513.4262","209.19"
"MSDIAL_NAOrn 10:0/14:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCC;UZOFLQFKNBIQTG-RGEXLXHINA-N;C29H54N2O5","511.41055","115.0866","70.06513","321.2537","133.0972","339.2642","511.4106","207.1743"
"MSDIAL_NAOrn 10:0/15:0;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC)CCCCCCC(=O)NC(CCCN)C(O)=O;OWRVPUWSQGHCEK-UHFFFAOYNA-N;C30H58N2O5","527.44185","115.0866","70.06513","337.2849","133.0972","355.2955","527.4418","223.2056"
"MSDIAL_NAOrn 10:0/15:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCC;YCXGPINXPUGZFR-HKWRFOASNA-N;C30H56N2O5","525.42620","115.0866","70.06513","335.2693","133.0972","353.2799","525.4262","221.19"
"MSDIAL_NAOrn 10:0/16:0;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCC(=O)NC(CCCN)C(O)=O;ZSDLSFDABSSDAX-UHFFFAOYNA-N;C31H60N2O5","541.45750","115.0866","70.06513","351.3006","133.0972","369.3112","541.4575","237.2213"
"MSDIAL_NAOrn 10:0/16:1;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/CCCCCC;GPPULHWUJMBRQK-PGMHBOJBNA-N;C31H58N2O5","539.44185","115.0866","70.06513","349.2849","133.0972","367.2955","539.4418","235.2056"
"MSDIAL_NAOrn 10:0/16:2;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/CCC;KLYZEFUFBUZJPQ-WSRCDTPANA-N;C31H56N2O5","537.42620","115.0866","70.06513","347.2693","133.0972","365.2799","537.4262","233.19"
"MSDIAL_NAOrn 10:0/16:3;[M+H]+;CCCCCCCCCC(=O)OC(\C=C/CCCCCC(=O)NC(CCCN)C(O)=O)\C=C/C\C=C/CC;QFFGXWHHYUAARK-YVCWEAGTNA-N;C31H54N2O5","535.41055","115.0866","70.06513","345.2537","133.0972","363.2642","535.4105","231.1743"
"MSDIAL_NAOrn 10:0/17:0;[M+H]+;CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC(=O)NC(CCCN)C(O)=O;ITTBXQNGXJPFKF-UHFFFAOYNA-N;C32H62N2O5","555.47315","115.0866","70.06513","365.3163","133.0972","383.3268","555.4731","251.2369"
