"MSDIAL_OxPE","[M-H]-","1","2","3","4","5","6"
"MSDIAL_PE 16:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCC(O)CCCCCC;HJPFSHQFRFOLEM-UHFFFAOYNA-N;C39H78NO9P","734.53414","255.2323","734.5341","281.2486","196.038","299.2592","1"
"MSDIAL_PE 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC1OC1CCCCCC;BVFCLPANNMWKNA-UHFFFAOYNA-N;C39H76NO9P","732.51849","255.2323","732.5185","297.2435","196.038","1","1"
"MSDIAL_PE 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;KOHKOJMTAZPINI-UHFFFAOYNA-N;C39H78NO10P","750.52906","255.2323","297.2435","750.5291","279.233","315.2541","196.038"
"MSDIAL_PE 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;WLFQMBCGVCECDQ-HIXSDJFHNA-N;C39H76NO9P","732.51849","255.2323","732.5185","279.233","196.038","297.2435","1"
"MSDIAL_PE 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;IULVDUKMOFVJSI-GFMRDNFCNA-N;C39H74NO9P","730.50284","255.2323","730.5029","295.2279","196.038","1","1"
"MSDIAL_PE 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RYHGVWLIDAOHPY-GFMRDNFCNA-N;C39H76NO10P","748.51341","255.2323","295.2279","748.5134","277.2173","313.2384","196.038"
"MSDIAL_PE 16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JUCUITADLHNCFU-ZQHSETAFNA-N;C39H76NO11P","764.50832","255.2323","764.5083","293.2122","311.2228","196.038","329.2333"
"MSDIAL_PE 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;JFLULIYBFRJUCP-RSQAHCHINA-N;C39H74NO9P","730.50284","255.2323","730.5029","277.2173","196.038","295.2279","1"
"MSDIAL_PE 16:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;ZCTUKEUOHNQVKQ-RSQAHCHINA-N;C39H74NO10P","746.49776","255.2323","293.2122","746.4977","275.2017","311.2228","196.038"
"MSDIAL_PE 16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;SAEFVRPPSACNMK-XBRVMRCINA-N;C39H72NO9P","728.48719","255.2323","728.4872","275.2017","196.038","293.2122","1"
