"MSDIAL_OxPG","[M-H]-","1","2","3","4","5"
"MSDIAL_PG 16:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCCC(O)CCCCCC;HZSHNOKHBMQPST-UHFFFAOYNA-N;C40H79O11P","765.52872","255.2323","765.5287","281.2486","299.2592","1"
"MSDIAL_PG 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCC1OC1CCCCCC;OAXGNLAWLUWRHH-UHFFFAOYNA-N;C40H77O11P","763.51307","255.2323","763.5131","297.2435","1","1"
"MSDIAL_PG 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;SZWHRWWOBHZGBI-UHFFFAOYNA-N;C40H79O12P","781.52364","255.2323","297.2435","781.5236","279.233","315.2541"
"MSDIAL_PG 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;OGCRFKPPSJOKQA-HIXSDJFHNA-N;C40H77O11P","763.51307","255.2323","763.5131","279.233","297.2435","1"
"MSDIAL_PG 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;NEUKMPIGBLCXPC-GFMRDNFCNA-N;C40H75O11P","761.49742","255.2323","761.4974","295.2279","1","1"
"MSDIAL_PG 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;RMWBEYUVGVZKNY-GFMRDNFCNA-N;C40H77O12P","779.50799","255.2323","295.2279","779.508","277.2173","313.2384"
"MSDIAL_PG 16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;RRDGNDUPQOKZRQ-ZQHSETAFNA-N;C40H77O13P","795.50290","255.2323","795.5029","293.2122","311.2228","329.2333"
"MSDIAL_PG 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;IZWGNVBQWJQVDE-RSQAHCHINA-N;C40H75O11P","761.49742","255.2323","761.4974","277.2173","295.2279","1"
"MSDIAL_PG 16:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;MOPHNMOSUFLMOE-RSQAHCHINA-N;C40H75O12P","777.49234","255.2323","293.2122","777.4923","275.2017","311.2228"
"MSDIAL_PG 16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;RZBGVTNKFPGJDA-XBRVMRCINA-N;C40H73O11P","759.48177","255.2323","759.4818","275.2017","293.2122","1"
"MSDIAL_PG 16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;IKWWSTZZCBLJAJ-PFWAXDLANA-N;C42H77O11P","787.51307","255.2323","787.5131","303.233","321.2435","1"
"MSDIAL_PG 16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;YZKOCYOVUUPHJF-DGJXYFCYNA-N;C42H75O11P","785.49742","255.2323","785.4974","319.2279","1","1"
"MSDIAL_PG 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;YQONPRHPBDROEF-DGJXYFCYNA-N;C42H77O12P","803.50799","255.2323","319.2279","803.508","301.2173","337.2384"
"MSDIAL_PG 16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;MROFJDBTWCPOGQ-LBKYVXEQNA-N;C42H75O12P","801.49234","255.2323","801.4923","317.2122","335.2228","1"
"MSDIAL_PG 16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;LSESKGAMPWFDCO-RVKPKNHYNA-N;C42H77O13P","819.50290","255.2323","819.5029","317.2122","335.2228","353.2333"
"MSDIAL_PG 16:0_20:3;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;JMCCOXZJTQRQJW-RVKPKNHYNA-N;C42H77O14P","835.49782","255.2323","835.4978","333.2072","351.2177","369.2283"
