"MSDIAL_OxPS","[M-H]-","1","2","3","4","5","6"
"MSDIAL_PS 16:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCCCC(O)CCCCCC;IPAYVCOIPHFDAD-UHFFFAOYNA-N;C40H78NO11P","778.52397","255.2323","691.4919","778.524","281.2486","299.2592","1"
"MSDIAL_PS 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCCC1OC1CCCCCC;CQMZMNHJQFHTOF-UHFFFAOYNA-N;C40H76NO11P","776.50832","255.2323","689.4763","776.5083","297.2435","1","1"
"MSDIAL_PS 16:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;QQGHZHAUTVDJLG-UHFFFAOYNA-N;C40H78NO12P","794.51889","255.2323","297.2435","707.4869","794.5189","279.233","315.2541"
"MSDIAL_PS 16:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;DIHINMMRZYWIDL-HIXSDJFHNA-N;C40H76NO11P","776.50832","255.2323","689.4763","776.5083","279.233","297.2435","1"
"MSDIAL_PS 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;IULVIKWMNYBNCO-GFMRDNFCNA-N;C40H74NO11P","774.49267","255.2323","687.4606","774.4927","295.2279","1","1"
"MSDIAL_PS 16:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;KBQHVIOQOOJQTC-GFMRDNFCNA-N;C40H76NO12P","792.50324","255.2323","295.2279","705.4712","792.5032","277.2173","313.2384"
"MSDIAL_PS 16:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;HCHANPCTTVQMAX-ZQHSETAFNA-N;C40H76NO13P","808.49815","255.2323","721.4661","808.4982","293.2122","311.2228","329.2333"
"MSDIAL_PS 16:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;JUURKKADKPBKAD-RSQAHCHINA-N;C40H74NO11P","774.49267","255.2323","687.4606","774.4927","277.2173","295.2279","1"
"MSDIAL_PS 16:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;YZLOMJXUOUMWEW-RSQAHCHINA-N;C40H74NO12P","790.48759","255.2323","293.2122","703.4556","790.4876","275.2017","311.2228"
"MSDIAL_PS 16:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;SPXMTWHFVPPWJR-XBRVMRCINA-N;C40H72NO11P","772.47702","255.2323","685.445","772.477","275.2017","293.2122","1"
"MSDIAL_PS 16:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;CBIIZTAOPFKIDB-PFWAXDLANA-N;C42H76NO11P","800.50832","255.2323","713.4763","800.5083","303.233","321.2435","1"
"MSDIAL_PS 16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;IRZRWFRLFFLLBH-DGJXYFCYNA-N;C42H74NO11P","798.49267","255.2323","711.4606","798.4927","319.2279","1","1"
"MSDIAL_PS 16:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;ZKCJMYFBQNJNNF-DGJXYFCYNA-N;C42H76NO12P","816.50324","255.2323","319.2279","729.4712","816.5032","301.2173","337.2384"
"MSDIAL_PS 16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;NLXLAHPBMRFSQM-LBKYVXEQNA-N;C42H74NO12P","814.48759","255.2323","727.4556","814.4876","317.2122","335.2228","1"
"MSDIAL_PS 16:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FOMYCKHKQYLCGH-RVKPKNHYNA-N;C42H76NO13P","832.49815","255.2323","745.4661","832.4982","317.2122","335.2228","353.2333"
"MSDIAL_PS 16:0_20:3;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;UGAGZYDJACYZFF-RVKPKNHYNA-N;C42H76NO14P","848.49307","255.2323","761.4611","848.493","333.2072","351.2177","369.2283"
"MSDIAL_PS 16:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;MGICJISBWVXJLT-NUEBGIOVNA-N;C42H74NO11P","798.49267","255.2323","711.4606","798.4927","301.2173","319.2279","1"
"MSDIAL_PS 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;ASDLGRPECFRIJF-YLXZKDRHNA-N;C42H72NO11P","796.47702","255.2323","709.445","796.477","317.2122","1","1"
"MSDIAL_PS 16:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;HCUZJAZCKCNUMX-WIPZEKEANA-N;C42H74NO12P","814.48759","255.2323","317.2122","727.4556","814.4876","299.2017","335.2228"
"MSDIAL_PS 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;SIYRCWCSRSIXGS-KVBJYXNONA-N;C42H74NO13P","830.48250","255.2323","743.4505","830.4825","315.1966","333.2072","351.2177"
"MSDIAL_PS 16:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;SAPSVPMKURQHSX-RVKPKNHYNA-N;C42H74NO13P","830.48250","255.2323","743.4505","830.4825","333.2072","351.2177","1"
"MSDIAL_PS 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;TUHWLBGEJAJSBO-OKAHKNJDNA-N;C42H74NO14P","846.47742","255.2323","759.4454","846.4774","331.1915","349.2021","367.2126"
"MSDIAL_PS 16:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;QSAFJVNYBLVRGS-RVKPKNHYNA-N;C42H74NO14P","846.47742","255.2323","759.4454","846.4774","349.2021","331.1915","367.2126"
"MSDIAL_PS 16:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;LDKNBDSSEIJGHF-XAZUFWHMNA-N;C42H72NO11P","796.47702","255.2323","709.445","796.477","299.2017","317.2122","1"
"MSDIAL_PS 16:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;WABQEVSOVKBHPG-BXUVIXESNA-N;C42H70NO11P","794.46137","255.2323","707.4293","794.4614","315.1966","1","1"
"MSDIAL_PS 16:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;QALWUVIWILCPPL-SSKJHGEDNA-N;C42H72NO12P","812.47194","255.2323","315.1966","725.4399","812.4719","297.186","333.2071"
"MSDIAL_PS 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;FCLMTSHNZUECJM-XMAGIFGMNA-N;C42H72NO13P","828.46685","255.2323","741.4348","828.4669","313.1809","331.1915","349.2021"
"MSDIAL_PS 16:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;MAHHAAGUCZHXLX-OKAHKNJDNA-N;C42H72NO13P","828.46685","255.2323","741.4348","828.4669","331.1915","349.2021","1"
"MSDIAL_PS 16:0_20:5;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;GTXPGFJPTJKFTH-OKAHKNJDNA-N;C42H72NO14P","844.46177","255.2323","757.4297","844.4618","347.1864","329.1758","365.197"
"MSDIAL_PS 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;BFJKJAVLPGIHLX-PLHFMEFONA-N;C44H74NO11P","822.49267","255.2323","735.4606","822.4927","343.2279","1","1"
"MSDIAL_PS 16:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;KETWKZBTSSPSMP-PLHFMEFONA-N;C44H76NO12P","840.50324","255.2323","343.2279","753.4712","840.5032","325.2173","361.2384"
"MSDIAL_PS 16:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;YPVLYNMGAFVIGY-KTBBSIJDNA-N;C44H74NO11P","822.49267","255.2323","735.4606","822.4927","325.2173","343.2279","1"
"MSDIAL_PS 16:0_22:6;2O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;VWTVLVOFIXIWAU-YVUSFSRCNA-N;C44H74NO12P","838.48759","255.2323","341.2122","751.4556","838.4876","323.2017","359.2228"
"MSDIAL_PS 16:0_22:6;3O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;FEAQGCHUBWFFLB-ARSYHIGANA-N;C44H74NO13P","854.48250","255.2323","767.4505","854.4825","339.1966","357.2072","375.2177"
"MSDIAL_PS 16:0_22:6;4O;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;BIAIUYQHUJWHFK-BREAOWQZNA-N;C44H74NO14P","870.47742","255.2323","783.4454","870.4774","355.1915","373.2021","391.2126"
"MSDIAL_PS 18:0_18:0;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCCCC(O)CCCCCC;KQNGOFZHEALMFW-UHFFFAOYNA-N;C42H82NO11P","806.55527","283.2635","719.5233","806.5553","281.2486","299.2592","1"
"MSDIAL_PS 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCCC1OC1CCCCCC;LZMDMHUZGCOAFW-UHFFFAOYNA-N;C42H80NO11P","804.53962","283.2635","717.5076","804.5396","297.2435","1","1"
"MSDIAL_PS 18:0_18:0;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;FDQHZFNYZNXBJO-UHFFFAOYNA-N;C42H82NO12P","822.55019","283.2635","297.2435","735.5182","822.5502","279.233","315.2541"
"MSDIAL_PS 18:0_18:1;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;WPRHSBFNHHXJBU-XTCLZLMSNA-N;C42H80NO11P","804.53962","283.2635","717.5076","804.5396","279.233","297.2435","1"
"MSDIAL_PS 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;UDRMPCWLAXHZDE-ROMGYVFFNA-N;C42H78NO11P","802.52397","283.2635","715.4919","802.524","295.2279","1","1"
"MSDIAL_PS 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;VCYIPIWWSMVVKJ-ROMGYVFFNA-N;C42H80NO12P","820.53454","283.2635","295.2279","733.5025","820.5345","277.2173","313.2384"
"MSDIAL_PS 18:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;YWBKKNNRFDROIC-NVQSTNCTNA-N;C42H80NO13P","836.52945","283.2635","749.4974","836.5295","293.2122","311.2228","329.2333"
"MSDIAL_PS 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;UCOVMGBBISDRGO-TVRAAEJBNA-N;C42H78NO11P","802.52397","283.2635","715.4919","802.524","277.2173","295.2279","1"
"MSDIAL_PS 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;UMYMOMCNVSAIGZ-TVRAAEJBNA-N;C42H78NO12P","818.51889","283.2635","293.2122","731.4869","818.5189","275.2017","311.2228"
"MSDIAL_PS 18:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;LBLVNBXQBOPBHK-WEZTZMKQNA-N;C42H76NO11P","800.50832","283.2635","713.4763","800.5083","275.2017","293.2122","1"
"MSDIAL_PS 18:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;ASLREEXMCZOSTP-HBXSHRTENA-N;C44H80NO11P","828.53962","283.2635","741.5076","828.5396","303.233","321.2435","1"
"MSDIAL_PS 18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;PDTGPKOJLVEZOS-HXRHVUHXNA-N;C44H78NO11P","826.52397","283.2635","739.4919","826.524","319.2279","1","1"
"MSDIAL_PS 18:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;GEMNTWZYJJHEIJ-HXRHVUHXNA-N;C44H80NO12P","844.53454","283.2635","319.2279","757.5025","844.5345","301.2173","337.2384"
"MSDIAL_PS 18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;BECWCODGEWOBCI-QDGJUDQHNA-N;C44H78NO12P","842.51889","283.2635","755.4869","842.5189","317.2122","335.2228","1"
"MSDIAL_PS 18:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;FBJHLVFYYYHIEK-SZXPTWDZNA-N;C44H80NO13P","860.52945","283.2635","773.4974","860.5295","317.2122","335.2228","353.2333"
"MSDIAL_PS 18:0_20:3;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;BAVKJNLFYDKYRL-SZXPTWDZNA-N;C44H80NO14P","876.52437","283.2635","789.4923","876.5244","333.2072","351.2177","369.2283"
"MSDIAL_PS 18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;JRYQYILQTQJHIY-SYDBWRLPNA-N;C44H78NO11P","826.52397","283.2635","739.4919","826.524","301.2173","319.2279","1"
"MSDIAL_PS 18:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;DJVUZALSVCCMFR-TZTOWVBZNA-N;C44H76NO11P","824.50832","283.2635","737.4763","824.5083","317.2122","1","1"
"MSDIAL_PS 18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;HSPZLAZVBGXHAA-BEPAKANMNA-N;C44H78NO12P","842.51889","283.2635","317.2122","755.4869","842.5189","299.2017","335.2228"
"MSDIAL_PS 18:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;XAYXUZWYGYBBJH-RMRKXKOXNA-N;C44H78NO13P","858.51380","283.2635","771.4818","858.5138","315.1966","333.2072","351.2177"
"MSDIAL_PS 18:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;ONWSXWASSCQXJA-SZXPTWDZNA-N;C44H78NO13P","858.51380","283.2635","771.4818","858.5138","333.2072","351.2177","1"
"MSDIAL_PS 18:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;BEODPFZZVRWGAM-UJNQZSPMNA-N;C44H78NO14P","874.50872","283.2635","787.4767","874.5087","331.1915","349.2021","367.2126"
"MSDIAL_PS 18:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;IIGKZURBRWBRAM-SZXPTWDZNA-N;C44H78NO14P","874.50872","283.2635","787.4767","874.5087","349.2021","331.1915","367.2126"
"MSDIAL_PS 18:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;RTKCZNMSNCTVEN-OWUFSUKINA-N;C44H76NO11P","824.50832","283.2635","737.4763","824.5083","299.2017","317.2122","1"
"MSDIAL_PS 18:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;MPCUPTPDVNIBAS-GTJZUOQONA-N;C44H74NO11P","822.49267","283.2635","735.4606","822.4927","315.1966","1","1"
"MSDIAL_PS 18:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;TVTYJIOGIAMDMO-YDAWSWDDNA-N;C44H76NO12P","840.50324","283.2635","315.1966","753.4712","840.5032","297.186","333.2071"
