"MSDIAL_PEtOH","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_PEtOH 12:0_12:0;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCCCC;BOKLKNFCNHUATL-UHFFFAOYNA-N;C29H57O8P","563.37182","199.1703","563.3718","381.2049","125.0009","181.0271","1","1"
"MSDIAL_PEtOH 12:0_13:0;[M-H]-;CCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;LOHJPNZRTAVGJJ-UHFFFAOYNA-N;C30H59O8P","577.38752","199.1703","213.1859","381.2049","395.2206","577.3875","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_13:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/CCC;NWANJGSBNDAYNX-LUAWRHEFNA-N;C30H57O8P","575.37182","199.1703","211.1703","381.2049","393.2049","575.3718","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_14:0;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;OFHJTRXIMROMLD-UHFFFAOYNA-N;C31H61O8P","591.40312","199.1703","227.2015","381.2049","409.2361","591.4031","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_14:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/CCCC;BINJSNVQMGOPEN-QBFSEMIENA-N;C31H59O8P","589.38752","199.1703","225.1859","381.2049","407.2206","589.3875","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_15:0;[M-H]-;CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;CDVSSNGBNLFOMG-UHFFFAOYNA-N;C32H63O8P","605.41882","199.1703","241.2172","381.2049","423.2519","605.4188","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_15:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/CCCCC;WVQJQNFESMBLCC-SQFISAMPNA-N;C32H61O8P","603.40312","199.1703","239.2015","381.2049","421.2361","603.4031","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;RGVLXUZIGQMKJH-UHFFFAOYNA-N;C33H65O8P","619.43442","199.1703","255.2328","381.2049","437.2675","619.4344","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_16:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/CCCCCC;ISIADNCFHHICMV-NXVVXOECNA-N;C33H63O8P","617.41882","199.1703","253.2172","381.2049","435.2519","617.4188","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_16:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/C\C=C/CCC;HDEXMGUTDKTCCP-XGXQHEPRNA-N;C33H61O8P","615.40312","199.1703","251.2015","381.2049","433.2361","615.4031","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_16:3;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;LEKQYPGPUPVGHN-OKLKAABXNA-N;C33H59O8P","613.38752","199.1703","249.1859","381.2049","431.2206","613.3875","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_16:4;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;JGMMUUOOVGZMPM-FAQLSRNPNA-N;C33H57O8P","611.37182","199.1703","247.1703","381.2049","429.2049","611.3718","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;CCPBMUFKOKDTJS-UHFFFAOYNA-N;C34H67O8P","633.45002","199.1703","269.2484","381.2049","451.2831","633.45","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_17:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/CCCCCCC;ZFULUYOXPAPYFA-MSUUIHNZNA-N;C34H65O8P","631.43442","199.1703","267.2328","381.2049","449.2675","631.4344","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_17:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCC;NNQVAIGZMNEEQD-BIXSNLIQNA-N;C34H63O8P","629.41882","199.1703","265.2172","381.2049","447.2519","629.4188","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;GBASDTQVOASJLL-UHFFFAOYNA-N;C35H69O8P","647.46572","199.1703","283.2641","381.2049","465.2988","647.4657","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_18:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/CCCCCCCC;QBJIHALDTSGYIH-ZCXUNETKNA-N;C35H67O8P","645.45002","199.1703","281.2484","381.2049","463.2831","645.45","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_18:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC;JGAZDYYYLQOBBM-SAYPXFITNA-N;C35H65O8P","643.43442","199.1703","279.2328","381.2049","461.2675","643.4344","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_18:3;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC;GWGKWLUMYMPYGW-OKLKAABXNA-N;C35H63O8P","641.41882","199.1703","277.2172","381.2049","459.2519","641.4188","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_18:4;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC;LEBCJSUCOUZVPM-SYVROFSNNA-N;C35H61O8P","639.40312","199.1703","275.2015","381.2049","457.2361","639.4031","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_18:5;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;QVEGXPQFVDCKAV-LZRRCSJSNA-N;C35H59O8P","637.38752","199.1703","273.1859","381.2049","455.2206","637.3875","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;LPLKYLXUOVLZOZ-UHFFFAOYNA-N;C36H71O8P","661.48132","199.1703","297.2797","381.2049","479.3144","661.4813","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_19:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/CCCCCCCCC;OVUBEWGSOSEGSQ-HNENSFHCNA-N;C36H69O8P","659.46572","199.1703","295.2641","381.2049","477.2988","659.4657","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_19:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCCC;PNWPLUFFWVVFOA-GJLVVWLQNA-N;C36H67O8P","657.45002","199.1703","293.2484","381.2049","475.2831","657.45","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;YEIUVMGGUATQFZ-UHFFFAOYNA-N;C37H73O8P","675.49702","199.1703","311.2954","381.2049","493.33","675.497","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_20:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCC;MLWXXIRMPJVSIC-ZCXUNETKNA-N;C37H71O8P","673.48132","199.1703","309.2797","381.2049","491.3144","673.4813","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_20:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC;LPWBWCABBVVPTC-SAYPXFITNA-N;C37H69O8P","671.46572","199.1703","307.2641","381.2049","489.2988","671.4657","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_20:3;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC;WBWUMOGLAMEKGW-OKLKAABXNA-N;C37H67O8P","669.45002","199.1703","305.2484","381.2049","487.2831","669.45","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_20:4;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC;QSJYWZMETKKXDF-PWJSNALLNA-N;C37H65O8P","667.43442","199.1703","303.2328","381.2049","485.2675","667.4344","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_20:5;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC;RILZONFPBRYLNH-MRWHNHABNA-N;C37H63O8P","665.41882","199.1703","301.2172","381.2049","483.2519","665.4188","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_21:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;HYIXDBZKFLSZQV-UHFFFAOYNA-N;C38H75O8P","689.51272","199.1703","325.311","381.205","507.3458","689.5127","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_21:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCC\C=C/CCCCCCCCC;NILQECZZGCJKGD-HNENSFHCNA-N;C38H73O8P","687.49702","199.1703","323.2954","381.2049","505.33","687.497","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_21:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCC;OZPCEZQGVBEFTA-GJLVVWLQNA-N;C38H71O8P","685.48132","199.1703","321.2797","381.2049","503.3144","685.4813","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_22:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COP(O)(=O)OCC;ZJFRRTZWUCNBJU-UHFFFAOYNA-N;C39H77O8P","703.52832","199.1703","339.3267","381.205","521.3614","703.5283","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_22:1;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC;AQTIBFZCYFRLDZ-ZCXUNETKNA-N;C39H75O8P","701.51272","199.1703","337.311","381.205","519.3458","701.5127","125.0009","181.0271"
"MSDIAL_PEtOH 12:0_22:2;[M-H]-;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC;CGRHJIMYQMMXJY-SAYPXFITNA-N;C39H73O8P","699.49702","199.1703","335.2954","381.2049","517.3301","699.497","125.0009","181.0271"
