"MSDIAL_PI_Cer","[M+H]+","1","2"
"MSDIAL_PI-Cer 24:0;3O;[M+H]+;CCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;IUWBPGSKDZJCDK-UHFFFAOYNA-N;C30H60NO12P","658.39259","398.3629","658.3926"
"MSDIAL_PI-Cer 24:1;3O;[M+H]+;CCCCCCCC\C=C/CCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BRZOHTBGVNZLAI-SEYXRHQNNA-N;C30H58NO12P","656.37694","396.3472","656.377"
"MSDIAL_PI-Cer 24:2;3O;[M+H]+;CCCCCCCC\C=C/C\C=C/C(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;MFRBYAFZTSDUFX-NQJJCMTONA-N;C30H56NO12P","654.36129","394.3316","654.3613"
"MSDIAL_PI-Cer 25:0;3O;[M+H]+;CCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;REDZGBOBKAKRNU-UHFFFAOYNA-N;C31H62NO12P","672.40824","412.3785","672.4083"
"MSDIAL_PI-Cer 26:0;3O;[M+H]+;CCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;MRNSXAIWNSSKGE-UHFFFAOYNA-N;C32H64NO12P","686.42389","426.3942","686.4239"
"MSDIAL_PI-Cer 26:1;3O;[M+H]+;CCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;BUQFHJXXFPKOMR-KHPPLWFENA-N;C32H62NO12P","684.40824","424.3785","684.4083"
"MSDIAL_PI-Cer 26:2;3O;[M+H]+;CCCCC\C=C/C=C\CCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;UWSREGGXFRPVLE-BASFJDSNNA-N;C32H60NO12P","682.39259","422.3629","682.3926"
"MSDIAL_PI-Cer 27:0;3O;[M+H]+;CCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;XSGSSUGJAGJLJY-UHFFFAOYNA-N;C33H66NO12P","700.43954","440.4098","700.4395"
"MSDIAL_PI-Cer 27:1;3O;[M+H]+;CCCCCCCCC\C=C/CCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;UDPNZUDJGCEUAN-YPKPFQOONA-N;C33H64NO12P","698.42389","438.3942","698.4239"
"MSDIAL_PI-Cer 28:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;ITWQVTVOKKXFIK-UHFFFAOYNA-N;C34H68NO12P","714.45519","454.4255","714.4552"
"MSDIAL_PI-Cer 28:1;3O;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;HGKFXMFEWRZCKA-SEYXRHQNNA-N;C34H66NO12P","712.43954","452.4098","712.4395"
"MSDIAL_PI-Cer 28:2;3O;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;PPURPSDNOTZSSQ-UTJQPWESNA-N;C34H64NO12P","710.42389","450.3942","710.4239"
"MSDIAL_PI-Cer 29:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;WPPABMWQFROXIZ-UHFFFAOYNA-N;C35H70NO12P","728.47084","468.4411","728.4708"
"MSDIAL_PI-Cer 29:1;3O;[M+H]+;CCCCCCCCCCC\C=C/CCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;RZUJAXRGCZDBPP-NXVVXOECNA-N;C35H68NO12P","726.45519","466.4255","726.4552"
"MSDIAL_PI-Cer 30:0;3O;[M+H]+;CCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;DKPSOHVQVYKWMH-UHFFFAOYNA-N;C36H72NO12P","742.48649","482.4568","742.4865"
"MSDIAL_PI-Cer 30:1;3O;[M+H]+;CCCCCCCCCC\C=C/CCCCCCCC(O)CC(=O)NC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCC;SELVVDRKFGIBDB-PFONDFGANA-N;C36H70NO12P","740.47084","480.4411","740.4708"
