"MSDIAL_PI","[M-H]-","1","2","3","4","5","6","7","8","9"
"MSDIAL_PI 2:0_2:0;[M-H]-;CC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(C)=O;WCCWBLFRGXINLH-UHFFFAOYNA-N;C13H23O13P","417.08035","417.0804","59.0133","241.0119","297.0381","357.0587","375.0692","1","1","1"
"MSDIAL_PI 2:0_3:0;[M-H]-;CCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;ADXAPIGGJVYFJU-UHFFFAOYNA-N;C14H25O13P","431.09600","431.096","59.0133","73.02894","241.0119","297.0381","357.0587","371.0743","375.0693","389.0849"
"MSDIAL_PI 2:0_4:0;[M-H]-;CCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;OPSRCMHNHVAWDJ-UHFFFAOYNA-N;C15H27O13P","445.11165","445.1117","59.0133","87.04458","241.0119","297.0381","357.0587","375.0693","385.09","403.1006"
"MSDIAL_PI 2:0_5:0;[M-H]-;CCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;YGPXCKTYHJSGDL-UHFFFAOYNA-N;C16H29O13P","459.12730","459.1273","59.0133","101.0602","241.0119","297.0381","357.0587","375.0693","399.1057","417.1162"
"MSDIAL_PI 2:0_6:0;[M-H]-;CCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;ORTFKXLZZMPUSI-UHFFFAOYNA-N;C17H31O13P","473.14295","473.1429","59.0133","115.0759","241.0119","297.0381","357.0587","375.0693","413.1213","431.1318"
"MSDIAL_PI 2:0_7:0;[M-H]-;CCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;GHLIBAANVKEHRY-UHFFFAOYNA-N;C18H33O13P","487.15860","487.1586","59.0133","129.0915","241.0119","297.0381","357.0587","375.0693","427.1369","445.1475"
"MSDIAL_PI 2:0_8:0;[M-H]-;CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;XHICZQQQPAQATK-UHFFFAOYNA-N;C19H35O13P","501.17425","501.1743","59.0133","143.1071","241.0119","297.0381","357.0587","375.0693","441.1526","459.1631"
"MSDIAL_PI 2:0_9:0;[M-H]-;CCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FGPBCTLEMSBIQQ-UHFFFAOYNA-N;C20H37O13P","515.18990","515.1899","59.0133","157.1228","241.0119","297.0381","357.0587","375.0693","455.1682","473.1788"
"MSDIAL_PI 2:0_10:0;[M-H]-;CCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;WMGDGZNBLVACDJ-UHFFFAOYNA-N;C21H39O13P","529.20555","529.2056","59.0133","171.1384","241.0119","297.0381","357.0588","375.0693","469.1839","487.1945"
"MSDIAL_PI 2:0_11:0;[M-H]-;CCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;BGVSEDNIVPLYLR-UHFFFAOYNA-N;C22H41O13P","543.22120","543.2212","59.0133","185.1541","241.0119","297.0381","357.0588","375.0693","483.1996","501.2101"
"MSDIAL_PI 2:0_12:0;[M-H]-;CCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;PKNHRLMEOCDWOO-UHFFFAOYNA-N;C23H43O13P","557.23685","557.2369","59.0133","199.1697","241.0119","297.0381","357.0588","375.0693","497.2152","515.2258"
"MSDIAL_PI 2:0_13:0;[M-H]-;CCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;CXKARNICNPAJTF-UHFFFAOYNA-N;C24H45O13P","571.25250","571.2525","59.0133","213.1853","241.0119","297.0381","357.0588","375.0694","511.2308","529.2414"
"MSDIAL_PI 2:0_13:1;[M-H]-;CCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;BMNZCPHOZNZQKT-WAYWQWQTNA-N;C24H43O13P","569.23685","569.2369","59.0133","211.1697","241.0119","297.0381","357.0588","375.0693","509.2152","527.2258"
"MSDIAL_PI 2:0_14:0;[M-H]-;CCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;CGWWRLUYFWMGKX-UHFFFAOYNA-N;C25H47O13P","585.26815","585.2681","59.0133","227.201","241.0119","297.0381","357.0588","375.0694","525.2465","543.2571"
"MSDIAL_PI 2:0_14:1;[M-H]-;CCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FMNQZTPRYXGJIO-SREVYHEPNA-N;C25H45O13P","583.25250","583.2525","59.0133","225.1853","241.0119","297.0381","357.0588","375.0694","523.2308","541.2414"
"MSDIAL_PI 2:0_15:0;[M-H]-;CCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;MEXJOSBHHXJXPY-UHFFFAOYNA-N;C26H49O13P","599.28380","599.2838","59.0133","241.0119","241.2166","297.0381","357.0588","375.0694","539.2621","557.2727"
"MSDIAL_PI 2:0_15:1;[M-H]-;CCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;MABXDOHFWSZQPC-FPLPWBNLNA-N;C26H47O13P","597.26815","597.2681","59.0133","239.201","241.0119","297.0381","357.0588","375.0694","537.2465","555.2571"
"MSDIAL_PI 2:0_16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;WHVLWEKRXXHHLO-UHFFFAOYNA-N;C27H51O13P","613.29945","613.2994","59.0133","241.0119","255.2323","297.0381","357.0588","375.0694","553.2778","571.2883"
"MSDIAL_PI 2:0_16:1;[M-H]-;CCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FJZDKIOHXTYFMV-HJWRWDBZNA-N;C27H49O13P","611.28380","611.2838","59.0133","241.0119","253.2166","297.0381","357.0588","375.0694","551.2621","569.2727"
"MSDIAL_PI 2:0_16:2;[M-H]-;CCC\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;AJIIGTWKCIIOSV-AFJQJTPPNA-N;C27H47O13P","609.26815","609.2681","59.0133","241.0119","251.201","297.0381","357.0588","375.0694","549.2465","567.2571"
"MSDIAL_PI 2:0_16:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;GGZXHKFOMXQAQM-YSTUJMKBNA-N;C27H45O13P","607.25250","607.2525","59.0133","241.0119","249.1853","297.0381","357.0588","375.0694","547.2308","565.2414"
"MSDIAL_PI 2:0_16:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;ZCGGBJRVNDTGET-GJDCDIHCNA-N;C27H43O13P","605.23685","605.2369","59.0133","241.0119","247.1697","297.0381","357.0588","375.0693","545.2152","563.2258"
"MSDIAL_PI 2:0_17:0;[M-H]-;CCCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;ABIRKXCBKMVJLN-UHFFFAOYNA-N;C28H53O13P","627.31510","627.3151","59.0133","241.0119","269.2479","297.0381","357.0588","375.0694","567.2935","585.304"
"MSDIAL_PI 2:0_17:1;[M-H]-;CCCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;OVUOCWWISAPTQQ-KTKRTIGZNA-N;C28H51O13P","625.29945","625.2994","59.0133","241.0119","267.2323","297.0381","357.0588","375.0694","565.2778","583.2883"
"MSDIAL_PI 2:0_17:2;[M-H]-;CCCC\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;HESXQPONNIEUKN-HZJYTTRNNA-N;C28H49O13P","623.28380","623.2838","59.0133","241.0119","265.2166","297.0381","357.0588","375.0694","563.2621","581.2727"
"MSDIAL_PI 2:0_18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;VGNTUUFICLVWAC-UHFFFAOYNA-N;C29H55O13P","641.33075","641.3307","59.0133","241.0119","283.2635","297.0381","357.0588","375.0694","581.3091","599.3196"
"MSDIAL_PI 2:0_18:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;YTYJKHQTNXDQTJ-KHPPLWFENA-N;C29H53O13P","639.31510","639.3151","59.0133","241.0119","281.2479","297.0381","357.0588","375.0694","579.2935","597.304"
"MSDIAL_PI 2:0_18:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;KMNWJQXUUKCSAT-NQLNTKRDNA-N;C29H51O13P","637.29945","637.2994","59.0133","241.0119","279.2323","297.0381","357.0588","375.0694","577.2778","595.2883"
"MSDIAL_PI 2:0_18:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;YJSJZHYPZOAISZ-YSTUJMKBNA-N;C29H49O13P","635.28380","635.2838","59.0133","241.0119","277.2166","297.0381","357.0588","375.0694","575.2621","593.2727"
"MSDIAL_PI 2:0_18:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FZHNPGFHQYUAOL-GJDCDIHCNA-N;C29H47O13P","633.26815","633.2681","59.0133","241.0119","275.201","297.0381","357.0588","375.0694","573.2465","591.2571"
"MSDIAL_PI 2:0_18:5;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;WAPWXOZTWGFAGM-JEBPEJKENA-N;C29H45O13P","631.25250","631.2525","59.0133","241.0119","273.1853","297.0381","357.0588","375.0694","571.2308","589.2414"
"MSDIAL_PI 2:0_19:0;[M-H]-;CCCCCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;MIWFWKNDMYLHHL-UHFFFAOYNA-N;C30H57O13P","655.34640","655.3464","59.0133","241.0119","297.0381","297.2792","357.0589","375.0694","595.3248","613.3353"
"MSDIAL_PI 2:0_19:1;[M-H]-;CCCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;GVXXGEVVVPVABE-QXMHVHEDNA-N;C30H55O13P","653.33075","653.3307","59.0133","241.0119","295.2635","297.0381","357.0588","375.0694","593.3091","611.3196"
"MSDIAL_PI 2:0_19:2;[M-H]-;CCCCCC\C=C/C\C=C/CCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;NIRALUBWNGSKKJ-MURFETPANA-N;C30H53O13P","651.31510","651.3151","59.0133","241.0119","293.2479","297.0381","357.0588","375.0694","591.2935","609.304"
"MSDIAL_PI 2:0_20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;SOAWEMYYXXLOFU-UHFFFAOYNA-N;C31H59O13P","669.36205","669.3621","59.0133","241.0119","297.0381","311.2948","357.0589","375.0694","609.3404","627.351"
"MSDIAL_PI 2:0_20:1;[M-H]-;CCCCCCCC\C=C/CCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;HVKFAPDRPQCWNR-KHPPLWFENA-N;C31H57O13P","667.34640","667.3464","59.0133","241.0119","297.0381","309.2792","357.0589","375.0694","607.3248","625.3353"
"MSDIAL_PI 2:0_20:2;[M-H]-;CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;KLAYBVPCIBYBRN-NQLNTKRDNA-N;C31H55O13P","665.33075","665.3307","59.0133","241.0119","297.0381","307.2635","357.0588","375.0694","605.3091","623.3196"
"MSDIAL_PI 2:0_20:3;[M-H]-;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;FHCKREAHEGNMSI-YSTUJMKBNA-N;C31H53O13P","663.31510","663.3151","59.0133","241.0119","297.0381","305.2479","357.0588","375.0694","603.2935","621.304"
"MSDIAL_PI 2:0_20:4;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;KIRSXZWIFXQXMD-GJDCDIHCNA-N;C31H51O13P","661.29945","661.2994","59.0133","241.0119","297.0381","303.2323","357.0588","375.0694","601.2778","619.2883"
"MSDIAL_PI 2:0_20:5;[M-H]-;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC(COC(C)=O)COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O;SWIABPJYNAIDKR-JEBPEJKENA-N;C31H49O13P","659.28380","659.2838","59.0133","241.0119","297.0381","301.2166","357.0588","375.0694","599.2621","617.2727"
