OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O2]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[M+H-nH2O2-R1COOH]+,[M+H-nH2O2-R2COOH]+,[M+H-nH2O2-R3COOH]+
OxTG(14:0_14:0_20:4(OOH))+NH4,848.6974104,795.6497204,797.6653704,585.4513604,585.4513604,495.4407704,569.4564504,569.4564504,495.4407704
OxTG(14:0_14:0_18:2(OOH))+NH4,824.6974104,771.6497204,773.6653704,561.4513604,561.4513604,495.4407704,545.4564504,545.4564504,495.4407704
OxTG(14:0_14:0_20:4(OOH))+NH4,848.6974104,795.6497204,797.6653704,585.4513604,585.4513604,495.4407704,569.4564504,569.4564504,495.4407704
OxTG(14:0_14:0_18:2(OOH))+NH4,824.6974104,771.6497204,773.6653704,561.4513604,561.4513604,495.4407704,545.4564504,545.4564504,495.4407704
OxTG(14:0_14:1_20:4(OOH))+NH4,846.6818104,793.6341204,795.6497704,583.4357604,585.4513604,493.4251704,567.4408504,569.4564504,493.4251704
OxTG(14:0_14:1_18:2(OOH))+NH4,822.6818104,769.6341204,771.6497704,559.4357604,561.4513604,493.4251704,543.4408504,545.4564504,493.4251704
OxTG(14:0_16:0_20:4(OOH))+NH4,876.7287104,823.6810204,825.6966704,613.4826604,585.4513604,523.4720704,597.4877504,569.4564504,523.4720704
OxTG(14:0_16:0_18:2(OOH))+NH4,852.7287104,799.6810204,801.6966704,589.4826604,561.4513604,523.4720704,573.4877504,545.4564504,523.4720704
OxTG(14:0_16:1_20:4(OOH))+NH4,874.7131104,821.6654204,823.6810704,611.4670604,585.4513604,521.4564704,595.4721504,569.4564504,521.4564704
OxTG(14:0_16:1_18:2(OOH))+NH4,850.7131104,797.6654204,799.6810704,587.4670604,561.4513604,521.4564704,571.4721504,545.4564504,521.4564704
OxTG(14:0_18:0_20:4(OOH))+NH4,904.7600104,851.7123204,853.7279704,641.5139604,585.4513604,551.5033704,625.5190504,569.4564504,551.5033704
OxTG(14:0_18:0_18:2(OOH))+NH4,880.7600104,827.7123204,829.7279704,617.5139604,561.4513604,551.5033704,601.5190504,545.4564504,551.5033704
OxTG(14:0_18:1_20:4(OOH))+NH4,902.7444104,849.6967204,851.7123704,639.4983604,585.4513604,549.4877704,623.5034504,569.4564504,549.4877704
OxTG(14:0_18:1_18:2(OOH))+NH4,878.7444104,825.6967204,827.7123704,615.4983604,561.4513604,549.4877704,599.5034504,545.4564504,549.4877704
OxTG(14:0_18:2_20:4(OOH))+NH4,900.7287104,847.6810204,849.6966704,637.4826604,585.4513604,547.4720704,621.4877504,569.4564504,547.4720704
OxTG(14:0_18:2_18:2(OOH))+NH4,876.7287104,823.6810204,825.6966704,613.4826604,561.4513604,547.4720704,597.4877504,545.4564504,547.4720704
OxTG(14:0_18:3_20:4(OOH))+NH4,898.7131104,845.6654204,847.6810704,635.4670604,585.4513604,545.4564704,619.4721504,569.4564504,545.4564704
OxTG(14:0_18:3_18:2(OOH))+NH4,874.7131104,821.6654204,823.6810704,611.4670604,561.4513604,545.4564704,595.4721504,545.4564504,545.4564704
OxTG(14:0_18:4_20:4(OOH))+NH4,896.6974104,843.6497204,845.6653704,633.4513604,585.4513604,543.4407704,617.4564504,569.4564504,543.4407704
OxTG(14:0_18:4_18:2(OOH))+NH4,872.6974104,819.6497204,821.6653704,609.4513604,561.4513604,543.4407704,593.4564504,545.4564504,543.4407704
OxTG(14:0_20:4_20:4(OOH))+NH4,924.7287104,871.6810204,873.6966704,661.4826604,585.4513604,571.4720704,645.4877504,569.4564504,571.4720704
OxTG(14:0_20:4_18:2(OOH))+NH4,900.7287104,847.6810204,849.6966704,637.4826604,561.4513604,571.4720704,621.4877504,545.4564504,571.4720704
OxTG(14:0_20:5_20:4(OOH))+NH4,922.7131104,869.6654204,871.6810704,659.4670604,585.4513604,569.4564704,643.4721504,569.4564504,569.4564704
OxTG(14:0_20:5_18:2(OOH))+NH4,898.7131104,845.6654204,847.6810704,635.4670604,561.4513604,569.4564704,619.4721504,545.4564504,569.4564704
OxTG(14:0_22:5_20:4(OOH))+NH4,950.7444104,897.6967204,899.7123704,687.4983604,585.4513604,597.4877704,671.5034504,569.4564504,597.4877704
OxTG(14:0_22:5_18:2(OOH))+NH4,926.7444104,873.6967204,875.7123704,663.4983604,561.4513604,597.4877704,647.5034504,545.4564504,597.4877704
OxTG(14:0_22:6_20:4(OOH))+NH4,948.7287104,895.6810204,897.6966704,685.4826604,585.4513604,595.4720704,669.4877504,569.4564504,595.4720704
OxTG(14:0_22:6_18:2(OOH))+NH4,924.7287104,871.6810204,873.6966704,661.4826604,561.4513604,595.4720704,645.4877504,545.4564504,595.4720704
OxTG(14:1_14:1_20:4(OOH))+NH4,844.6662104,791.6185204,793.6341704,583.4357604,583.4357604,491.4095704,567.4408504,567.4408504,491.4095704
OxTG(14:1_14:1_18:2(OOH))+NH4,820.6662104,767.6185204,769.6341704,559.4357604,559.4357604,491.4095704,543.4408504,543.4408504,491.4095704
OxTG(14:1_16:0_20:4(OOH))+NH4,874.7131104,821.6654204,823.6810704,613.4826604,583.4357604,521.4564704,597.4877504,567.4408504,521.4564704
OxTG(14:1_16:0_18:2(OOH))+NH4,850.7131104,797.6654204,799.6810704,589.4826604,559.4357604,521.4564704,573.4877504,543.4408504,521.4564704
OxTG(14:1_16:1_20:4(OOH))+NH4,872.6975104,819.6498204,821.6654704,611.4670604,583.4357604,519.4408704,595.4721504,567.4408504,519.4408704
