DLCL-PGlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R1+R2)+56+18
DLCL-PGlike(8:0_8:0)-H,651.255216,152.995833,171.006398,143.107753,143.107753,423.215327,279.100298,279.100298,297.110863,297.110863,479.241541,559.207872,497.252106
DLCL-PGlike(8:0_10:0)-H,679.286517,152.995833,171.006398,143.107753,171.139054,451.246628,307.131599,279.100298,325.142164,297.110863,507.272842,587.239173,525.283407
DLCL-PGlike(8:0_12:0)-H,707.317817,152.995833,171.006398,143.107753,199.170354,479.277928,335.162899,279.100298,353.173464,297.110863,535.304142,615.270473,553.314707
DLCL-PGlike(8:0_13:0)-H,721.333467,152.995833,171.006398,143.107753,213.186004,493.293578,349.178549,279.100298,367.189114,297.110863,549.319792,629.286123,567.330357
DLCL-PGlike(8:0_14:0)-H,735.349117,152.995833,171.006398,143.107753,227.201654,507.309228,363.194199,279.100298,381.204764,297.110863,563.335442,643.301773,581.346007
DLCL-PGlike(8:0_14:1)-H,733.333467,152.995833,171.006398,143.107753,225.186004,505.293578,361.178549,279.100298,379.189114,297.110863,561.319792,641.286123,579.330357
DLCL-PGlike(8:0_15:0)-H,749.364767,152.995833,171.006398,143.107753,241.217304,521.324878,377.209849,279.100298,395.220414,297.110863,577.351092,657.317423,595.361657
DLCL-PGlike(8:0_15:1)-H,747.349117,152.995833,171.006398,143.107753,239.201654,519.309228,375.194199,279.100298,393.204764,297.110863,575.335442,655.301773,593.346007
DLCL-PGlike(8:0_16:0)-H,763.380417,152.995833,171.006398,143.107753,255.232954,535.340528,391.225499,279.100298,409.236064,297.110863,591.366742,671.333073,609.377307
DLCL-PGlike(8:0_16:1)-H,761.364767,152.995833,171.006398,143.107753,253.217304,533.324878,389.209849,279.100298,407.220414,297.110863,589.351092,669.317423,607.361657
DLCL-PGlike(8:0_16:2)-H,759.349117,152.995833,171.006398,143.107753,251.201654,531.309228,387.194199,279.100298,405.204764,297.110863,587.335442,667.301773,605.346007
