"MSDIAL_AHexCer","[M+HCOO]-","1","2","3","4","5","6","7","8"
"MSDIAL_AHexCer (O-14:0)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(CO)OC1OCC(NC(=O)C(O)CCCCCCCCCCCC)C(O)C=CCCCCCCCCCCC;PCOFAXGQACWHNI-UHFFFAOYNA-N;C50H95NO10","914.69380","868.6883","658.49","640.4794","496.4371","478.4266","227.2016","1","1"
"MSDIAL_AHexCer (O-14:1)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCC\C=C/CCCC)C(O)C=CCCCCCCCCCCC;IENVDQWXVTVQJL-YYGZNQMCNA-N;C50H93NO10","912.67815","866.6727","656.4743","658.49","496.4371","638.4637","640.4794","478.4266","225.186"
"MSDIAL_AHexCer (O-16:0)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(CO)OC1OCC(NC(=O)C(O)CCCCCCCCCCCC)C(O)C=CCCCCCCCCCCC;LXZVPUIFJDPGDY-UHFFFAOYNA-N;C52H99NO10","942.72510","896.7196","658.49","686.5212","496.4371","640.4794","668.5107","478.4266","255.233"
"MSDIAL_AHexCer (O-16:1)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCC\C=C/CCCCCCCC)C(O)C=CCCCCCCCCCCC;PTZQEILRIXYZMM-BZDZFZCENA-N;C52H97NO10","940.70945","894.704","658.49","684.5056","496.4371","640.4794","666.4951","478.4266","253.2173"
"MSDIAL_AHexCer (O-16:2)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CC\C=C\C\C=C/CCCCCCCC)C(O)C=CCCCCCCCCCCC;VKUWBMQIVMNMOA-PZPDXZFJNA-N;C52H95NO10","938.69380","892.6883","658.49","682.49","496.4371","640.4794","664.4794","478.4266","251.2016"
"MSDIAL_AHexCer (O-16:3)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCC\C=C/C=C/C=C/CC)C(O)C=CCCCCCCCCCCC;VZDNGQWTXILUTI-OZISQKRNNA-N;C52H93NO10","936.67815","890.6727","658.49","680.4743","496.4371","640.4794","662.4637","478.4266","249.186"
"MSDIAL_AHexCer (O-16:4)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCC\C=C/C=C\C=C\C=C\CC)C(O)C=CCCCCCCCCCCC;GPLMMSGCWOIHHZ-GPGMQUAWNA-N;C52H91NO10","934.66250","888.657","658.49","678.4587","496.4371","640.4794","660.4481","478.4266","247.1703"
"MSDIAL_AHexCer (O-16:5)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCC\C=C\C=C/C=C\C=C\C=C\CC)C(O)C=CCCCCCCCCCCC;HWQIJYCKMJICEE-QERDRRSFNA-N;C52H89NO10","932.64685","886.6414","658.49","676.443","496.4371","640.4794","658.4324","478.4266","245.1547"
"MSDIAL_AHexCer (O-17:0)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(CO)OC1OCC(NC(=O)C(O)CCCCCCCCCCCC)C(O)C=CCCCCCCCCCCC;LSGOTUOIHIYCLN-UHFFFAOYNA-N;C53H101NO10","956.74075","910.7353","658.49","700.5369","496.4371","640.4794","682.5264","478.4266","269.2486"
"MSDIAL_AHexCer (O-17:1)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCC\C=C/CCCCCCCCC)C(O)C=CCCCCCCCCCCC;KBUKGAWIPLTVKE-IEQFGXTONA-N;C53H99NO10","954.72510","908.7196","658.49","698.5212","496.4371","640.4794","680.5107","478.4266","267.2329"
"MSDIAL_AHexCer (O-17:2)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCCCC\C=C\C\C=C\CC)C(O)C=CCCCCCCCCCCC;BAENBMLQEGVSOW-OOHKXESENA-N;C53H97NO10","952.70945","906.704","658.49","696.5056","496.4371","640.4794","678.4951","478.4266","265.2173"
"MSDIAL_AHexCer (O-17:3)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCC\C=C\C\C=C\C\C=C\CC)C(O)C=CCCCCCCCCCCC;OCENSUQENXJWMV-SFKVARNUNA-N;C53H95NO10","950.69380","904.6883","658.49","694.49","496.4371","640.4794","676.4794","478.4266","263.2017"
"MSDIAL_AHexCer (O-18:0)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(CO)OC1OCC(NC(=O)C(O)CCCCCCCCCCCC)C(O)C=CCCCCCCCCCCC;DBSIKZLGSAGXTQ-UHFFFAOYNA-N;C54H103NO10","970.75640","924.7509","658.49","714.5526","496.4371","640.4794","696.542","478.4266","283.2643"
"MSDIAL_AHexCer (O-18:1)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCCCC\C=C/CCCCCC)C(O)C=CCCCCCCCCCCC;UMEFUQLVODLSQP-CUISQEMPNA-N;C54H101NO10","968.74075","922.7353","658.49","712.5369","496.4371","640.4794","694.5264","478.4266","281.2486"
"MSDIAL_AHexCer (O-18:2)16:1;2O/14:0;O;[M+HCOO]-;CCCCCCCCCCCCC(O)C(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCCC\C=C\C=C\CCCCC)C(O)C=CCCCCCCCCCCC;ZMSAVTOBZVFRBJ-KFKCWFMINA-N;C54H99NO10","966.72510","920.7196","658.49","710.5212","496.4371","640.4794","692.5107","478.4266","279.2329"
