"MSDIAL_Ac2PIM1","[M-H]-","1","2","3","4","5","6","7","8","9"
"MSDIAL_Ac2PIM1 14:0_14:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCC(=O)O%11;XTBDUJRCFSIXJA-UHFFFAOYSA-N;C43H81O18P","915.50823","227.201","363.1938","591.4026","915.5082","753.4554","687.2994","1","1","1"
"MSDIAL_Ac2PIM1 14:0_15:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCC(=O)O%11;AOTCYKKPTSTAKR-UHFFFAOYSA-N;C44H83O18P","929.52388","701.3151","605.4182","929.5239","227.201","241.2166","363.1938","377.2094","687.2994","767.4711"
"MSDIAL_Ac2PIM1 14:0_16:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCC(=O)O%11;NXQOGLZNTKKQFE-UHFFFAOYSA-N;C45H85O18P","943.53953","715.3307","619.4339","943.5396","227.201","255.2323","363.1938","391.2251","687.2994","781.4867"
"MSDIAL_Ac2PIM1 14:0_17:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCC(=O)O%11;XSZMSSKWMWOHKA-UHFFFAOYSA-N;C46H87O18P","957.55518","729.3464","633.4495","957.5552","227.201","269.2479","363.1938","405.2408","687.2994","795.5024"
"MSDIAL_Ac2PIM1 14:0_18:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCC(=O)O%11;AFCMBLBKHHDUHK-UHFFFAOYSA-N;C47H89O18P","971.57083","743.362","647.4652","971.5708","227.201","283.2635","363.1938","419.2564","687.2995","809.518"
"MSDIAL_Ac2PIM1 14:0_19:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCC(=O)O%11;NWGGLULBPKGRDI-UHFFFAOYSA-N;C48H91O18P","985.58648","757.3777","661.4808","985.5865","227.201","297.2792","363.1938","433.272","687.2995","823.5336"
"MSDIAL_Ac2PIM1 14:0_20:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCCC(=O)O%11;CZTMIOKTIWDKHW-UHFFFAOYSA-N;C49H93O18P","999.60213","771.3933","675.4965","999.6021","227.201","311.2948","363.1938","447.2877","687.2995","837.5493"
"MSDIAL_Ac2PIM1 14:0_16:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCC\C=C/CCCCCC(=O)O%11;DJVLZARINWHKHH-VLGSPTGOSA-N;C45H83O18P","941.52388","713.3151","617.4182","941.5239","227.201","253.2166","363.1938","389.2094","687.2994","779.4711"
"MSDIAL_Ac2PIM1 14:0_17:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCC\C=C/CCCCCC(=O)O%11;UICBBJKOSYBMPT-ZPHPHTNESA-N;C46H85O18P","955.53953","727.3307","631.4339","955.5396","227.201","267.2323","363.1938","403.2251","687.2994","793.4867"
"MSDIAL_Ac2PIM1 14:0_18:1;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCC\C=C/CCCCCCCCCC(=O)O%11;WFQZOVBRUUFUTH-SQFISAMPSA-N;C47H87O18P","969.55518","741.3464","645.4495","969.5552","227.201","281.2479","363.1938","417.2408","687.2994","807.5024"
"MSDIAL_Ac2PIM1 14:0_18:2;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCC\C=C\C=C\C(=O)O%11;ODFRSWJLRSUXMI-WDTCPIHWSA-N;C47H85O18P","967.53953","739.3307","643.4339","967.5396","227.201","279.2323","363.1938","415.2251","687.2994","805.4867"
"MSDIAL_Ac2PIM1 14:0(methyl)_18:0(methyl);[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCC(=O)O%10.CCCCCCCCC(C)CCCCCCCCC(=O)O%11;YASPIDBADOMAKQ-UHFFFAOYSA-N;C48H91O18P","985.58648","757.3777","661.4808","985.5865","227.201","297.2792","363.1938","433.272","687.2995","823.5336"
"MSDIAL_Ac2PIM1 15:0_14:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCC(=O)O%11;RIHHUOGBLMMZLJ-UHFFFAOYSA-N;C44H83O18P","929.52388","687.2994","605.4182","929.5239","227.201","241.2166","363.1938","377.2094","701.3151","767.4711"
"MSDIAL_Ac2PIM1 15:0_15:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCC(=O)O%11;LNPDAZWERWDXKN-UHFFFAOYSA-N;C45H85O18P","943.53953","241.2166","377.2094","619.4339","943.5396","781.4867","701.3151","1","1","1"
"MSDIAL_Ac2PIM1 15:0_16:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCC(=O)O%11;ZWDAUXLWVZOJJS-UHFFFAOYSA-N;C46H87O18P","957.55518","715.3307","633.4495","957.5552","241.2166","255.2323","377.2095","391.2251","701.3151","795.5024"
"MSDIAL_Ac2PIM1 15:0_17:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCC(=O)O%11;QOAYUUVYUHMVMN-UHFFFAOYSA-N;C47H89O18P","971.57083","729.3464","647.4652","971.5708","241.2166","269.2479","377.2095","405.2408","701.3151","809.518"
"MSDIAL_Ac2PIM1 15:0_18:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCC(=O)O%11;PBCRWWMUGNVNDS-UHFFFAOYSA-N;C48H91O18P","985.58648","743.3621","661.4808","985.5865","241.2166","283.2635","377.2095","419.2564","701.3151","823.5336"
"MSDIAL_Ac2PIM1 15:0_19:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCC(=O)O%11;UEERUFCMWBFNAE-UHFFFAOYSA-N;C49H93O18P","999.60213","757.3777","675.4965","999.6021","241.2166","297.2792","377.2095","433.2721","701.3151","837.5493"
"MSDIAL_Ac2PIM1 15:0_20:0;[M-H]-;OCC1OC(OC2C(O)C(O)C(O)C(O)C2OP(O)(=O)OCC%10C%11)C(O)C(O)C1O.CCCCCCCCCCCCCCC(=O)O%10.CCCCCCCCCCCCCCCCCCCC(=O)O%11;GFBJGJZAZPREKC-UHFFFAOYSA-N;C50H95O18P","1013.61778","771.3933","689.5121","1013.618","241.2166","311.2948","377.2095","447.2877","701.3151","851.5649"
