"MSDIAL_CL","[M+NH4]+","1","2","3","4"
"MSDIAL_CL 28:0_36:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;FDOHZIYXHNYUPG-UHFFFAOYNA-N;C73H142O17P2","1371.00605","495.4408","607.566","1371.006","1353.979"
"MSDIAL_CL 28:0_36:1;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;XRWNGXQLWBQAHJ-FPODKLOTNA-N;C73H140O17P2","1368.99040","495.4408","605.5504","1368.99","1351.964"
"MSDIAL_CL 28:0_36:10;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;UKGXRPADDLIRMF-MIDNIMQXNA-N;C73H122O17P2","1350.84955","495.4408","587.4095","1350.85","1333.823"
"MSDIAL_CL 28:0_36:2;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;OMHTZMFLZANMFF-SVQAAOFENA-N;C73H138O17P2","1366.97475","495.4408","603.5347","1366.975","1349.948"
"MSDIAL_CL 28:0_36:3;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;JMRBEKZHEKQJFQ-KYHZGQNANA-N;C73H136O17P2","1364.95910","495.4408","601.519","1364.959","1347.932"
"MSDIAL_CL 28:0_36:4;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;GMUVVBRLXXVNMV-JHNOXLJINA-N;C73H134O17P2","1362.94345","495.4408","599.5034","1362.943","1345.917"
"MSDIAL_CL 28:0_36:5;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;WBDUSWFVLYICFR-CXCHKTSMNA-N;C73H132O17P2","1360.92780","495.4408","597.4877","1360.928","1343.901"
"MSDIAL_CL 28:0_36:6;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;ZFFIYQXFNHFAEY-GASZMJAPNA-N;C73H130O17P2","1358.91215","495.4408","595.4721","1358.912","1341.886"
"MSDIAL_CL 28:0_36:7;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCC;QXRZIDYWJTUFCZ-PCJOLWSZNA-N;C73H128O17P2","1356.89650","495.4408","593.4564","1356.896","1339.87"
"MSDIAL_CL 28:0_36:8;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;IALPHKHWOKUYTB-YXXJPZRJNA-N;C73H126O17P2","1354.88085","495.4408","591.4408","1354.881","1337.854"
"MSDIAL_CL 28:0_36:9;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;WFSJQIHUXDVSMK-UBTWYWNRNA-N;C73H124O17P2","1352.86520","495.4408","589.4251","1352.865","1335.839"
"MSDIAL_CL 28:0_38:10;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;FBKMPIIMHVGXMJ-PXHOAYSKNA-N;C75H126O17P2","1378.88085","495.4408","615.4408","1378.881","1361.854"
"MSDIAL_CL 28:0_38:3;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;WDMDVCXTWWLJRC-GCKBORGTNA-N;C75H140O17P2","1392.99040","495.4408","629.5504","1392.99","1375.964"
"MSDIAL_CL 28:0_38:4;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;OXTRMQXBDBTLOF-CYWOEBIPNA-N;C75H138O17P2","1390.97475","495.4408","627.5347","1390.975","1373.948"
"MSDIAL_CL 28:0_38:5;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;FFUVPLHDJNUHOQ-PLMXJAHCNA-N;C75H136O17P2","1388.95910","495.4408","625.519","1388.959","1371.932"
"MSDIAL_CL 28:0_38:6;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;ZJLCTHLEHUTSRS-YOHQZBCSNA-N;C75H134O17P2","1386.94345","495.4408","623.5034","1386.943","1369.917"
"MSDIAL_CL 28:0_38:7;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC;UPMFXMGCTJPGNO-FNIXYWLGNA-N;C75H132O17P2","1384.92780","495.4408","621.4877","1384.928","1367.901"
"MSDIAL_CL 28:0_38:8;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/C\C=C/CCC)OC(=O)CCCCCCCCCCCCC;CIQWUDZLSWDRNP-UFQPUQSNNA-N;C75H130O17P2","1382.91215","495.4408","619.4721","1382.912","1365.886"
"MSDIAL_CL 28:0_38:9;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;SSIFTJVTMYINRU-GWHSIBBHNA-N;C75H128O17P2","1380.89650","495.4408","617.4564","1380.896","1363.87"
"MSDIAL_CL 28:0_40:10;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;RCQJLAHDRUZSRU-ILOXOHKTNA-N;C77H130O17P2","1406.91215","495.4408","643.4721","1406.912","1389.886"
"MSDIAL_CL 28:0_40:11;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;TVEDMJKUMVUXIG-CONFARGWNA-N;C77H128O17P2","1404.89650","495.4408","641.4564","1404.896","1387.87"
"MSDIAL_CL 28:0_40:3;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;PXDABELGMHBZFM-TZLXCINENA-N;C77H144O17P2","1421.02170","495.4408","657.5817","1421.022","1403.995"
"MSDIAL_CL 28:0_40:4;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;ICIFNCAHSUMMDT-MYJMEMKYNA-N;C77H142O17P2","1419.00605","495.4408","655.566","1419.006","1401.979"
