"MSDIAL_CerP","[M+H]+","1","2","3","4","5","6"
"MSDIAL_CerP 14:0;2O/2:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;OJPOJCONMDXKSX-JKSUJKDBSA-N;C16H34NO6P","368.22019","368.2202","210.222","350.2096","252.2327","270.2433","288.2538"
"MSDIAL_CerP 14:0;2O/10:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P","480.34541","480.3454","210.222","462.3348","364.3579","382.3685","400.3791"
"MSDIAL_CerP 14:0;2O/12:0;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P","508.37669","508.3767","210.222","490.3661","392.3892","410.3998","428.4104"
"MSDIAL_CerP 14:0;2O/14:0;[M+H]+;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P","536.40797","536.408","210.222","518.3974","420.4205","438.4311","456.4417"
"MSDIAL_CerP 14:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P","564.43928","564.4393","210.222","546.4287","448.4518","466.4624","484.473"
"MSDIAL_CerP 14:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P","592.47059","592.4706","210.222","574.46","476.4831","494.4937","512.5043"
"MSDIAL_CerP 14:0;2O/18:1;[M+H]+;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P","590.45496","590.455","210.222","572.4444","474.4675","492.4781","510.4886"
"MSDIAL_CerP 14:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P","620.50190","620.5019","210.222","602.4913","504.5144","522.525","540.5356"
"MSDIAL_CerP 14:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;GTSHVCJYVAFURM-OIDHKYIRSA-N;C36H74NO6P","648.53321","648.5332","210.222","630.5226","532.5458","550.5563","568.5669"
"MSDIAL_CerP 14:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;GDVABESBUVFPAS-PQQNNWGCSA-N;C38H78NO6P","676.56452","676.5645","210.222","658.554","560.5771","578.5876","596.5982"
