"MSDIAL_CerP","[M-H]-","1","2","3","4","5"
"MSDIAL_CerP 14:0;2O/2:0;[M-H]-;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;OJPOJCONMDXKSX-JKSUJKDBSA-N;C16H34NO6P","366.20455","78.95851","96.96908","306.1834","324.194","348.194"
"MSDIAL_CerP 14:0;2O/10:0;[M-H]-;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;FIIUKKISTIQUQF-XZOQPEGZSA-N;C24H50NO6P","478.32977","78.95851","96.96908","306.1835","324.1941","460.3192"
"MSDIAL_CerP 14:0;2O/12:0;[M-H]-;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;LVZNXIMSCLKTQX-LOSJGSFVSA-N;C26H54NO6P","506.36105","78.95851","96.96908","306.1835","324.1941","488.3505"
"MSDIAL_CerP 14:0;2O/14:0;[M-H]-;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KKMUWYAZZYLMQT-RRPNLBNLSA-N;C28H58NO6P","534.39233","78.95851","96.96908","306.1835","324.1941","516.3818"
"MSDIAL_CerP 14:0;2O/16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;LYSHUFFDQXSDAD-URLMMPGGSA-N;C30H62NO6P","562.42364","78.95851","96.96908","306.1836","324.1941","544.4131"
"MSDIAL_CerP 14:0;2O/18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;OKWWFSIFBXBZTN-IOWSJCHKSA-N;C32H66NO6P","590.45495","78.95851","96.96908","306.1836","324.1942","572.4444"
"MSDIAL_CerP 14:0;2O/18:1;[M-H]-;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MKJOCAJUBFAWHJ-UIMPMEFGSA-N;C32H64NO6P","588.43932","78.95851","96.96908","306.1836","324.1942","570.4288"
"MSDIAL_CerP 14:0;2O/20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;KZLFXFLEVSYYCJ-JHOUSYSJSA-N;C34H70NO6P","618.48626","78.95851","96.96908","306.1836","324.1942","600.4757"
"MSDIAL_CerP 14:0;2O/22:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;GTSHVCJYVAFURM-OIDHKYIRSA-N;C36H74NO6P","646.51757","78.95851","96.96908","306.1837","324.1942","628.507"
"MSDIAL_CerP 14:0;2O/24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;GDVABESBUVFPAS-PQQNNWGCSA-N;C38H78NO6P","674.54888","78.95851","96.96908","306.1837","324.1942","656.5383"
"MSDIAL_CerP 14:0;2O/24:1;[M-H]-;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;YBZMCLFFKAQIEI-RFMAHCJWSA-N;C38H76NO6P","672.53320","78.95851","96.96908","306.1837","324.1942","654.5226"
"MSDIAL_CerP 14:0;2O/24:4;[M-H]-;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC;UUQYUBCBPRRJPI-MZAZXVQXSA-N;C38H70NO6P","666.48626","78.95851","96.96908","306.1836","324.1942","648.4757"
"MSDIAL_CerP 14:0;2O/26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCC;IEUHWRCXTKSIKE-ZESVVUHVSA-N;C40H82NO6P","702.58013","78.95851","96.96908","306.1837","324.1942","684.5696"
"MSDIAL_CerP 14:0;2O/26:1;[M-H]-;CCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;LTYZVPGCOHKOSW-RRVHLLIXSA-N;C40H80NO6P","700.56451","78.95851","96.96908","306.1837","324.1942","682.554"
"MSDIAL_CerP 14:1;2O/2:0;[M-H]-;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;OTKFJVMDHCZCPQ-HMUVLFPJSA-N;C16H32NO6P","364.18890","78.95851","96.96908","304.1678","322.1783","346.1783"
"MSDIAL_CerP 14:1;2O/10:0;[M-H]-;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;NGICRMCEAKMIQW-ABZSSTOSSA-N;C24H48NO6P","476.31411","78.95851","96.96908","304.1679","322.1784","458.3036"
"MSDIAL_CerP 14:1;2O/12:0;[M-H]-;CCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;NVMWTFOWRLFNDX-WRBRXSDHSA-N;C26H52NO6P","504.34539","78.95851","96.96908","304.1679","322.1784","486.3348"
"MSDIAL_CerP 14:1;2O/14:0;[M-H]-;CCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;FOYVTZHAZNMFOU-NBNLIBPQSA-N;C28H56NO6P","532.37670","78.95851","96.96908","304.1679","322.1785","514.3661"
"MSDIAL_CerP 14:1;2O/16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;VOIOEKRVOBQEAM-VARSQMIESA-N;C30H60NO6P","560.40801","78.95851","96.96908","304.1679","322.1785","542.3975"
"MSDIAL_CerP 14:1;2O/18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;UIMUQAANESGSES-JHRQRACZSA-N;C32H64NO6P","588.43932","78.95851","96.96908","304.168","322.1785","570.4288"
"MSDIAL_CerP 14:1;2O/18:1;[M-H]-;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;TVBCRFLVBZEPQZ-IHMINBDXSA-N;C32H62NO6P","586.42364","78.95851","96.96908","304.1679","322.1785","568.4131"
"MSDIAL_CerP 14:1;2O/20:0;[M-H]-;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;FCPDLCZLMUFQGL-TURZORIXSA-N;C34H68NO6P","616.47063","78.95851","96.96908","304.168","322.1786","598.4601"
"MSDIAL_CerP 14:1;2O/22:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;BGCZEGRYVMWUCS-NXCSZAMKSA-N;C36H72NO6P","644.50188","78.95851","96.96908","304.168","322.1785","626.4913"
"MSDIAL_CerP 14:1;2O/24:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;RGDFAMHWGOAXOB-NUKVNZTCSA-N;C38H76NO6P","672.53320","78.95851","96.96908","304.168","322.1786","654.5226"
"MSDIAL_CerP 14:1;2O/24:1;[M-H]-;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;GHBKYWUYIWIRDK-HJOGSYLWSA-N;C38H74NO6P","670.51757","78.95851","96.96908","304.168","322.1786","652.507"
"MSDIAL_CerP 14:1;2O/24:4;[M-H]-;CCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;DNEWAORWUJMUOB-LUZZLTFZSA-N;C38H68NO6P","664.47063","78.95851","96.96908","304.168","322.1786","646.4601"
"MSDIAL_CerP 14:1;2O/26:0;[M-H]-;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCC;QPORMHOOUOBGND-GLQCRSEXSA-N;C40H80NO6P","700.56451","78.95851","96.96908","304.168","322.1786","682.554"
"MSDIAL_CerP 14:1;2O/26:1;[M-H]-;CCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;GCNLJSYSVDGZLM-IDTKWKHMSA-N;C40H78NO6P","698.54888","78.95851","96.96908","304.168","322.1786","680.5383"
"MSDIAL_CerP 15:0;2O/2:0;[M-H]-;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;BITFRLKDLIIUNH-DLBZAZTESA-N;C17H36NO6P","380.22021","78.95851","96.96908","320.1991","338.2097","362.2097"
"MSDIAL_CerP 15:0;2O/10:0;[M-H]-;CCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;ITQQIFQHZUHJND-BJKOFHAPSA-N;C25H52NO6P","492.34539","78.95851","96.96908","320.1992","338.2097","474.3348"
