"MSDIAL_DGGA","[M+NH4]+","1","2","3","4"
"MSDIAL_DGGA 12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;ASLFWPGIOYQAST-UHFFFAOYNA-N;C33H60O11","650.44739","439.3782","257.2112","650.4474","1"
"MSDIAL_DGGA 12:0_13:0;[M+NH4]+;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11","664.46304","257.2112","271.2268","453.3938","664.463"
"MSDIAL_DGGA 12:0_13:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCC;RGDNTFBUZADTIW-CLFYSBASNA-N;C34H60O11","662.44739","257.2112","269.2112","451.3782","662.4474"
"MSDIAL_DGGA 12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11","678.47869","257.2112","285.2424","467.4095","678.4787"
"MSDIAL_DGGA 12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCCC;LRVOWJLRDQMQSY-LUAWRHEFNA-N;C35H62O11","676.46304","257.2112","283.2268","465.3938","676.463"
"MSDIAL_DGGA 12:0_15:0;[M+NH4]+;CCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;DTZNWCACYKFHJL-UHFFFAOYNA-N;C36H66O11","692.49434","257.2112","299.2581","481.4251","692.4943"
"MSDIAL_DGGA 12:0_15:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCCCC;CVTDTRQIUDNPEG-QBFSEMIENA-N;C36H64O11","690.47869","257.2112","297.2424","479.4095","690.4787"
"MSDIAL_DGGA 12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;MAWPCSYAAPXIFO-UHFFFAOYNA-N;C37H68O11","706.50999","257.2112","313.2737","495.4408","706.51"
"MSDIAL_DGGA 12:0_16:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCCCCC;CYXZOZVMYZNDGZ-YPKPFQOONA-N;C37H66O11","704.49434","257.2112","311.2581","493.4251","704.4943"
"MSDIAL_DGGA 12:0_16:2;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/C\C=C/CCC;RMRLQZJMTWTYHG-QIDSOVCENA-N;C37H64O11","702.47869","257.2112","309.2424","491.4095","702.4787"
"MSDIAL_DGGA 12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC;PTOLTXILLQVPFV-DBRBFSQJNA-N;C37H62O11","700.46304","257.2112","307.2268","489.3938","700.463"
"MSDIAL_DGGA 12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC;ZJSDEIYXANSDFE-GDNDVVBJNA-N;C37H60O11","698.44739","257.2112","305.2112","487.3782","698.4474"
"MSDIAL_DGGA 12:0_17:0;[M+NH4]+;CCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OFGSZNQMSUXECU-UHFFFAOYNA-N;C38H70O11","720.52564","257.2112","327.2894","509.4565","720.5256"
"MSDIAL_DGGA 12:0_17:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCCCCCC;YYCWAUNVLXAFEA-PFONDFGANA-N;C38H68O11","718.50999","257.2112","325.2737","507.4408","718.51"
"MSDIAL_DGGA 12:0_17:2;[M+NH4]+;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/C\C=C/CCCC;QUQQUNSVXCONLO-BXPCSNPTNA-N;C38H66O11","716.49434","257.2112","323.2581","505.4251","716.4943"
