"MSDIAL_DGGA","[M-H]-","1","2","3","4","5"
"MSDIAL_DGGA 12:0_12:0;[M-H]-;CCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;ASLFWPGIOYQAST-UHFFFAOYNA-N;C33H60O11","631.40629","631.4063","199.1704","449.2392","1","1"
"MSDIAL_DGGA 12:0_13:0;[M-H]-;CCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;OONHRPXDAJRYCC-UHFFFAOYNA-N;C34H62O11","645.42194","645.4219","199.1704","213.186","449.2392","463.2549"
"MSDIAL_DGGA 12:0_13:1;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCC;RGDNTFBUZADTIW-CLFYSBASNA-N;C34H60O11","643.40629","643.4063","199.1704","211.1704","449.2392","461.2392"
"MSDIAL_DGGA 12:0_14:0;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;XVNUQMZRFZMYKB-UHFFFAOYNA-N;C35H64O11","659.43759","659.4376","199.1704","227.2017","449.2392","477.2705"
"MSDIAL_DGGA 12:0_14:1;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCCC;LRVOWJLRDQMQSY-LUAWRHEFNA-N;C35H62O11","657.42194","657.4219","199.1704","225.186","449.2392","475.2549"
"MSDIAL_DGGA 12:0_15:0;[M-H]-;CCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;DTZNWCACYKFHJL-UHFFFAOYNA-N;C36H66O11","673.45324","673.4532","199.1704","241.2173","449.2392","491.2862"
"MSDIAL_DGGA 12:0_15:1;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCCCC;CVTDTRQIUDNPEG-QBFSEMIENA-N;C36H64O11","671.43759","671.4376","199.1704","239.2017","449.2392","489.2705"
"MSDIAL_DGGA 12:0_16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(COC1OC(C(O)C(O)C1O)C(O)=O)OC(=O)CCCCCCCCCCC;MAWPCSYAAPXIFO-UHFFFAOYNA-N;C37H68O11","687.46889","687.4689","199.1704","255.233","449.2392","505.3018"
"MSDIAL_DGGA 12:0_16:1;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/CCCCCC;CYXZOZVMYZNDGZ-YPKPFQOONA-N;C37H66O11","685.45324","685.4532","199.1704","253.2173","449.2392","503.2862"
"MSDIAL_DGGA 12:0_16:2;[M-H]-;CCCCCCCCCCCC(=O)OC(COC1OC(C(O)C(O)C1O)C(O)=O)COC(=O)CCCCCCC\C=C/C\C=C/CCC;RMRLQZJMTWTYHG-QIDSOVCENA-N;C37H64O11","683.43759","683.4376","199.1704","251.2017","449.2392","501.2705"
