"MSDIAL_EtherLPC","[M+H]+","1","2","3","4","5"
"MSDIAL_LPC O-2:0;[M+H]+;CCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;CJPBBYQNGXYPEB-UHFFFAOYNA-N;C10H24NO6P","286.14140","104.107","184.0739","286.1414","86.09697","125.0004"
"MSDIAL_LPC O-3:0;[M+H]+;CCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IVFFQHYEKDTEHH-UHFFFAOYNA-N;C11H26NO6P","300.15705","104.107","184.0739","300.157","86.09697","125.0004"
"MSDIAL_LPC O-4:0;[M+H]+;CCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;KHHYHUBAHZRKET-UHFFFAOYNA-N;C12H28NO6P","314.17270","104.107","184.0739","314.1727","86.09697","125.0004"
"MSDIAL_LPC O-5:0;[M+H]+;CCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;FBCWZRYNKHOPFU-UHFFFAOYNA-N;C13H30NO6P","328.18835","104.107","184.0739","328.1884","86.09697","125.0004"
"MSDIAL_LPC O-6:0;[M+H]+;CCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LLDGXUKSPUPSLV-UHFFFAOYNA-N;C14H32NO6P","342.20400","104.107","184.0739","342.204","86.09697","125.0004"
"MSDIAL_LPC O-7:0;[M+H]+;CCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;HQNZFLMLVOKUEE-UHFFFAOYNA-N;C15H34NO6P","356.21965","104.107","184.0739","356.2196","86.09697","125.0004"
"MSDIAL_LPC O-8:0;[M+H]+;CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;QLGPKQHZDZGXLA-UHFFFAOYNA-N;C16H36NO6P","370.23530","104.107","184.0739","370.2353","86.09697","125.0004"
"MSDIAL_LPC O-9:0;[M+H]+;CCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RKYLFHDDAKXESE-UHFFFAOYNA-N;C17H38NO6P","384.25095","104.107","184.0739","384.2509","86.09697","125.0004"
"MSDIAL_LPC O-10:0;[M+H]+;CCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ZZHOJTIIWHVSBP-UHFFFAOYNA-N;C18H40NO6P","398.26660","104.107","184.0739","398.2666","86.09697","125.0004"
"MSDIAL_LPC O-11:0;[M+H]+;CCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ROQPOGHZQQZQAN-UHFFFAOYNA-N;C19H42NO6P","412.28225","104.107","184.0739","412.2823","86.09697","125.0004"
"MSDIAL_LPC O-12:0;[M+H]+;CCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;URUYDXJUCOUNCY-UHFFFAOYNA-N;C20H44NO6P","426.29790","104.107","184.0739","426.2979","86.09697","125.0004"
"MSDIAL_LPC O-13:0;[M+H]+;CCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;XYSHEKHOQYVMLW-UHFFFAOYNA-N;C21H46NO6P","440.31355","104.107","184.0739","440.3135","86.09697","125.0004"
"MSDIAL_LPC O-13:1;[M+H]+;CCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;YOJDHFGTOIRORN-FPLPWBNLNA-N;C21H44NO6P","438.29790","104.107","184.0739","438.2979","86.09697","125.0004"
"MSDIAL_LPC O-14:0;[M+H]+;CCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;MBRLTZVQXZDRBC-UHFFFAOYNA-N;C22H48NO6P","454.32920","104.107","184.0739","454.3292","86.09697","125.0004"
"MSDIAL_LPC O-14:1;[M+H]+;CCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ZOKMUPRFGLIBOB-HJWRWDBZNA-N;C22H46NO6P","452.31355","104.107","184.0739","452.3135","86.09697","125.0004"
"MSDIAL_LPC O-15:0;[M+H]+;CCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;PPXKEQMZYFQYCJ-UHFFFAOYNA-N;C23H50NO6P","468.34485","104.107","184.0739","468.3448","86.09697","125.0004"
"MSDIAL_LPC O-15:1;[M+H]+;CCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RFGSSXKBIXLAHJ-KTKRTIGZNA-N;C23H48NO6P","466.32920","104.107","184.0739","466.3292","86.09697","125.0004"
"MSDIAL_LPC O-16:0;[M+H]+;CCCCCCCCCCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VLBPIWYTPAXCFJ-UHFFFAOYNA-N;C24H52NO6P","482.36050","104.107","184.0739","482.3605","86.09697","125.0004"
"MSDIAL_LPC O-16:1;[M+H]+;CCCCCC\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;PLQWZMJRHVARFU-KHPPLWFENA-N;C24H50NO6P","480.34485","104.107","184.0739","480.3448","86.09697","125.0004"
"MSDIAL_LPC O-16:2;[M+H]+;CCC\C=C/C\C=C/CCCCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;GKZBGTBDMLFIEV-NQLNTKRDNA-N;C24H48NO6P","478.32920","104.107","184.0739","478.3292","86.09697","125.0004"
"MSDIAL_LPC O-16:3;[M+H]+;CC\C=C/C\C=C/C\C=C/CCCCCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RVERNDUNLIDEIZ-QNEBEIHSNA-N;C24H46NO6P","476.31355","104.107","184.0739","476.3135","86.09697","125.0004"
"MSDIAL_LPC O-16:4;[M+H]+;CC\C=C/C\C=C/C\C=C/C\C=C/CCCOCC(O)COP([O-])(=O)OCC[N+](C)(C)C;NMMCJAOUKORQEV-DOFZRALJNA-N;C24H44NO6P","474.29790","104.107","184.0739","474.2979","86.09697","125.0004"
