"MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-16:0_18:0;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(O)CCCCCC;BTAQEGHVPQFXJS-UHFFFAOYNA-N;C42H86NO8P","808.60731","299.2592","748.5856","281.2486","808.6073","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC1OC1CCCCCC;HYJQGJLGTGBDRC-UHFFFAOYNA-N;C42H84NO8P","806.59166","297.2435","746.57","806.5917","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_18:0;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCC(O)C(O)CCCCCC;NDHWVJBASSTBPI-UHFFFAOYNA-N;C42H86NO9P","824.60222","315.2541","764.5806","279.233","297.2435","824.6022","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:1;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(O)C\C=C\CCCCC;IZCFOMQFBSXMAZ-ZZIIXHQDNA-N;C42H84NO8P","806.59166","297.2435","746.57","279.233","806.5917","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;LEESRABQEAOCCM-COOPMVRXNA-N;C42H82NO8P","804.57601","295.2279","744.5543","804.576","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_18:1;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;XYYFPTVKIBZOPH-COOPMVRXNA-N;C42H84NO9P","822.58657","313.2384","762.5649","277.2173","295.2279","822.5865","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:1;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;WKOTXQZZIZZNNW-QNEJGDQONA-N;C42H84NO10P","838.58149","329.2333","778.5598","293.2122","311.2228","838.5815","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;XKIJMCZIJQEKOL-MFMSQQKGNA-N;C42H82NO8P","804.57601","295.2279","744.5543","277.2173","804.576","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;SDVRIPSTXNAJIK-MFMSQQKGNA-N;C42H82NO9P","820.57092","311.2228","760.5493","275.2017","293.2122","820.5709","448.3186","466.3292","224.0693"
"MSDIAL_PC O-16:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;KWCWEQHVDVWJIF-ILIWYXPCNA-N;C42H80NO8P","802.56036","293.2122","742.5387","275.2017","802.5604","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;XATFQNVDECIZDN-SQIBIBFNNA-N;C44H84NO8P","830.59166","321.2435","770.57","303.233","830.5917","448.3186","466.3292","224.0693","1"
"MSDIAL_PC O-16:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;QYAMHIZTYWUZRZ-PLUOGNMPNA-N;C44H82NO8P","828.57601","319.2279","768.5543","828.576","448.3186","466.3292","224.0693","1","1"
"MSDIAL_PC O-16:0_20:3;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;QVXNZLNSJQMCMV-PLUOGNMPNA-N;C44H84NO9P","846.58657","337.2384","786.5649","301.2173","319.2279","846.5865","448.3186","466.3292","224.0693"
