"MSDIAL_HBMP","[M+NH4]+","1","2","3","4","5"
"MSDIAL_HBMP 12:0_12:0_12:0;[M+NH4]+;CCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;DFDQJUOCWLXWKR-UHFFFAOYNA-N;C42H81O11P","810.58548","439.3787","810.5855","257.2112","1","1"
"MSDIAL_HBMP 12:0_12:0_14:0;[M+NH4]+;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;BELRMZRMRAPDAG-UHFFFAOYNA-N;C44H85O11P","838.61678","467.41","838.6168","257.2112","285.2424","1"
"MSDIAL_HBMP 12:0_12:0_14:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCC;ZPFDOGVGJIIXIO-SSZFMOIBNA-N;C44H83O11P","836.60113","465.3944","836.6011","257.2112","283.2268","1"
"MSDIAL_HBMP 12:0_12:0_16:0;[M+NH4]+;CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;PKTVEVYTQPRZGF-UHFFFAOYNA-N;C46H89O11P","866.64808","495.4413","866.6481","257.2112","313.2737","1"
"MSDIAL_HBMP 12:0_12:0_16:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCC;NJSDLVZZQAOTPN-VXPUYCOJNA-N;C46H87O11P","864.63243","493.4257","864.6324","257.2112","311.2581","1"
"MSDIAL_HBMP 12:0_12:0_16:2;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/C\C=C/CCC)OC(=O)CCCCCCCCCCC;XJSYRRGMDQFURS-YXBOBCBONA-N;C46H85O11P","862.61678","491.41","862.6168","257.2112","309.2424","1"
"MSDIAL_HBMP 12:0_12:0_16:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;OFUBDWANXXSCLD-XMRVQXCHNA-N;C46H83O11P","860.60113","489.3944","860.6011","257.2112","307.2268","1"
"MSDIAL_HBMP 12:0_12:0_16:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;UFDZJBQXUJLPHM-ONHUNPQONA-N;C46H81O11P","858.58548","487.3787","858.5855","257.2112","305.2112","1"
"MSDIAL_HBMP 12:0_12:0_18:0;[M+NH4]+;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;HMOZTKGLSKFNNY-UHFFFAOYNA-N;C48H93O11P","894.67938","523.4726","894.6794","257.2112","341.3051","1"
"MSDIAL_HBMP 12:0_12:0_18:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCC;BVYXGFRCBSZOML-DQRAZIAONA-N;C48H91O11P","892.66373","521.457","892.6638","257.2112","339.2894","1"
"MSDIAL_HBMP 12:0_12:0_18:2;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCC;DJVROOAUJLLPHX-BLWADTQWNA-N;C48H89O11P","890.64808","519.4413","890.6481","257.2112","337.2737","1"
"MSDIAL_HBMP 12:0_12:0_18:3;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;WXOWDLDHLQHIHW-XMRVQXCHNA-N;C48H87O11P","888.63243","517.4257","888.6324","257.2112","335.2581","1"
"MSDIAL_HBMP 12:0_12:0_18:4;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;AIBRRZGTCWVIHD-AJXRXSPHNA-N;C48H85O11P","886.61678","515.41","886.6168","257.2112","333.2424","1"
"MSDIAL_HBMP 12:0_12:0_18:5;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCC;KMJXWEFPBKQFSP-BHMSZCFKNA-N;C48H83O11P","884.60113","513.3943","884.6011","257.2112","331.2268","1"
"MSDIAL_HBMP 12:0_12:0_20:0;[M+NH4]+;CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(CO)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC;LQQHCZQDOKKECG-UHFFFAOYNA-N;C50H97O11P","922.71068","551.5039","922.7107","257.2112","369.3363","1"
"MSDIAL_HBMP 12:0_12:0_20:1;[M+NH4]+;CCCCCCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCC;BJGQIMNKSMRCLI-DQRAZIAONA-N;C50H95O11P","920.69503","549.4883","920.695","257.2112","367.3207","1"
