"MSDIAL_MLCL","[M-H]-","1","2","3","4","5","6"
"MSDIAL_MLCL 14:0_14:0_14:0;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;YRXGIWXJDPRFEI-UHFFFAOYNA-N;C51H100O16P2","1029.64138","1029.641","152.9958","381.2048","591.4031","227.2016","1"
"MSDIAL_MLCL 14:0_14:0_14:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCC;GSIDTEADOIOMQO-SSZFMOIBNA-N;C51H98O16P2","1027.62573","1027.626","152.9958","379.1891","591.4031","225.186","227.2016"
"MSDIAL_MLCL 14:0_14:0_16:0;[M-H]-;CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;IVKMZQBEEBZFGL-UHFFFAOYNA-N;C53H104O16P2","1057.67268","1057.673","152.9958","409.2361","591.4031","227.2016","255.233"
"MSDIAL_MLCL 14:0_14:0_16:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCC;MIRVNATXENOSLU-QOCHGBHMNA-N;C53H102O16P2","1055.65703","1055.657","152.9958","407.2204","591.4031","227.2016","253.2173"
"MSDIAL_MLCL 14:0_14:0_16:2;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/CCC)OC(=O)CCCCCCCCCCCCC;GXKSHKFLDPPREP-MVRCOMCQNA-N;C53H100O16P2","1053.64138","1053.641","152.9958","405.2048","591.4031","227.2016","251.2016"
"MSDIAL_MLCL 14:0_14:0_18:0;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(=O)OCC(O)COP(O)(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC;ANUKTDBTUGDVTC-UHFFFAOYNA-N;C55H108O16P2","1085.70398","1085.704","152.9958","437.2674","591.4031","227.2016","283.2643"
"MSDIAL_MLCL 14:0_14:0_18:1;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCC;GQTZIERKMMZVQN-VHXPQNKSNA-N;C55H106O16P2","1083.68833","1083.688","152.9958","435.2517","591.4031","227.2016","281.2486"
"MSDIAL_MLCL 14:0_14:0_18:2;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;XPVZNPJDZBLWEE-FRIQFDFRNA-N;C55H104O16P2","1081.67268","1081.673","152.9958","433.2361","591.4031","227.2016","279.2329"
"MSDIAL_MLCL 14:0_14:0_18:3;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;UBSFNBCTXGUSBZ-SVOFSQQFNA-N;C55H102O16P2","1079.65703","1079.657","152.9958","431.2204","591.4031","227.2016","277.2173"
"MSDIAL_MLCL 14:0_14:0_20:3;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;QYXBXKIVNIZNSO-SVOFSQQFNA-N;C57H106O16P2","1107.68833","1107.688","152.9958","459.2517","591.4031","227.2016","305.2486"
"MSDIAL_MLCL 14:0_14:0_20:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;PBTWSMYAJKDPKF-JWGNYCBONA-N;C57H104O16P2","1105.67268","1105.673","152.9958","457.2361","591.4031","227.2016","303.2329"
"MSDIAL_MLCL 14:0_14:0_20:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;HYZARTDTSLEERX-LVHGQLOXNA-N;C57H102O16P2","1103.65703","1103.657","152.9958","455.2204","591.4031","227.2016","301.2173"
"MSDIAL_MLCL 14:0_14:0_22:3;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;HEHBBMDRPUOMQR-DXRCUXMPNA-N;C59H110O16P2","1135.71963","1135.72","152.9958","487.283","591.4031","227.2016","333.2799"
"MSDIAL_MLCL 14:0_14:0_22:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;HKVKOPWAJFFXJW-JWGNYCBONA-N;C59H108O16P2","1133.70398","1133.704","152.9958","485.2674","591.4031","227.2016","331.2643"
"MSDIAL_MLCL 14:0_14:0_22:5;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;NUTCBAXXANTQFE-AKKLHSLLNA-N;C59H106O16P2","1131.68833","1131.688","152.9958","483.2517","591.4031","227.2016","329.2486"
"MSDIAL_MLCL 14:0_14:0_22:6;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC;ZTXCHXDDSKZOAY-UZOHDRCFNA-N;C59H104O16P2","1129.67268","1129.673","152.9958","481.2361","591.4031","227.2016","327.2329"
"MSDIAL_MLCL 14:0_14:0_24:4;[M-H]-;CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)COP(O)(=O)OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC;YRFZKZBBGQXHAV-PEVJWSCSNA-N;C61H112O16P2","1161.73529","1161.735","152.9958","513.2986","591.4031","227.2016","359.2956"
